,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5910,227,5000,2003,0.0,146109.0,-0.895193,-0.712039,UGA,010111
12436,227,5001,2003,0.0,97650.0,-0.895193,-0.712039,UGA,010119
18962,227,5002,2003,,,-0.895193,-0.712039,UGA,010120
25488,227,5003,2003,0.0,34890.0,-0.895193,-0.712039,UGA,010210
32014,227,5004,2003,281.0,0.0,-0.895193,-0.712039,UGA,010290
38540,227,5005,2003,0.0,17896.0,-0.895193,-0.712039,UGA,010310
45066,227,5006,2003,0.0,22446.0,-0.895193,-0.712039,UGA,010391
51592,227,5007,2003,,,-0.895193,-0.712039,UGA,010392
58118,227,5008,2003,,,-0.895193,-0.712039,UGA,010410
64644,227,5009,2003,729.0,24296.0,-0.895193,-0.712039,UGA,010420
71170,227,5010,2003,5678.0,648817.0,-0.895193,-0.712039,UGA,010511
77696,227,5011,2003,7247.0,27288.0,-0.895193,-0.712039,UGA,010519
84222,227,5012,2003,0.0,2966.0,-0.895193,-0.712039,UGA,010591
90748,227,5013,2003,0.0,11768.0,-0.895193,-0.712039,UGA,010599
97274,227,5014,2003,210191.0,213991.0,-0.895193,-0.712039,UGA,010600
103800,227,5015,2003,1605.0,0.0,-0.895193,-0.712039,UGA,020110
110326,227,5016,2003,0.0,13640.0,-0.895193,-0.712039,UGA,020120
116852,227,5017,2003,,,-0.895193,-0.712039,UGA,020130
123378,227,5018,2003,,,-0.895193,-0.712039,UGA,020210
129904,227,5019,2003,,,-0.895193,-0.712039,UGA,020220
136430,227,5020,2003,0.0,151441.0,-0.895193,-0.712039,UGA,020230
142956,227,5021,2003,0.0,33535.0,-0.895193,-0.712039,UGA,020311
149482,227,5022,2003,0.0,1605.0,-0.895193,-0.712039,UGA,020312
156008,227,5023,2003,0.0,1500.0,-0.895193,-0.712039,UGA,020319
162534,227,5024,2003,,,-0.895193,-0.712039,UGA,020321
169060,227,5025,2003,0.0,9532.0,-0.895193,-0.712039,UGA,020322
175586,227,5026,2003,,,-0.895193,-0.712039,UGA,020329
182112,227,5027,2003,,,-0.895193,-0.712039,UGA,020410
188638,227,5028,2003,,,-0.895193,-0.712039,UGA,020421
195164,227,5029,2003,,,-0.895193,-0.712039,UGA,020422
201690,227,5030,2003,,,-0.895193,-0.712039,UGA,020423
208216,227,5031,2003,,,-0.895193,-0.712039,UGA,020430
214742,227,5032,2003,,,-0.895193,-0.712039,UGA,020441
221268,227,5033,2003,,,-0.895193,-0.712039,UGA,020442
227794,227,5034,2003,,,-0.895193,-0.712039,UGA,020443
234320,227,5035,2003,,,-0.895193,-0.712039,UGA,020450
240846,227,5036,2003,,,-0.895193,-0.712039,UGA,020500
247372,227,5037,2003,,,-0.895193,-0.712039,UGA,020610
253898,227,5038,2003,,,-0.895193,-0.712039,UGA,020621
260424,227,5039,2003,,,-0.895193,-0.712039,UGA,020622
266950,227,5040,2003,,,-0.895193,-0.712039,UGA,020629
273476,227,5041,2003,,,-0.895193,-0.712039,UGA,020630
280002,227,5042,2003,,,-0.895193,-0.712039,UGA,020641
286528,227,5043,2003,16515.0,0.0,-0.895193,-0.712039,UGA,020649
293054,227,5044,2003,,,-0.895193,-0.712039,UGA,020680
299580,227,5045,2003,,,-0.895193,-0.712039,UGA,020690
306106,227,5046,2003,0.0,3171.0,-0.895193,-0.712039,UGA,020710
312632,227,5047,2003,,,-0.895193,-0.712039,UGA,020721
319158,227,5048,2003,,,-0.895193,-0.712039,UGA,020722
325684,227,5049,2003,,,-0.895193,-0.712039,UGA,020723
332210,227,5050,2003,,,-0.895193,-0.712039,UGA,020731
338736,227,5051,2003,0.0,783.0,-0.895193,-0.712039,UGA,020739
345262,227,5052,2003,0.0,6266.0,-0.895193,-0.712039,UGA,020741
351788,227,5053,2003,,,-0.895193,-0.712039,UGA,020742
358314,227,5054,2003,0.0,3869.0,-0.895193,-0.712039,UGA,020743
364840,227,5055,2003,,,-0.895193,-0.712039,UGA,020750
371366,227,5056,2003,,,-0.895193,-0.712039,UGA,020810
377892,227,5057,2003,,,-0.895193,-0.712039,UGA,020820
384418,227,5058,2003,0.0,8186.0,-0.895193,-0.712039,UGA,020890
390944,227,5059,2003,,,-0.895193,-0.712039,UGA,020900
397470,227,5060,2003,0.0,20797.0,-0.895193,-0.712039,UGA,021011
403996,227,5061,2003,,,-0.895193,-0.712039,UGA,021012
410522,227,5062,2003,0.0,3097.0,-0.895193,-0.712039,UGA,021019
