,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6103,234,5000,2014,,,0.034024,-0.522492,VCT,010111
12629,234,5001,2014,,,0.034024,-0.522492,VCT,010119
19155,234,5002,2014,,,0.034024,-0.522492,VCT,010120
25681,234,5003,2014,29834.0,0.0,0.034024,-0.522492,VCT,010210
32207,234,5004,2014,51464.0,1373.0,0.034024,-0.522492,VCT,010290
38733,234,5005,2014,,,0.034024,-0.522492,VCT,010310
45259,234,5006,2014,,,0.034024,-0.522492,VCT,010391
51785,234,5007,2014,,,0.034024,-0.522492,VCT,010392
58311,234,5008,2014,,,0.034024,-0.522492,VCT,010410
64837,234,5009,2014,,,0.034024,-0.522492,VCT,010420
71363,234,5010,2014,0.0,10871.0,0.034024,-0.522492,VCT,010511
77889,234,5011,2014,0.0,3548.0,0.034024,-0.522492,VCT,010519
84415,234,5012,2014,0.0,1816.0,0.034024,-0.522492,VCT,010591
90941,234,5013,2014,0.0,3930.0,0.034024,-0.522492,VCT,010599
97467,234,5014,2014,1348.0,0.0,0.034024,-0.522492,VCT,010600
103993,234,5015,2014,,,0.034024,-0.522492,VCT,020110
110519,234,5016,2014,0.0,36276.0,0.034024,-0.522492,VCT,020120
117045,234,5017,2014,0.0,69241.0,0.034024,-0.522492,VCT,020130
123571,234,5018,2014,0.0,39475.0,0.034024,-0.522492,VCT,020210
130097,234,5019,2014,0.0,87261.0,0.034024,-0.522492,VCT,020220
136623,234,5020,2014,1060.0,173168.0,0.034024,-0.522492,VCT,020230
143149,234,5021,2014,,,0.034024,-0.522492,VCT,020311
149675,234,5022,2014,0.0,96285.0,0.034024,-0.522492,VCT,020312
156201,234,5023,2014,0.0,8020.0,0.034024,-0.522492,VCT,020319
162727,234,5024,2014,0.0,3641.0,0.034024,-0.522492,VCT,020321
169253,234,5025,2014,0.0,265409.0,0.034024,-0.522492,VCT,020322
175779,234,5026,2014,1584.0,352475.0,0.034024,-0.522492,VCT,020329
182305,234,5027,2014,0.0,1611.0,0.034024,-0.522492,VCT,020410
188831,234,5028,2014,,,0.034024,-0.522492,VCT,020421
195357,234,5029,2014,0.0,4803.0,0.034024,-0.522492,VCT,020422
201883,234,5030,2014,,,0.034024,-0.522492,VCT,020423
208409,234,5031,2014,0.0,21209.0,0.034024,-0.522492,VCT,020430
214935,234,5032,2014,0.0,14336.0,0.034024,-0.522492,VCT,020441
221461,234,5033,2014,0.0,38922.0,0.034024,-0.522492,VCT,020442
227987,234,5034,2014,0.0,7424.0,0.034024,-0.522492,VCT,020443
234513,234,5035,2014,0.0,16684.0,0.034024,-0.522492,VCT,020450
241039,234,5036,2014,,,0.034024,-0.522492,VCT,020500
247565,234,5037,2014,,,0.034024,-0.522492,VCT,020610
254091,234,5038,2014,,,0.034024,-0.522492,VCT,020621
260617,234,5039,2014,0.0,33830.0,0.034024,-0.522492,VCT,020622
267143,234,5040,2014,0.0,30447.0,0.034024,-0.522492,VCT,020629
273669,234,5041,2014,0.0,33707.0,0.034024,-0.522492,VCT,020630
280195,234,5042,2014,,,0.034024,-0.522492,VCT,020641
286721,234,5043,2014,0.0,37802.0,0.034024,-0.522492,VCT,020649
293247,234,5044,2014,,,0.034024,-0.522492,VCT,020680
299773,234,5045,2014,,,0.034024,-0.522492,VCT,020690
306299,234,5046,2014,0.0,13342.0,0.034024,-0.522492,VCT,020710
312825,234,5047,2014,13815.0,3128.0,0.034024,-0.522492,VCT,020721
319351,234,5048,2014,0.0,19913.0,0.034024,-0.522492,VCT,020722
325877,234,5049,2014,0.0,8349.0,0.034024,-0.522492,VCT,020723
332403,234,5050,2014,,,0.034024,-0.522492,VCT,020731
338929,234,5051,2014,5654.0,9212.0,0.034024,-0.522492,VCT,020739
345455,234,5052,2014,1775.0,8703460.0,0.034024,-0.522492,VCT,020741
351981,234,5053,2014,0.0,769613.0,0.034024,-0.522492,VCT,020742
358507,234,5054,2014,0.0,5659.0,0.034024,-0.522492,VCT,020743
365033,234,5055,2014,,,0.034024,-0.522492,VCT,020750
371559,234,5056,2014,,,0.034024,-0.522492,VCT,020810
378085,234,5057,2014,,,0.034024,-0.522492,VCT,020820
384611,234,5058,2014,,,0.034024,-0.522492,VCT,020890
391137,234,5059,2014,,,0.034024,-0.522492,VCT,020900
397663,234,5060,2014,9480.0,216125.0,0.034024,-0.522492,VCT,021011
404189,234,5061,2014,0.0,198085.0,0.034024,-0.522492,VCT,021012
410715,234,5062,2014,0.0,169869.0,0.034024,-0.522492,VCT,021019
417241,234,5063,2014,0.0,27209.0,0.034024,-0.522492,VCT,021020
423767,234,5064,2014,,,0.034024,-0.522492,VCT,021090
430293,234,5065,2014,0.0,2447.0,0.034024,-0.522492,VCT,030110
436819,234,5066,2014,,,0.034024,-0.522492,VCT,030191
443345,234,5067,2014,,,0.034024,-0.522492,VCT,030192
449871,234,5068,2014,,,0.034024,-0.522492,VCT,030193
456397,234,5069,2014,18552.0,0.0,0.034024,-0.522492,VCT,030199
462923,234,5070,2014,0.0,1549.0,0.034024,-0.522492,VCT,030211
469449,234,5071,2014,0.0,4392.0,0.034024,-0.522492,VCT,030212
475975,234,5072,2014,3953.0,0.0,0.034024,-0.522492,VCT,030219
482501,234,5073,2014,,,0.034024,-0.522492,VCT,030221
489027,234,5074,2014,,,0.034024,-0.522492,VCT,030222
495553,234,5075,2014,,,0.034024,-0.522492,VCT,030223
502079,234,5076,2014,,,0.034024,-0.522492,VCT,030229
508605,234,5077,2014,,,0.034024,-0.522492,VCT,030231
515131,234,5078,2014,7784.0,0.0,0.034024,-0.522492,VCT,030232
521657,234,5079,2014,,,0.034024,-0.522492,VCT,030233
528183,234,5080,2014,7659.0,14466.0,0.034024,-0.522492,VCT,030239
534709,234,5081,2014,,,0.034024,-0.522492,VCT,030240
541235,234,5082,2014,,,0.034024,-0.522492,VCT,030250
547761,234,5083,2014,,,0.034024,-0.522492,VCT,030261
554287,234,5084,2014,,,0.034024,-0.522492,VCT,030262
560813,234,5085,2014,,,0.034024,-0.522492,VCT,030263
567339,234,5086,2014,,,0.034024,-0.522492,VCT,030264
573865,234,5087,2014,11249.0,0.0,0.034024,-0.522492,VCT,030265
580391,234,5088,2014,,,0.034024,-0.522492,VCT,030266
586917,234,5089,2014,97100.0,17882.0,0.034024,-0.522492,VCT,030269
593443,234,5090,2014,,,0.034024,-0.522492,VCT,030270
599969,234,5091,2014,0.0,4080.0,0.034024,-0.522492,VCT,030310
606495,234,5092,2014,,,0.034024,-0.522492,VCT,030321
613021,234,5093,2014,0.0,11507.0,0.034024,-0.522492,VCT,030322
619547,234,5094,2014,0.0,1139.0,0.034024,-0.522492,VCT,030329
626073,234,5095,2014,,,0.034024,-0.522492,VCT,030331
632599,234,5096,2014,,,0.034024,-0.522492,VCT,030332
639125,234,5097,2014,,,0.034024,-0.522492,VCT,030333
645651,234,5098,2014,0.0,5300.0,0.034024,-0.522492,VCT,030339
652177,234,5099,2014,387980.0,1184.0,0.034024,-0.522492,VCT,030341
658703,234,5100,2014,39369.0,1895.0,0.034024,-0.522492,VCT,030342
665229,234,5101,2014,9142.0,0.0,0.034024,-0.522492,VCT,030343
671755,234,5102,2014,0.0,17878.0,0.034024,-0.522492,VCT,030349
678281,234,5103,2014,,,0.034024,-0.522492,VCT,030350
684807,234,5104,2014,,,0.034024,-0.522492,VCT,030360
691333,234,5105,2014,,,0.034024,-0.522492,VCT,030371
697859,234,5106,2014,,,0.034024,-0.522492,VCT,030372
704385,234,5107,2014,,,0.034024,-0.522492,VCT,030373
710911,234,5108,2014,66349.0,0.0,0.034024,-0.522492,VCT,030374
717437,234,5109,2014,584298.0,0.0,0.034024,-0.522492,VCT,030375
723963,234,5110,2014,,,0.034024,-0.522492,VCT,030376
730489,234,5111,2014,,,0.034024,-0.522492,VCT,030377
737015,234,5112,2014,,,0.034024,-0.522492,VCT,030378
743541,234,5113,2014,551114.0,13484.0,0.034024,-0.522492,VCT,030379
750067,234,5114,2014,,,0.034024,-0.522492,VCT,030380
756593,234,5115,2014,22652.0,1305.0,0.034024,-0.522492,VCT,030410
763119,234,5116,2014,0.0,16063.0,0.034024,-0.522492,VCT,030420
769645,234,5117,2014,0.0,16756.0,0.034024,-0.522492,VCT,030490
776171,234,5118,2014,,,0.034024,-0.522492,VCT,030510
782697,234,5119,2014,,,0.034024,-0.522492,VCT,030520
789223,234,5120,2014,0.0,63387.0,0.034024,-0.522492,VCT,030530
795749,234,5121,2014,0.0,4540.0,0.034024,-0.522492,VCT,030541
802275,234,5122,2014,771.0,27727.0,0.034024,-0.522492,VCT,030542
808801,234,5123,2014,0.0,3296.0,0.034024,-0.522492,VCT,030549
815327,234,5124,2014,0.0,164594.0,0.034024,-0.522492,VCT,030551
821853,234,5125,2014,18434.0,673468.0,0.034024,-0.522492,VCT,030559
828379,234,5126,2014,0.0,4543.0,0.034024,-0.522492,VCT,030561
834905,234,5127,2014,0.0,30852.0,0.034024,-0.522492,VCT,030562
841431,234,5128,2014,,,0.034024,-0.522492,VCT,030563
847957,234,5129,2014,0.0,103287.0,0.034024,-0.522492,VCT,030569
854483,234,5130,2014,16722.0,0.0,0.034024,-0.522492,VCT,030611
861009,234,5131,2014,212852.0,1249.0,0.034024,-0.522492,VCT,030612
867535,234,5132,2014,0.0,73250.0,0.034024,-0.522492,VCT,030613
874061,234,5133,2014,0.0,5769.0,0.034024,-0.522492,VCT,030614
880587,234,5134,2014,33685.0,2057.0,0.034024,-0.522492,VCT,030619
887113,234,5135,2014,9319.0,0.0,0.034024,-0.522492,VCT,030621
893639,234,5136,2014,158605.0,0.0,0.034024,-0.522492,VCT,030622
900165,234,5137,2014,,,0.034024,-0.522492,VCT,030623
906691,234,5138,2014,,,0.034024,-0.522492,VCT,030624
913217,234,5139,2014,95614.0,0.0,0.034024,-0.522492,VCT,030629
919743,234,5140,2014,,,0.034024,-0.522492,VCT,030710
926269,234,5141,2014,,,0.034024,-0.522492,VCT,030721
