,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6236,239,5000,2017,27366.0,99334.0,-0.009819,0.686429,VNM,010111
12762,239,5001,2017,0.0,664566.0,-0.009819,0.686429,VNM,010119
19288,239,5002,2017,,,-0.009819,0.686429,VNM,010120
25814,239,5003,2017,17385.0,12041739.0,-0.009819,0.686429,VNM,010210
32340,239,5004,2017,2952306.0,232480943.0,-0.009819,0.686429,VNM,010290
38866,239,5005,2017,878859.0,1257162.0,-0.009819,0.686429,VNM,010310
45392,239,5006,2017,1107696.0,232506.0,-0.009819,0.686429,VNM,010391
51918,239,5007,2017,12978405.0,3747.0,-0.009819,0.686429,VNM,010392
58444,239,5008,2017,,,-0.009819,0.686429,VNM,010410
64970,239,5009,2017,0.0,3227730.0,-0.009819,0.686429,VNM,010420
71496,239,5010,2017,431232.0,8672003.0,-0.009819,0.686429,VNM,010511
78022,239,5011,2017,15061.0,298060.0,-0.009819,0.686429,VNM,010519
84548,239,5012,2017,0.0,82439.0,-0.009819,0.686429,VNM,010591
91074,239,5013,2017,0.0,43100.0,-0.009819,0.686429,VNM,010599
97600,239,5014,2017,12292822.0,8491672.0,-0.009819,0.686429,VNM,010600
104126,239,5015,2017,0.0,86535.0,-0.009819,0.686429,VNM,020110
110652,239,5016,2017,1097.0,1147402.0,-0.009819,0.686429,VNM,020120
117178,239,5017,2017,17225.0,10097133.0,-0.009819,0.686429,VNM,020130
123704,239,5018,2017,33171.0,249034.0,-0.009819,0.686429,VNM,020210
130230,239,5019,2017,56798.0,12583823.0,-0.009819,0.686429,VNM,020220
136756,239,5020,2017,2864273.0,2341369530.0,-0.009819,0.686429,VNM,020230
143282,239,5021,2017,19615.0,34655.0,-0.009819,0.686429,VNM,020311
149808,239,5022,2017,53878.0,50456.0,-0.009819,0.686429,VNM,020312
156334,239,5023,2017,199769.0,6726923.0,-0.009819,0.686429,VNM,020319
162860,239,5024,2017,59772376.0,436624.0,-0.009819,0.686429,VNM,020321
169386,239,5025,2017,1218.0,2069234.0,-0.009819,0.686429,VNM,020322
175912,239,5026,2017,5147976.0,23352140.0,-0.009819,0.686429,VNM,020329
182438,239,5027,2017,0.0,680686.0,-0.009819,0.686429,VNM,020410
188964,239,5028,2017,0.0,35293.0,-0.009819,0.686429,VNM,020421
195490,239,5029,2017,0.0,279309.0,-0.009819,0.686429,VNM,020422
202016,239,5030,2017,11872.0,79144.0,-0.009819,0.686429,VNM,020423
208542,239,5031,2017,0.0,104467.0,-0.009819,0.686429,VNM,020430
215068,239,5032,2017,0.0,46654.0,-0.009819,0.686429,VNM,020441
221594,239,5033,2017,0.0,2969887.0,-0.009819,0.686429,VNM,020442
228120,239,5034,2017,0.0,1870061.0,-0.009819,0.686429,VNM,020443
234646,239,5035,2017,1115.0,1204774.0,-0.009819,0.686429,VNM,020450
241172,239,5036,2017,23812.0,18036592.0,-0.009819,0.686429,VNM,020500
247698,239,5037,2017,0.0,7445746.0,-0.009819,0.686429,VNM,020610
254224,239,5038,2017,0.0,2520581.0,-0.009819,0.686429,VNM,020621
260750,239,5039,2017,0.0,41693.0,-0.009819,0.686429,VNM,020622
267276,239,5040,2017,85383.0,200655317.0,-0.009819,0.686429,VNM,020629
273802,239,5041,2017,6650.0,859849.0,-0.009819,0.686429,VNM,020630
280328,239,5042,2017,0.0,86519.0,-0.009819,0.686429,VNM,020641
286854,239,5043,2017,68990.0,59677319.0,-0.009819,0.686429,VNM,020649
293380,239,5044,2017,630243.0,214581.0,-0.009819,0.686429,VNM,020680
299906,239,5045,2017,49938.0,5008939.0,-0.009819,0.686429,VNM,020690
306432,239,5046,2017,0.0,321311.0,-0.009819,0.686429,VNM,020710
312958,239,5047,2017,136765.0,6257540.0,-0.009819,0.686429,VNM,020721
319484,239,5048,2017,15586.0,86904.0,-0.009819,0.686429,VNM,020722
326010,239,5049,2017,19395.0,688176.0,-0.009819,0.686429,VNM,020723
332536,239,5050,2017,0.0,104968.0,-0.009819,0.686429,VNM,020731
339062,239,5051,2017,106721.0,2667142.0,-0.009819,0.686429,VNM,020739
345588,239,5052,2017,11208011.0,258037504.0,-0.009819,0.686429,VNM,020741
352114,239,5053,2017,113565.0,4393138.0,-0.009819,0.686429,VNM,020742
358640,239,5054,2017,121530.0,4643406.0,-0.009819,0.686429,VNM,020743
365166,239,5055,2017,,,-0.009819,0.686429,VNM,020750
371692,239,5056,2017,0.0,936796.0,-0.009819,0.686429,VNM,020810
378218,239,5057,2017,,,-0.009819,0.686429,VNM,020820
384744,239,5058,2017,7007223.0,1274353.0,-0.009819,0.686429,VNM,020890
391270,239,5059,2017,0.0,1451367.0,-0.009819,0.686429,VNM,020900
397796,239,5060,2017,0.0,141985.0,-0.009819,0.686429,VNM,021011
404322,239,5061,2017,0.0,152683.0,-0.009819,0.686429,VNM,021012
410848,239,5062,2017,100576.0,704329.0,-0.009819,0.686429,VNM,021019
417374,239,5063,2017,4651414.0,400710.0,-0.009819,0.686429,VNM,021020
423900,239,5064,2017,274608.0,2332911.0,-0.009819,0.686429,VNM,021090
430426,239,5065,2017,3945374.0,1285288.0,-0.009819,0.686429,VNM,030110
436952,239,5066,2017,,,-0.009819,0.686429,VNM,030191
443478,239,5067,2017,19736.0,7296481.0,-0.009819,0.686429,VNM,030192
450004,239,5068,2017,784186.0,2469200.0,-0.009819,0.686429,VNM,030193
456530,239,5069,2017,9917364.0,12026209.0,-0.009819,0.686429,VNM,030199
463056,239,5070,2017,45955.0,1663990.0,-0.009819,0.686429,VNM,030211
469582,239,5071,2017,533739.0,132598445.0,-0.009819,0.686429,VNM,030212
