,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6366,244,5000,2017,,,,,YMD,010111
12892,244,5001,2017,,,,,YMD,010119
19418,244,5002,2017,,,,,YMD,010120
25944,244,5003,2017,,,,,YMD,010210
32470,244,5004,2017,,,,,YMD,010290
38996,244,5005,2017,,,,,YMD,010310
45522,244,5006,2017,,,,,YMD,010391
52048,244,5007,2017,,,,,YMD,010392
58574,244,5008,2017,,,,,YMD,010410
65100,244,5009,2017,,,,,YMD,010420
71626,244,5010,2017,,,,,YMD,010511
78152,244,5011,2017,,,,,YMD,010519
84678,244,5012,2017,,,,,YMD,010591
91204,244,5013,2017,,,,,YMD,010599
97730,244,5014,2017,,,,,YMD,010600
104256,244,5015,2017,,,,,YMD,020110
110782,244,5016,2017,,,,,YMD,020120
117308,244,5017,2017,,,,,YMD,020130
123834,244,5018,2017,,,,,YMD,020210
130360,244,5019,2017,,,,,YMD,020220
136886,244,5020,2017,,,,,YMD,020230
143412,244,5021,2017,,,,,YMD,020311
149938,244,5022,2017,,,,,YMD,020312
156464,244,5023,2017,,,,,YMD,020319
162990,244,5024,2017,,,,,YMD,020321
169516,244,5025,2017,,,,,YMD,020322
176042,244,5026,2017,,,,,YMD,020329
182568,244,5027,2017,,,,,YMD,020410
189094,244,5028,2017,,,,,YMD,020421
195620,244,5029,2017,,,,,YMD,020422
202146,244,5030,2017,,,,,YMD,020423
208672,244,5031,2017,,,,,YMD,020430
215198,244,5032,2017,,,,,YMD,020441
221724,244,5033,2017,,,,,YMD,020442
228250,244,5034,2017,,,,,YMD,020443
234776,244,5035,2017,,,,,YMD,020450
241302,244,5036,2017,,,,,YMD,020500
247828,244,5037,2017,,,,,YMD,020610
254354,244,5038,2017,,,,,YMD,020621
260880,244,5039,2017,,,,,YMD,020622
267406,244,5040,2017,,,,,YMD,020629
273932,244,5041,2017,,,,,YMD,020630
280458,244,5042,2017,,,,,YMD,020641
286984,244,5043,2017,,,,,YMD,020649
293510,244,5044,2017,,,,,YMD,020680
300036,244,5045,2017,,,,,YMD,020690
306562,244,5046,2017,,,,,YMD,020710
313088,244,5047,2017,,,,,YMD,020721
319614,244,5048,2017,,,,,YMD,020722
326140,244,5049,2017,,,,,YMD,020723
332666,244,5050,2017,,,,,YMD,020731
339192,244,5051,2017,,,,,YMD,020739
345718,244,5052,2017,,,,,YMD,020741
352244,244,5053,2017,,,,,YMD,020742
358770,244,5054,2017,,,,,YMD,020743
365296,244,5055,2017,,,,,YMD,020750
371822,244,5056,2017,,,,,YMD,020810
378348,244,5057,2017,,,,,YMD,020820
384874,244,5058,2017,,,,,YMD,020890
391400,244,5059,2017,,,,,YMD,020900
397926,244,5060,2017,,,,,YMD,021011
404452,244,5061,2017,,,,,YMD,021012
410978,244,5062,2017,,,,,YMD,021019
