,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6412,246,5000,2011,3926665.0,15449251.0,0.241792,1.353011,ZAF,010111
12938,246,5001,2011,2221589.0,4561432.0,0.241792,1.353011,ZAF,010119
19464,246,5002,2011,,,0.241792,1.353011,ZAF,010120
25990,246,5003,2011,2943412.0,1971756.0,0.241792,1.353011,ZAF,010210
32516,246,5004,2011,7964578.0,46982817.0,0.241792,1.353011,ZAF,010290
39042,246,5005,2011,221294.0,62729.0,0.241792,1.353011,ZAF,010310
45568,246,5006,2011,85765.0,0.0,0.241792,1.353011,ZAF,010391
52094,246,5007,2011,77293.0,55939.0,0.241792,1.353011,ZAF,010392
58620,246,5008,2011,657659.0,3195037.0,0.241792,1.353011,ZAF,010410
65146,246,5009,2011,1631284.0,8406557.0,0.241792,1.353011,ZAF,010420
71672,246,5010,2011,3143943.0,8870641.0,0.241792,1.353011,ZAF,010511
78198,246,5011,2011,1688866.0,175260.0,0.241792,1.353011,ZAF,010519
84724,246,5012,2011,4056522.0,0.0,0.241792,1.353011,ZAF,010591
91250,246,5013,2011,4558752.0,434715.0,0.241792,1.353011,ZAF,010599
97776,246,5014,2011,12046338.0,4759256.0,0.241792,1.353011,ZAF,010600
104302,246,5015,2011,15572043.0,1472381.0,0.241792,1.353011,ZAF,020110
110828,246,5016,2011,5750000.0,1164540.0,0.241792,1.353011,ZAF,020120
117354,246,5017,2011,7400999.0,9762771.0,0.241792,1.353011,ZAF,020130
123880,246,5018,2011,2679591.0,4518655.0,0.241792,1.353011,ZAF,020210
130406,246,5019,2011,3143886.0,9857966.0,0.241792,1.353011,ZAF,020220
136932,246,5020,2011,7227927.0,47432221.0,0.241792,1.353011,ZAF,020230
143458,246,5021,2011,2447838.0,196606.0,0.241792,1.353011,ZAF,020311
149984,246,5022,2011,1598931.0,105073.0,0.241792,1.353011,ZAF,020312
156510,246,5023,2011,5901721.0,1019033.0,0.241792,1.353011,ZAF,020319
163036,246,5024,2011,469711.0,307121.0,0.241792,1.353011,ZAF,020321
169562,246,5025,2011,1366366.0,9901216.0,0.241792,1.353011,ZAF,020322
176088,246,5026,2011,7342918.0,64641276.0,0.241792,1.353011,ZAF,020329
182614,246,5027,2011,2091988.0,5641890.0,0.241792,1.353011,ZAF,020410
189140,246,5028,2011,157966.0,18960634.0,0.241792,1.353011,ZAF,020421
195666,246,5029,2011,420788.0,722053.0,0.241792,1.353011,ZAF,020422
202192,246,5030,2011,145962.0,10143.0,0.241792,1.353011,ZAF,020423
208718,246,5031,2011,303621.0,6844926.0,0.241792,1.353011,ZAF,020430
215244,246,5032,2011,79594.0,610559.0,0.241792,1.353011,ZAF,020441
221770,246,5033,2011,889932.0,14052691.0,0.241792,1.353011,ZAF,020442
228296,246,5034,2011,392520.0,2849506.0,0.241792,1.353011,ZAF,020443
234822,246,5035,2011,182192.0,50288.0,0.241792,1.353011,ZAF,020450
241348,246,5036,2011,55163.0,387327.0,0.241792,1.353011,ZAF,020500
247874,246,5037,2011,1269707.0,1845862.0,0.241792,1.353011,ZAF,020610
254400,246,5038,2011,38696.0,496965.0,0.241792,1.353011,ZAF,020621
260926,246,5039,2011,585450.0,7976090.0,0.241792,1.353011,ZAF,020622
267452,246,5040,2011,800062.0,16369960.0,0.241792,1.353011,ZAF,020629
273978,246,5041,2011,164649.0,276347.0,0.241792,1.353011,ZAF,020630
280504,246,5042,2011,28525.0,77456.0,0.241792,1.353011,ZAF,020641
287030,246,5043,2011,493456.0,8699942.0,0.241792,1.353011,ZAF,020649
293556,246,5044,2011,214482.0,84863.0,0.241792,1.353011,ZAF,020680
300082,246,5045,2011,557534.0,6091388.0,0.241792,1.353011,ZAF,020690
306608,246,5046,2011,1751810.0,6998609.0,0.241792,1.353011,ZAF,020710
313134,246,5047,2011,10787471.0,24085513.0,0.241792,1.353011,ZAF,020721
319660,246,5048,2011,590554.0,3402632.0,0.241792,1.353011,ZAF,020722
326186,246,5049,2011,430296.0,214893.0,0.241792,1.353011,ZAF,020723
332712,246,5050,2011,18289.0,15104.0,0.241792,1.353011,ZAF,020731
339238,246,5051,2011,17608601.0,23340227.0,0.241792,1.353011,ZAF,020739
345764,246,5052,2011,85580413.0,321647002.0,0.241792,1.353011,ZAF,020741
352290,246,5053,2011,2703725.0,28469357.0,0.241792,1.353011,ZAF,020742
358816,246,5054,2011,4945588.0,403173.0,0.241792,1.353011,ZAF,020743
365342,246,5055,2011,,,0.241792,1.353011,ZAF,020750
371868,246,5056,2011,40652.0,20225.0,0.241792,1.353011,ZAF,020810
378394,246,5057,2011,,,0.241792,1.353011,ZAF,020820
384920,246,5058,2011,17062489.0,3651252.0,0.241792,1.353011,ZAF,020890
391446,246,5059,2011,1562304.0,553981.0,0.241792,1.353011,ZAF,020900
397972,246,5060,2011,426440.0,269398.0,0.241792,1.353011,ZAF,021011
404498,246,5061,2011,98291.0,58323.0,0.241792,1.353011,ZAF,021012
411024,246,5062,2011,572106.0,1680718.0,0.241792,1.353011,ZAF,021019
417550,246,5063,2011,1040349.0,3038736.0,0.241792,1.353011,ZAF,021020
424076,246,5064,2011,458448.0,989508.0,0.241792,1.353011,ZAF,021090
430602,246,5065,2011,147535.0,2071623.0,0.241792,1.353011,ZAF,030110
437128,246,5066,2011,200318.0,42160.0,0.241792,1.353011,ZAF,030191
443654,246,5067,2011,,,0.241792,1.353011,ZAF,030192
450180,246,5068,2011,0.0,11464.0,0.241792,1.353011,ZAF,030193
456706,246,5069,2011,138556.0,129089.0,0.241792,1.353011,ZAF,030199
463232,246,5070,2011,78956.0,60271.0,0.241792,1.353011,ZAF,030211
469758,246,5071,2011,139898.0,10207865.0,0.241792,1.353011,ZAF,030212
476284,246,5072,2011,1027522.0,566416.0,0.241792,1.353011,ZAF,030219
482810,246,5073,2011,1694.0,2551.0,0.241792,1.353011,ZAF,030221
489336,246,5074,2011,14182.0,0.0,0.241792,1.353011,ZAF,030222
495862,246,5075,2011,84892.0,96645.0,0.241792,1.353011,ZAF,030223
502388,246,5076,2011,323597.0,952931.0,0.241792,1.353011,ZAF,030229
508914,246,5077,2011,1241923.0,0.0,0.241792,1.353011,ZAF,030231
515440,246,5078,2011,3056899.0,0.0,0.241792,1.353011,ZAF,030232
521966,246,5079,2011,,,0.241792,1.353011,ZAF,030233
528492,246,5080,2011,4334931.0,374838.0,0.241792,1.353011,ZAF,030239
535018,246,5081,2011,50071.0,0.0,0.241792,1.353011,ZAF,030240
541544,246,5082,2011,0.0,17319.0,0.241792,1.353011,ZAF,030250
548070,246,5083,2011,855402.0,31555.0,0.241792,1.353011,ZAF,030261
554596,246,5084,2011,13004.0,0.0,0.241792,1.353011,ZAF,030262
561122,246,5085,2011,,,0.241792,1.353011,ZAF,030263
567648,246,5086,2011,309426.0,323990.0,0.241792,1.353011,ZAF,030264
574174,246,5087,2011,1529.0,0.0,0.241792,1.353011,ZAF,030265
580700,246,5088,2011,0.0,1102.0,0.241792,1.353011,ZAF,030266
587226,246,5089,2011,34327163.0,742751.0,0.241792,1.353011,ZAF,030269
593752,246,5090,2011,185176.0,48669.0,0.241792,1.353011,ZAF,030270
600278,246,5091,2011,630275.0,4881244.0,0.241792,1.353011,ZAF,030310
606804,246,5092,2011,17806.0,969015.0,0.241792,1.353011,ZAF,030321
613330,246,5093,2011,108195.0,3132819.0,0.241792,1.353011,ZAF,030322
619856,246,5094,2011,808595.0,183248.0,0.241792,1.353011,ZAF,030329
626382,246,5095,2011,9143.0,0.0,0.241792,1.353011,ZAF,030331
632908,246,5096,2011,,,0.241792,1.353011,ZAF,030332
639434,246,5097,2011,66475.0,644955.0,0.241792,1.353011,ZAF,030333
645960,246,5098,2011,202112.0,113701.0,0.241792,1.353011,ZAF,030339
652486,246,5099,2011,16348176.0,9640930.0,0.241792,1.353011,ZAF,030341
659012,246,5100,2011,557691.0,295259.0,0.241792,1.353011,ZAF,030342
665538,246,5101,2011,15321.0,10904.0,0.241792,1.353011,ZAF,030343
672064,246,5102,2011,2617545.0,776582.0,0.241792,1.353011,ZAF,030349
678590,246,5103,2011,22390.0,71188.0,0.241792,1.353011,ZAF,030350
685116,246,5104,2011,225567.0,141537.0,0.241792,1.353011,ZAF,030360
691642,246,5105,2011,9905406.0,3727589.0,0.241792,1.353011,ZAF,030371
698168,246,5106,2011,259569.0,0.0,0.241792,1.353011,ZAF,030372
704694,246,5107,2011,15883.0,26398.0,0.241792,1.353011,ZAF,030373
711220,246,5108,2011,26474118.0,7352715.0,0.241792,1.353011,ZAF,030374
717746,246,5109,2011,2721650.0,2007345.0,0.241792,1.353011,ZAF,030375
724272,246,5110,2011,15943.0,24031.0,0.241792,1.353011,ZAF,030376
730798,246,5111,2011,675502.0,37000.0,0.241792,1.353011,ZAF,030377
737324,246,5112,2011,30938028.0,20858300.0,0.241792,1.353011,ZAF,030378
