,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6456,248,5000,2003,1769.0,0.0,-0.366539,-0.18906199999999998,ZWE,010111
12982,248,5001,2003,162739.0,10287.0,-0.366539,-0.18906199999999998,ZWE,010119
19508,248,5002,2003,,,-0.366539,-0.18906199999999998,ZWE,010120
26034,248,5003,2003,,,-0.366539,-0.18906199999999998,ZWE,010210
32560,248,5004,2003,,,-0.366539,-0.18906199999999998,ZWE,010290
39086,248,5005,2003,0.0,48375.0,-0.366539,-0.18906199999999998,ZWE,010310
45612,248,5006,2003,,,-0.366539,-0.18906199999999998,ZWE,010391
52138,248,5007,2003,,,-0.366539,-0.18906199999999998,ZWE,010392
58664,248,5008,2003,,,-0.366539,-0.18906199999999998,ZWE,010410
65190,248,5009,2003,,,-0.366539,-0.18906199999999998,ZWE,010420
71716,248,5010,2003,709722.0,838968.0,-0.366539,-0.18906199999999998,ZWE,010511
78242,248,5011,2003,26959.0,5494.0,-0.366539,-0.18906199999999998,ZWE,010519
84768,248,5012,2003,,,-0.366539,-0.18906199999999998,ZWE,010591
91294,248,5013,2003,3806.0,36210.0,-0.366539,-0.18906199999999998,ZWE,010599
97820,248,5014,2003,93067.0,105900.0,-0.366539,-0.18906199999999998,ZWE,010600
104346,248,5015,2003,23959.0,0.0,-0.366539,-0.18906199999999998,ZWE,020110
110872,248,5016,2003,2680.0,0.0,-0.366539,-0.18906199999999998,ZWE,020120
117398,248,5017,2003,24685.0,0.0,-0.366539,-0.18906199999999998,ZWE,020130
123924,248,5018,2003,4001.0,0.0,-0.366539,-0.18906199999999998,ZWE,020210
130450,248,5019,2003,161690.0,0.0,-0.366539,-0.18906199999999998,ZWE,020220
136976,248,5020,2003,4407.0,0.0,-0.366539,-0.18906199999999998,ZWE,020230
143502,248,5021,2003,,,-0.366539,-0.18906199999999998,ZWE,020311
150028,248,5022,2003,17481.0,0.0,-0.366539,-0.18906199999999998,ZWE,020312
156554,248,5023,2003,51323.0,0.0,-0.366539,-0.18906199999999998,ZWE,020319
163080,248,5024,2003,5421.0,0.0,-0.366539,-0.18906199999999998,ZWE,020321
169606,248,5025,2003,1537608.0,0.0,-0.366539,-0.18906199999999998,ZWE,020322
176132,248,5026,2003,7219.0,0.0,-0.366539,-0.18906199999999998,ZWE,020329
182658,248,5027,2003,,,-0.366539,-0.18906199999999998,ZWE,020410
189184,248,5028,2003,,,-0.366539,-0.18906199999999998,ZWE,020421
195710,248,5029,2003,,,-0.366539,-0.18906199999999998,ZWE,020422
202236,248,5030,2003,,,-0.366539,-0.18906199999999998,ZWE,020423
208762,248,5031,2003,,,-0.366539,-0.18906199999999998,ZWE,020430
215288,248,5032,2003,,,-0.366539,-0.18906199999999998,ZWE,020441
221814,248,5033,2003,,,-0.366539,-0.18906199999999998,ZWE,020442
228340,248,5034,2003,,,-0.366539,-0.18906199999999998,ZWE,020443
234866,248,5035,2003,,,-0.366539,-0.18906199999999998,ZWE,020450
241392,248,5036,2003,,,-0.366539,-0.18906199999999998,ZWE,020500
247918,248,5037,2003,,,-0.366539,-0.18906199999999998,ZWE,020610
254444,248,5038,2003,,,-0.366539,-0.18906199999999998,ZWE,020621
260970,248,5039,2003,,,-0.366539,-0.18906199999999998,ZWE,020622
267496,248,5040,2003,,,-0.366539,-0.18906199999999998,ZWE,020629
274022,248,5041,2003,,,-0.366539,-0.18906199999999998,ZWE,020630
280548,248,5042,2003,,,-0.366539,-0.18906199999999998,ZWE,020641
287074,248,5043,2003,,,-0.366539,-0.18906199999999998,ZWE,020649
293600,248,5044,2003,,,-0.366539,-0.18906199999999998,ZWE,020680
300126,248,5045,2003,,,-0.366539,-0.18906199999999998,ZWE,020690
306652,248,5046,2003,1212.0,0.0,-0.366539,-0.18906199999999998,ZWE,020710
313178,248,5047,2003,109971.0,1785.0,-0.366539,-0.18906199999999998,ZWE,020721
319704,248,5048,2003,,,-0.366539,-0.18906199999999998,ZWE,020722
326230,248,5049,2003,,,-0.366539,-0.18906199999999998,ZWE,020723
332756,248,5050,2003,,,-0.366539,-0.18906199999999998,ZWE,020731
339282,248,5051,2003,,,-0.366539,-0.18906199999999998,ZWE,020739
345808,248,5052,2003,0.0,33694.0,-0.366539,-0.18906199999999998,ZWE,020741
352334,248,5053,2003,,,-0.366539,-0.18906199999999998,ZWE,020742
358860,248,5054,2003,,,-0.366539,-0.18906199999999998,ZWE,020743
365386,248,5055,2003,,,-0.366539,-0.18906199999999998,ZWE,020750
371912,248,5056,2003,,,-0.366539,-0.18906199999999998,ZWE,020810
378438,248,5057,2003,,,-0.366539,-0.18906199999999998,ZWE,020820
384964,248,5058,2003,2437477.0,17416.0,-0.366539,-0.18906199999999998,ZWE,020890
391490,248,5059,2003,,,-0.366539,-0.18906199999999998,ZWE,020900
398016,248,5060,2003,,,-0.366539,-0.18906199999999998,ZWE,021011
404542,248,5061,2003,,,-0.366539,-0.18906199999999998,ZWE,021012
411068,248,5062,2003,398280.0,0.0,-0.366539,-0.18906199999999998,ZWE,021019
417594,248,5063,2003,,,-0.366539,-0.18906199999999998,ZWE,021020
424120,248,5064,2003,0.0,30434.0,-0.366539,-0.18906199999999998,ZWE,021090
430646,248,5065,2003,3256.0,1004.0,-0.366539,-0.18906199999999998,ZWE,030110
437172,248,5066,2003,,,-0.366539,-0.18906199999999998,ZWE,030191
443698,248,5067,2003,,,-0.366539,-0.18906199999999998,ZWE,030192
450224,248,5068,2003,,,-0.366539,-0.18906199999999998,ZWE,030193
456750,248,5069,2003,13358.0,0.0,-0.366539,-0.18906199999999998,ZWE,030199
463276,248,5070,2003,17152.0,0.0,-0.366539,-0.18906199999999998,ZWE,030211
469802,248,5071,2003,,,-0.366539,-0.18906199999999998,ZWE,030212
476328,248,5072,2003,7846.0,1034.0,-0.366539,-0.18906199999999998,ZWE,030219
482854,248,5073,2003,,,-0.366539,-0.18906199999999998,ZWE,030221
489380,248,5074,2003,,,-0.366539,-0.18906199999999998,ZWE,030222
495906,248,5075,2003,2351.0,0.0,-0.366539,-0.18906199999999998,ZWE,030223
502432,248,5076,2003,,,-0.366539,-0.18906199999999998,ZWE,030229
508958,248,5077,2003,,,-0.366539,-0.18906199999999998,ZWE,030231
515484,248,5078,2003,,,-0.366539,-0.18906199999999998,ZWE,030232
522010,248,5079,2003,,,-0.366539,-0.18906199999999998,ZWE,030233
528536,248,5080,2003,,,-0.366539,-0.18906199999999998,ZWE,030239
535062,248,5081,2003,,,-0.366539,-0.18906199999999998,ZWE,030240
541588,248,5082,2003,,,-0.366539,-0.18906199999999998,ZWE,030250
548114,248,5083,2003,,,-0.366539,-0.18906199999999998,ZWE,030261
554640,248,5084,2003,,,-0.366539,-0.18906199999999998,ZWE,030262
561166,248,5085,2003,,,-0.366539,-0.18906199999999998,ZWE,030263
567692,248,5086,2003,,,-0.366539,-0.18906199999999998,ZWE,030264
574218,248,5087,2003,,,-0.366539,-0.18906199999999998,ZWE,030265
580744,248,5088,2003,,,-0.366539,-0.18906199999999998,ZWE,030266
587270,248,5089,2003,330734.0,82554.0,-0.366539,-0.18906199999999998,ZWE,030269
593796,248,5090,2003,,,-0.366539,-0.18906199999999998,ZWE,030270
600322,248,5091,2003,110413.0,42950.0,-0.366539,-0.18906199999999998,ZWE,030310
606848,248,5092,2003,2283.0,0.0,-0.366539,-0.18906199999999998,ZWE,030321
613374,248,5093,2003,0.0,8307.0,-0.366539,-0.18906199999999998,ZWE,030322
619900,248,5094,2003,0.0,1096.0,-0.366539,-0.18906199999999998,ZWE,030329
626426,248,5095,2003,,,-0.366539,-0.18906199999999998,ZWE,030331
632952,248,5096,2003,,,-0.366539,-0.18906199999999998,ZWE,030332
639478,248,5097,2003,,,-0.366539,-0.18906199999999998,ZWE,030333
646004,248,5098,2003,13341.0,0.0,-0.366539,-0.18906199999999998,ZWE,030339
652530,248,5099,2003,,,-0.366539,-0.18906199999999998,ZWE,030341
659056,248,5100,2003,,,-0.366539,-0.18906199999999998,ZWE,030342
665582,248,5101,2003,,,-0.366539,-0.18906199999999998,ZWE,030343
672108,248,5102,2003,0.0,6038.0,-0.366539,-0.18906199999999998,ZWE,030349
678634,248,5103,2003,,,-0.366539,-0.18906199999999998,ZWE,030350
685160,248,5104,2003,,,-0.366539,-0.18906199999999998,ZWE,030360
691686,248,5105,2003,0.0,5702.0,-0.366539,-0.18906199999999998,ZWE,030371
698212,248,5106,2003,0.0,3689.0,-0.366539,-0.18906199999999998,ZWE,030372
704738,248,5107,2003,,,-0.366539,-0.18906199999999998,ZWE,030373
711264,248,5108,2003,,,-0.366539,-0.18906199999999998,ZWE,030374
717790,248,5109,2003,,,-0.366539,-0.18906199999999998,ZWE,030375
724316,248,5110,2003,,,-0.366539,-0.18906199999999998,ZWE,030376
730842,248,5111,2003,,,-0.366539,-0.18906199999999998,ZWE,030377
737368,248,5112,2003,0.0,63339.0,-0.366539,-0.18906199999999998,ZWE,030378
743894,248,5113,2003,910393.0,39254.0,-0.366539,-0.18906199999999998,ZWE,030379
750420,248,5114,2003,,,-0.366539,-0.18906199999999998,ZWE,030380
756946,248,5115,2003,273481.0,18330.0,-0.366539,-0.18906199999999998,ZWE,030410
763472,248,5116,2003,604269.0,207484.0,-0.366539,-0.18906199999999998,ZWE,030420
769998,248,5117,2003,0.0,35697.0,-0.366539,-0.18906199999999998,ZWE,030490
776524,248,5118,2003,0.0,108163.0,-0.366539,-0.18906199999999998,ZWE,030510
783050,248,5119,2003,,,-0.366539,-0.18906199999999998,ZWE,030520
789576,248,5120,2003,0.0,22040.0,-0.366539,-0.18906199999999998,ZWE,030530
796102,248,5121,2003,0.0,3291.0,-0.366539,-0.18906199999999998,ZWE,030541
802628,248,5122,2003,,,-0.366539,-0.18906199999999998,ZWE,030542
809154,248,5123,2003,0.0,1646.0,-0.366539,-0.18906199999999998,ZWE,030549
815680,248,5124,2003,,,-0.366539,-0.18906199999999998,ZWE,030551
822206,248,5125,2003,680701.0,469120.0,-0.366539,-0.18906199999999998,ZWE,030559
828732,248,5126,2003,,,-0.366539,-0.18906199999999998,ZWE,030561
835258,248,5127,2003,,,-0.366539,-0.18906199999999998,ZWE,030562
841784,248,5128,2003,,,-0.366539,-0.18906199999999998,ZWE,030563
848310,248,5129,2003,2142.0,50315.0,-0.366539,-0.18906199999999998,ZWE,030569
854836,248,5130,2003,0.0,1485.0,-0.366539,-0.18906199999999998,ZWE,030611
861362,248,5131,2003,,,-0.366539,-0.18906199999999998,ZWE,030612
867888,248,5132,2003,14962.0,21241.0,-0.366539,-0.18906199999999998,ZWE,030613
874414,248,5133,2003,,,-0.366539,-0.18906199999999998,ZWE,030614
880940,248,5134,2003,,,-0.366539,-0.18906199999999998,ZWE,030619
887466,248,5135,2003,,,-0.366539,-0.18906199999999998,ZWE,030621
893992,248,5136,2003,,,-0.366539,-0.18906199999999998,ZWE,030622
900518,248,5137,2003,,,-0.366539,-0.18906199999999998,ZWE,030623
907044,248,5138,2003,,,-0.366539,-0.18906199999999998,ZWE,030624
913570,248,5139,2003,,,-0.366539,-0.18906199999999998,ZWE,030629
920096,248,5140,2003,,,-0.366539,-0.18906199999999998,ZWE,030710
926622,248,5141,2003,,,-0.366539,-0.18906199999999998,ZWE,030721
933148,248,5142,2003,0.0,59427.0,-0.366539,-0.18906199999999998,ZWE,030729
939674,248,5143,2003,,,-0.366539,-0.18906199999999998,ZWE,030731
946200,248,5144,2003,,,-0.366539,-0.18906199999999998,ZWE,030739
952726,248,5145,2003,,,-0.366539,-0.18906199999999998,ZWE,030741
959252,248,5146,2003,0.0,13478.0,-0.366539,-0.18906199999999998,ZWE,030749
965778,248,5147,2003,0.0,3532.0,-0.366539,-0.18906199999999998,ZWE,030751
972304,248,5148,2003,,,-0.366539,-0.18906199999999998,ZWE,030759
978830,248,5149,2003,,,-0.366539,-0.18906199999999998,ZWE,030760
985356,248,5150,2003,,,-0.366539,-0.18906199999999998,ZWE,030791
991882,248,5151,2003,1517434.0,0.0,-0.366539,-0.18906199999999998,ZWE,030799
998408,248,5152,2003,700817.0,65153.0,-0.366539,-0.18906199999999998,ZWE,040110
1004934,248,5153,2003,1768939.0,80335.0,-0.366539,-0.18906199999999998,ZWE,040120
1011460,248,5154,2003,203626.0,11450.0,-0.366539,-0.18906199999999998,ZWE,040130
1017986,248,5155,2003,19475.0,362389.0,-0.366539,-0.18906199999999998,ZWE,040210
