,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
21,0,5000,2016,0.0,0.0,0.9052,0.253571,ABW,010111
6547,0,5001,2016,0.0,0.0,0.9052,0.253571,ABW,010119
13073,0,5002,2016,0.0,1.0,0.9052,0.253571,ABW,010120
19599,0,5003,2016,0.0,0.0,0.9052,0.253571,ABW,010210
26125,0,5004,2016,0.0,0.0,0.9052,0.253571,ABW,010290
32651,0,5005,2016,0.0,0.0,0.9052,0.253571,ABW,010310
39177,0,5006,2016,0.0,0.0,0.9052,0.253571,ABW,010391
45703,0,5007,2016,0.0,0.0,0.9052,0.253571,ABW,010392
52229,0,5008,2016,0.0,1.0,0.9052,0.253571,ABW,010410
58755,0,5009,2016,0.0,0.0,0.9052,0.253571,ABW,010420
65281,0,5010,2016,0.1650147090096582,0.9862911060181258,0.9052,0.253571,ABW,010511
71807,0,5011,2016,0.0,1.0,0.9052,0.253571,ABW,010519
78333,0,5012,2016,0.130296626380696,0.9914750572524805,0.9052,0.253571,ABW,010591
84859,0,5013,2016,0.0,0.0,0.9052,0.253571,ABW,010599
91385,0,5014,2016,0.06334760464455857,0.9979915235039809,0.9052,0.253571,ABW,010600
97911,0,5015,2016,0.0,1.0,0.9052,0.253571,ABW,020110
104437,0,5016,2016,0.061848078979089234,0.9980855750518571,0.9052,0.253571,ABW,020120
110963,0,5017,2016,0.020170077527603407,0.9997965632930184,0.9052,0.253571,ABW,020130
117489,0,5018,2016,0.0,1.0,0.9052,0.253571,ABW,020210
124015,0,5019,2016,0.012054007924162844,0.9999273478073116,0.9052,0.253571,ABW,020220
130541,0,5020,2016,0.0,1.0,0.9052,0.253571,ABW,020230
137067,0,5021,2016,0.0,1.0,0.9052,0.253571,ABW,020311
143593,0,5022,2016,0.0,1.0,0.9052,0.253571,ABW,020312
150119,0,5023,2016,0.0,1.0,0.9052,0.253571,ABW,020319
156645,0,5024,2016,0.0,1.0,0.9052,0.253571,ABW,020321
163171,0,5025,2016,0.0,1.0,0.9052,0.253571,ABW,020322
169697,0,5026,2016,0.0035069996038586257,0.9999938504579808,0.9052,0.253571,ABW,020329
176223,0,5027,2016,0.0,1.0,0.9052,0.253571,ABW,020410
182749,0,5028,2016,0.0,1.0,0.9052,0.253571,ABW,020421
189275,0,5029,2016,0.0,1.0,0.9052,0.253571,ABW,020422
195801,0,5030,2016,0.0,1.0,0.9052,0.253571,ABW,020423
202327,0,5031,2016,0.0,1.0,0.9052,0.253571,ABW,020430
208853,0,5032,2016,0.28016407432797175,0.9599521297731209,0.9052,0.253571,ABW,020441
215379,0,5033,2016,0.003257442117663834,0.9999946945213509,0.9052,0.253571,ABW,020442
221905,0,5034,2016,0.0,1.0,0.9052,0.253571,ABW,020443
228431,0,5035,2016,0.0,1.0,0.9052,0.253571,ABW,020450
234957,0,5036,2016,0.0,1.0,0.9052,0.253571,ABW,020500
241483,0,5037,2016,0.0,1.0,0.9052,0.253571,ABW,020610
248009,0,5038,2016,0.0,1.0,0.9052,0.253571,ABW,020621
254535,0,5039,2016,0.0,1.0,0.9052,0.253571,ABW,020622
261061,0,5040,2016,0.0,1.0,0.9052,0.253571,ABW,020629
267587,0,5041,2016,0.0,1.0,0.9052,0.253571,ABW,020630
274113,0,5042,2016,0.0,1.0,0.9052,0.253571,ABW,020641
