,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
51,1,5000,2020,0.0,1.0,-1.178987,-0.815577,AFG,010111
6577,1,5001,2020,0.0,0.0,-1.178987,-0.815577,AFG,010119
13103,1,5002,2020,0.0,0.0,-1.178987,-0.815577,AFG,010120
19629,1,5003,2020,0.0,0.0,-1.178987,-0.815577,AFG,010210
26155,1,5004,2020,0.0,0.0,-1.178987,-0.815577,AFG,010290
32681,1,5005,2020,0.0,0.0,-1.178987,-0.815577,AFG,010310
39207,1,5006,2020,0.0,0.0,-1.178987,-0.815577,AFG,010391
45733,1,5007,2020,0.0,0.0,-1.178987,-0.815577,AFG,010392
52259,1,5008,2020,1.0,0.0,-1.178987,-0.815577,AFG,010410
58785,1,5009,2020,0.0,0.0,-1.178987,-0.815577,AFG,010420
65311,1,5010,2020,0.0,1.0,-1.178987,-0.815577,AFG,010511
71837,1,5011,2020,0.0,0.0,-1.178987,-0.815577,AFG,010519
78363,1,5012,2020,0.0,1.0,-1.178987,-0.815577,AFG,010591
84889,1,5013,2020,0.0,1.0,-1.178987,-0.815577,AFG,010599
91415,1,5014,2020,0.4410847640124338,0.897465448335531,-1.178987,-0.815577,AFG,010600
97941,1,5015,2020,0.0,1.0,-1.178987,-0.815577,AFG,020110
104467,1,5016,2020,0.0,1.0,-1.178987,-0.815577,AFG,020120
110993,1,5017,2020,0.0,1.0,-1.178987,-0.815577,AFG,020130
117519,1,5018,2020,0.0,1.0,-1.178987,-0.815577,AFG,020210
124045,1,5019,2020,0.0,1.0,-1.178987,-0.815577,AFG,020220
130571,1,5020,2020,0.0,1.0,-1.178987,-0.815577,AFG,020230
137097,1,5021,2020,0.0,1.0,-1.178987,-0.815577,AFG,020311
143623,1,5022,2020,0.0,1.0,-1.178987,-0.815577,AFG,020312
150149,1,5023,2020,0.0,1.0,-1.178987,-0.815577,AFG,020319
156675,1,5024,2020,0.0,0.0,-1.178987,-0.815577,AFG,020321
163201,1,5025,2020,0.0,1.0,-1.178987,-0.815577,AFG,020322
169727,1,5026,2020,0.0,1.0,-1.178987,-0.815577,AFG,020329
176253,1,5027,2020,0.0,1.0,-1.178987,-0.815577,AFG,020410
182779,1,5028,2020,0.0,1.0,-1.178987,-0.815577,AFG,020421
189305,1,5029,2020,0.0,1.0,-1.178987,-0.815577,AFG,020422
195831,1,5030,2020,0.0,0.0,-1.178987,-0.815577,AFG,020423
202357,1,5031,2020,0.0,1.0,-1.178987,-0.815577,AFG,020430
208883,1,5032,2020,0.0,0.0,-1.178987,-0.815577,AFG,020441
215409,1,5033,2020,0.0,1.0,-1.178987,-0.815577,AFG,020442
221935,1,5034,2020,0.0,1.0,-1.178987,-0.815577,AFG,020443
228461,1,5035,2020,0.0,1.0,-1.178987,-0.815577,AFG,020450
234987,1,5036,2020,0.0,0.0,-1.178987,-0.815577,AFG,020500
241513,1,5037,2020,0.0,0.0,-1.178987,-0.815577,AFG,020610
248039,1,5038,2020,0.0,0.0,-1.178987,-0.815577,AFG,020621
254565,1,5039,2020,0.0,1.0,-1.178987,-0.815577,AFG,020622
261091,1,5040,2020,0.0,1.0,-1.178987,-0.815577,AFG,020629
267617,1,5041,2020,0.0,0.0,-1.178987,-0.815577,AFG,020630
274143,1,5042,2020,0.0,0.0,-1.178987,-0.815577,AFG,020641
280669,1,5043,2020,0.0,0.0,-1.178987,-0.815577,AFG,020649
287195,1,5044,2020,0.0,1.0,-1.178987,-0.815577,AFG,020680
293721,1,5045,2020,0.0,0.0,-1.178987,-0.815577,AFG,020690
300247,1,5046,2020,0.0,1.0,-1.178987,-0.815577,AFG,020710
306773,1,5047,2020,0.0,1.0,-1.178987,-0.815577,AFG,020721
313299,1,5048,2020,0.0,1.0,-1.178987,-0.815577,AFG,020722
319825,1,5049,2020,0.0,1.0,-1.178987,-0.815577,AFG,020723
326351,1,5050,2020,0.0,0.0,-1.178987,-0.815577,AFG,020731
