,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
74,2,5000,2017,0.0,6.3853882201656975e-09,-1.408777,-1.215475,AGO,010111
6600,2,5001,2017,0.0,0.0,-1.408777,-1.215475,AGO,010119
13126,2,5002,2017,0.0,2.8523787034355874e-08,-1.408777,-1.215475,AGO,010120
19652,2,5003,2017,4.2849437293123735e-10,4.211542359120779e-07,-1.408777,-1.215475,AGO,010210
26178,2,5004,2017,0.0,5.67127273066006e-07,-1.408777,-1.215475,AGO,010290
32704,2,5005,2017,0.0,7.143806359073887e-08,-1.408777,-1.215475,AGO,010310
39230,2,5006,2017,0.0,3.7120496245123956e-10,-1.408777,-1.215475,AGO,010391
45756,2,5007,2017,0.0,0.0,-1.408777,-1.215475,AGO,010392
52282,2,5008,2017,0.0,3.1800996559996817e-09,-1.408777,-1.215475,AGO,010410
58808,2,5009,2017,0.0,4.239690963996657e-08,-1.408777,-1.215475,AGO,010420
65334,2,5010,2017,0.0,3.0192552200375507e-07,-1.408777,-1.215475,AGO,010511
71860,2,5011,2017,0.0,7.106917865930294e-09,-1.408777,-1.215475,AGO,010519
78386,2,5012,2017,0.0,3.9350708916851086e-08,-1.408777,-1.215475,AGO,010591
84912,2,5013,2017,0.0,2.3306633860304575e-07,-1.408777,-1.215475,AGO,010599
91438,2,5014,2017,6.392557243389862e-07,1.527412304916216e-07,-1.408777,-1.215475,AGO,010600
97964,2,5015,2017,0.0,1.2908718855842292e-07,-1.408777,-1.215475,AGO,020110
104490,2,5016,2017,0.0,9.049844411360344e-08,-1.408777,-1.215475,AGO,020120
111016,2,5017,2017,5.536486699755097e-10,6.696242547248414e-07,-1.408777,-1.215475,AGO,020130
117542,2,5018,2017,0.0,6.516271112729978e-08,-1.408777,-1.215475,AGO,020210
124068,2,5019,2017,1.6215511948762737e-09,3.7698276769179308e-06,-1.408777,-1.215475,AGO,020220
130594,2,5020,2017,3.6538387922072854e-08,2.0089914503326077e-05,-1.408777,-1.215475,AGO,020230
137120,2,5021,2017,0.0,1.94206481962436e-08,-1.408777,-1.215475,AGO,020311
143646,2,5022,2017,1.8445864554684878e-09,9.292817945264812e-08,-1.408777,-1.215475,AGO,020312
150172,2,5023,2017,2.51369223724513e-09,1.0110433332693909e-06,-1.408777,-1.215475,AGO,020319
156698,2,5024,2017,0.0,4.120385026198825e-07,-1.408777,-1.215475,AGO,020321
163224,2,5025,2017,0.0,1.9489983980301457e-06,-1.408777,-1.215475,AGO,020322
169750,2,5026,2017,0.0,1.6191701281515356e-05,-1.408777,-1.215475,AGO,020329
176276,2,5027,2017,0.0,1.732731735442036e-09,-1.408777,-1.215475,AGO,020410
182802,2,5028,2017,0.0,0.0,-1.408777,-1.215475,AGO,020421
189328,2,5029,2017,0.0,2.107681890818007e-08,-1.408777,-1.215475,AGO,020422
195854,2,5030,2017,0.0,3.403651215975897e-08,-1.408777,-1.215475,AGO,020423
202380,2,5031,2017,0.0,3.804950295025862e-08,-1.408777,-1.215475,AGO,020430
208906,2,5032,2017,0.0,7.094654844849316e-09,-1.408777,-1.215475,AGO,020441
215432,2,5033,2017,0.0,2.9326981771859745e-07,-1.408777,-1.215475,AGO,020442
221958,2,5034,2017,4.5697985458296033e-10,1.4204555607799307e-08,-1.408777,-1.215475,AGO,020443
228484,2,5035,2017,0.0,7.883896252961045e-08,-1.408777,-1.215475,AGO,020450
235010,2,5036,2017,0.0,0.0,-1.408777,-1.215475,AGO,020500
241536,2,5037,2017,0.0,2.0528297289557924e-08,-1.408777,-1.215475,AGO,020610
248062,2,5038,2017,0.0,3.644868154968765e-08,-1.408777,-1.215475,AGO,020621
254588,2,5039,2017,0.0,1.9196294568402087e-06,-1.408777,-1.215475,AGO,020622
261114,2,5040,2017,3.3343165384458306e-09,2.4088686486598837e-06,-1.408777,-1.215475,AGO,020629
267640,2,5041,2017,4.403128174463139e-10,1.3871863160202385e-07,-1.408777,-1.215475,AGO,020630
274166,2,5042,2017,0.0,1.0237302571601685e-08,-1.408777,-1.215475,AGO,020641
280692,2,5043,2017,0.0,3.1963315872818686e-06,-1.408777,-1.215475,AGO,020649
287218,2,5044,2017,0.0,3.899972136753335e-08,-1.408777,-1.215475,AGO,020680
293744,2,5045,2017,1.8406469739634624e-09,6.89002810929807e-08,-1.408777,-1.215475,AGO,020690
300270,2,5046,2017,2.3433551177086034e-08,1.011029744516301e-07,-1.408777,-1.215475,AGO,020710
306796,2,5047,2017,2.829759868763716e-09,2.3303933675635745e-05,-1.408777,-1.215475,AGO,020721
313322,2,5048,2017,0.0,2.5404969340460866e-07,-1.408777,-1.215475,AGO,020722
319848,2,5049,2017,0.0,2.522569722957705e-07,-1.408777,-1.215475,AGO,020723
326374,2,5050,2017,0.0,1.5090144589647266e-09,-1.408777,-1.215475,AGO,020731
332900,2,5051,2017,7.985025973647882e-10,4.6061663775066657e-07,-1.408777,-1.215475,AGO,020739
339426,2,5052,2017,1.6486760402235686e-07,5.99612035795498e-05,-1.408777,-1.215475,AGO,020741
345952,2,5053,2017,0.0,3.107347129122263e-06,-1.408777,-1.215475,AGO,020742
352478,2,5054,2017,0.0,3.725174371399064e-08,-1.408777,-1.215475,AGO,020743
359004,2,5055,2017,0.0,0.0,-1.408777,-1.215475,AGO,020750
365530,2,5056,2017,0.0,4.159848753769422e-08,-1.408777,-1.215475,AGO,020810
372056,2,5057,2017,0.0,0.0,-1.408777,-1.215475,AGO,020820
378582,2,5058,2017,0.0,3.0647609712380466e-08,-1.408777,-1.215475,AGO,020890
385108,2,5059,2017,1.0436595617929148e-09,2.3631272485948318e-07,-1.408777,-1.215475,AGO,020900
391634,2,5060,2017,0.0,5.985590532615647e-07,-1.408777,-1.215475,AGO,021011
398160,2,5061,2017,0.0,4.773082666068891e-07,-1.408777,-1.215475,AGO,021012
404686,2,5062,2017,0.0,7.251565171075468e-07,-1.408777,-1.215475,AGO,021019
411212,2,5063,2017,0.0,9.1469685326207e-06,-1.408777,-1.215475,AGO,021020
417738,2,5064,2017,0.0,4.479118164777707e-08,-1.408777,-1.215475,AGO,021090
424264,2,5065,2017,0.0,8.405140935503067e-10,-1.408777,-1.215475,AGO,030110
430790,2,5066,2017,0.0,0.0,-1.408777,-1.215475,AGO,030191
437316,2,5067,2017,0.0,0.0,-1.408777,-1.215475,AGO,030192
443842,2,5068,2017,0.0,0.0,-1.408777,-1.215475,AGO,030193
450368,2,5069,2017,0.0,3.9606243761538505e-10,-1.408777,-1.215475,AGO,030199
456894,2,5070,2017,0.0,6.02545197978887e-10,-1.408777,-1.215475,AGO,030211
463420,2,5071,2017,0.0,3.134613790779317e-07,-1.408777,-1.215475,AGO,030212
469946,2,5072,2017,8.0496334703303e-08,2.155176240031634e-08,-1.408777,-1.215475,AGO,030219
476472,2,5073,2017,0.0,0.0,-1.408777,-1.215475,AGO,030221
482998,2,5074,2017,0.0,0.0,-1.408777,-1.215475,AGO,030222
489524,2,5075,2017,1.562125631558158e-08,5.972422699438694e-10,-1.408777,-1.215475,AGO,030223
496050,2,5076,2017,3.4547586095360146e-07,1.8719335963612508e-09,-1.408777,-1.215475,AGO,030229
502576,2,5077,2017,0.0,0.0,-1.408777,-1.215475,AGO,030231
509102,2,5078,2017,8.354731161042584e-10,4.021276615554365e-09,-1.408777,-1.215475,AGO,030232
515628,2,5079,2017,0.0,0.0,-1.408777,-1.215475,AGO,030233
522154,2,5080,2017,0.0,1.316451884693146e-08,-1.408777,-1.215475,AGO,030239
528680,2,5081,2017,0.0,0.0,-1.408777,-1.215475,AGO,030240
535206,2,5082,2017,0.0,1.6478683152316432e-07,-1.408777,-1.215475,AGO,030250
541732,2,5083,2017,7.219578656480646e-07,9.336467671653053e-10,-1.408777,-1.215475,AGO,030261
548258,2,5084,2017,0.0,0.0,-1.408777,-1.215475,AGO,030262
554784,2,5085,2017,0.0,3.512858390197043e-09,-1.408777,-1.215475,AGO,030263
561310,2,5086,2017,4.0723450643380884e-07,0.0,-1.408777,-1.215475,AGO,030264
567836,2,5087,2017,0.0,0.0,-1.408777,-1.215475,AGO,030265
574362,2,5088,2017,0.0,0.0,-1.408777,-1.215475,AGO,030266
580888,2,5089,2017,5.368752668382276e-07,7.926561623332784e-07,-1.408777,-1.215475,AGO,030269
587414,2,5090,2017,0.0,5.133897203901519e-10,-1.408777,-1.215475,AGO,030270
593940,2,5091,2017,0.0,1.3238759839421707e-08,-1.408777,-1.215475,AGO,030310
600466,2,5092,2017,0.0,2.8234777456447406e-09,-1.408777,-1.215475,AGO,030321
606992,2,5093,2017,0.0,7.788675551432258e-09,-1.408777,-1.215475,AGO,030322
613518,2,5094,2017,1.3368327450265255e-07,1.2211052386235275e-07,-1.408777,-1.215475,AGO,030329
620044,2,5095,2017,0.0,8.769385804908345e-09,-1.408777,-1.215475,AGO,030331
626570,2,5096,2017,0.0,2.591474644112716e-09,-1.408777,-1.215475,AGO,030332
633096,2,5097,2017,0.0,2.8025974665068584e-09,-1.408777,-1.215475,AGO,030333
639622,2,5098,2017,1.5552497211466943e-07,3.69445053209618e-08,-1.408777,-1.215475,AGO,030339
646148,2,5099,2017,0.0,5.134228636903707e-09,-1.408777,-1.215475,AGO,030341
652674,2,5100,2017,5.681944478402192e-09,2.1914350104710677e-09,-1.408777,-1.215475,AGO,030342
659200,2,5101,2017,0.0,0.0,-1.408777,-1.215475,AGO,030343
665726,2,5102,2017,1.0720844360368681e-07,1.7829968645539602e-07,-1.408777,-1.215475,AGO,030349
672252,2,5103,2017,0.0,1.738697529481431e-09,-1.408777,-1.215475,AGO,030350
678778,2,5104,2017,0.0,6.565366283344177e-07,-1.408777,-1.215475,AGO,030360
685304,2,5105,2017,5.5834395615912625e-06,4.658456562261962e-08,-1.408777,-1.215475,AGO,030371
691830,2,5106,2017,0.0,1.1555411621305774e-08,-1.408777,-1.215475,AGO,030372
698356,2,5107,2017,0.0,8.361391779214171e-09,-1.408777,-1.215475,AGO,030373
704882,2,5108,2017,3.6655763258329892e-06,1.2239323621321965e-07,-1.408777,-1.215475,AGO,030374
711408,2,5109,2017,4.540222130838027e-08,6.06853827007339e-10,-1.408777,-1.215475,AGO,030375
717934,2,5110,2017,0.0,0.0,-1.408777,-1.215475,AGO,030376
724460,2,5111,2017,0.0,1.5385119961595126e-08,-1.408777,-1.215475,AGO,030377
730986,2,5112,2017,6.59078286161158e-07,1.9586265267437247e-07,-1.408777,-1.215475,AGO,030378
737512,2,5113,2017,9.142339273823743e-06,2.766986713873304e-05,-1.408777,-1.215475,AGO,030379
744038,2,5114,2017,0.0,1.9236040014024547e-08,-1.408777,-1.215475,AGO,030380
750564,2,5115,2017,0.0,1.2229181771454992e-07,-1.408777,-1.215475,AGO,030410
757090,2,5116,2017,4.6284756076617643e-07,5.270798919785544e-07,-1.408777,-1.215475,AGO,030420
763616,2,5117,2017,0.0,2.978628162629271e-07,-1.408777,-1.215475,AGO,030490
770142,2,5118,2017,1.65932779213908e-06,1.4155503523475395e-09,-1.408777,-1.215475,AGO,030510
776668,2,5119,2017,0.0,1.3542352469426472e-09,-1.408777,-1.215475,AGO,030520
783194,2,5120,2017,0.0,4.516407691853947e-07,-1.408777,-1.215475,AGO,030530
789720,2,5121,2017,0.0,7.246418016551479e-08,-1.408777,-1.215475,AGO,030541
796246,2,5122,2017,0.0,0.0,-1.408777,-1.215475,AGO,030542
802772,2,5123,2017,0.0,3.7229869135846193e-09,-1.408777,-1.215475,AGO,030549
809298,2,5124,2017,1.4470927716114128e-08,2.194137846603916e-06,-1.408777,-1.215475,AGO,030551
815824,2,5125,2017,9.238902329289735e-08,2.4031749611152852e-06,-1.408777,-1.215475,AGO,030559
822350,2,5126,2017,0.0,0.0,-1.408777,-1.215475,AGO,030561
828876,2,5127,2017,0.0,2.58176365714859e-08,-1.408777,-1.215475,AGO,030562
835402,2,5128,2017,0.0,0.0,-1.408777,-1.215475,AGO,030563
841928,2,5129,2017,0.0,7.005678341081763e-07,-1.408777,-1.215475,AGO,030569
848454,2,5130,2017,0.0,6.382736756148188e-09,-1.408777,-1.215475,AGO,030611
854980,2,5131,2017,0.0,4.412036125134733e-09,-1.408777,-1.215475,AGO,030612
861506,2,5132,2017,7.468310245819025e-06,6.930055272972388e-07,-1.408777,-1.215475,AGO,030613
868032,2,5133,2017,4.54225247899831e-07,3.16588118020579e-08,-1.408777,-1.215475,AGO,030614
874558,2,5134,2017,0.0,8.543679930417905e-09,-1.408777,-1.215475,AGO,030619
881084,2,5135,2017,0.0,0.0,-1.408777,-1.215475,AGO,030621
887610,2,5136,2017,0.0,5.746716824948252e-09,-1.408777,-1.215475,AGO,030622
894136,2,5137,2017,7.308688515976168e-06,7.50646035006866e-08,-1.408777,-1.215475,AGO,030623
900662,2,5138,2017,0.0,2.4797817223751558e-09,-1.408777,-1.215475,AGO,030624
907188,2,5139,2017,0.0,1.497513733788782e-08,-1.408777,-1.215475,AGO,030629
913714,2,5140,2017,0.0,2.6441724914607047e-09,-1.408777,-1.215475,AGO,030710
920240,2,5141,2017,0.0,0.0,-1.408777,-1.215475,AGO,030721
926766,2,5142,2017,0.0,6.687655118161707e-09,-1.408777,-1.215475,AGO,030729
933292,2,5143,2017,0.0,0.0,-1.408777,-1.215475,AGO,030731
939818,2,5144,2017,0.0,1.2953396024537318e-08,-1.408777,-1.215475,AGO,030739
946344,2,5145,2017,2.809865487163337e-07,9.816382658822155e-09,-1.408777,-1.215475,AGO,030741
952870,2,5146,2017,5.1435991788885127e-08,6.820360892238025e-08,-1.408777,-1.215475,AGO,030749
959396,2,5147,2017,2.33067301763281e-07,7.87153380197941e-10,-1.408777,-1.215475,AGO,030751
965922,2,5148,2017,0.0,5.7973597876826717e-08,-1.408777,-1.215475,AGO,030759
972448,2,5149,2017,0.0,5.780191558169302e-10,-1.408777,-1.215475,AGO,030760
978974,2,5150,2017,0.0,5.836203735539176e-09,-1.408777,-1.215475,AGO,030791
985500,2,5151,2017,2.8296083502442918e-08,2.208530324723956e-07,-1.408777,-1.215475,AGO,030799
992026,2,5152,2017,3.8182666894862735e-10,7.73980906958957e-07,-1.408777,-1.215475,AGO,040110
998552,2,5153,2017,0.0,5.650622466025696e-06,-1.408777,-1.215475,AGO,040120
1005078,2,5154,2017,1.6063993429338679e-09,2.3982796956729597e-06,-1.408777,-1.215475,AGO,040130
1011604,2,5155,2017,2.5807543339422184e-08,3.7896755422539954e-06,-1.408777,-1.215475,AGO,040210
1018130,2,5156,2017,4.1611530989429176e-08,1.7095253600648936e-05,-1.408777,-1.215475,AGO,040221
1024656,2,5157,2017,1.9497403079487843e-09,1.255142745082293e-06,-1.408777,-1.215475,AGO,040229
1031182,2,5158,2017,0.0,7.255552310091797e-07,-1.408777,-1.215475,AGO,040291
1037708,2,5159,2017,1.4570020827817464e-09,3.0796976623476805e-06,-1.408777,-1.215475,AGO,040299
1044234,2,5160,2017,2.9185497211462143e-09,8.261727555425041e-06,-1.408777,-1.215475,AGO,040310
1050760,2,5161,2017,1.2888165262210415e-09,1.5501217627931773e-06,-1.408777,-1.215475,AGO,040390
1057286,2,5162,2017,0.0,1.101882159076242e-08,-1.408777,-1.215475,AGO,040410
1063812,2,5163,2017,1.8621626037216786e-09,2.5693216622464297e-07,-1.408777,-1.215475,AGO,040490
1070338,2,5164,2017,1.5612468241454984e-09,1.953745512920493e-06,-1.408777,-1.215475,AGO,040500
1076864,2,5165,2017,0.0,3.373401325866143e-07,-1.408777,-1.215475,AGO,040610
1083390,2,5166,2017,0.0,5.492275709168059e-08,-1.408777,-1.215475,AGO,040620
1089916,2,5167,2017,0.0,3.817342574977694e-07,-1.408777,-1.215475,AGO,040630
1096442,2,5168,2017,0.0,1.629026349057221e-08,-1.408777,-1.215475,AGO,040640
1102968,2,5169,2017,4.00705876468865e-09,4.797524855681295e-06,-1.408777,-1.215475,AGO,040690
1109494,2,5170,2017,2.5439959411299416e-09,8.803689120634866e-08,-1.408777,-1.215475,AGO,040700
1116020,2,5171,2017,0.0,8.456181617840112e-09,-1.408777,-1.215475,AGO,040811
