,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
114,4,5000,2005,0.0,9736.0,-0.156823,0.187042,ALB,010111
6640,4,5001,2005,0.0,2375.0,-0.156823,0.187042,ALB,010119
13166,4,5002,2005,,,-0.156823,0.187042,ALB,010120
19692,4,5003,2005,0.0,1693919.0,-0.156823,0.187042,ALB,010210
26218,4,5004,2005,0.0,5102082.0,-0.156823,0.187042,ALB,010290
32744,4,5005,2005,0.0,51293.0,-0.156823,0.187042,ALB,010310
39270,4,5006,2005,0.0,128599.0,-0.156823,0.187042,ALB,010391
45796,4,5007,2005,0.0,2083020.0,-0.156823,0.187042,ALB,010392
52322,4,5008,2005,0.0,22837.0,-0.156823,0.187042,ALB,010410
58848,4,5009,2005,,,-0.156823,0.187042,ALB,010420
65374,4,5010,2005,35753.0,1301898.0,-0.156823,0.187042,ALB,010511
71900,4,5011,2005,0.0,42965.0,-0.156823,0.187042,ALB,010519
78426,4,5012,2005,0.0,227681.0,-0.156823,0.187042,ALB,010591
84952,4,5013,2005,0.0,36310.0,-0.156823,0.187042,ALB,010599
91478,4,5014,2005,603802.0,21239.0,-0.156823,0.187042,ALB,010600
98004,4,5015,2005,0.0,59300.0,-0.156823,0.187042,ALB,020110
104530,4,5016,2005,69395.0,24838.0,-0.156823,0.187042,ALB,020120
111056,4,5017,2005,0.0,698575.0,-0.156823,0.187042,ALB,020130
117582,4,5018,2005,0.0,173038.0,-0.156823,0.187042,ALB,020210
124108,4,5019,2005,0.0,143279.0,-0.156823,0.187042,ALB,020220
130634,4,5020,2005,7590.0,5840038.0,-0.156823,0.187042,ALB,020230
137160,4,5021,2005,0.0,52659.0,-0.156823,0.187042,ALB,020311
143686,4,5022,2005,0.0,9540.0,-0.156823,0.187042,ALB,020312
150212,4,5023,2005,0.0,346304.0,-0.156823,0.187042,ALB,020319
156738,4,5024,2005,0.0,512816.0,-0.156823,0.187042,ALB,020321
163264,4,5025,2005,0.0,526311.0,-0.156823,0.187042,ALB,020322
169790,4,5026,2005,0.0,20775345.0,-0.156823,0.187042,ALB,020329
176316,4,5027,2005,0.0,7279.0,-0.156823,0.187042,ALB,020410
182842,4,5028,2005,,,-0.156823,0.187042,ALB,020421
189368,4,5029,2005,,,-0.156823,0.187042,ALB,020422
195894,4,5030,2005,,,-0.156823,0.187042,ALB,020423
202420,4,5031,2005,0.0,175862.0,-0.156823,0.187042,ALB,020430
208946,4,5032,2005,0.0,25357.0,-0.156823,0.187042,ALB,020441
215472,4,5033,2005,0.0,499581.0,-0.156823,0.187042,ALB,020442
221998,4,5034,2005,0.0,32723.0,-0.156823,0.187042,ALB,020443
228524,4,5035,2005,0.0,25340.0,-0.156823,0.187042,ALB,020450
235050,4,5036,2005,0.0,8679.0,-0.156823,0.187042,ALB,020500
241576,4,5037,2005,226447.0,108043.0,-0.156823,0.187042,ALB,020610
248102,4,5038,2005,0.0,24079.0,-0.156823,0.187042,ALB,020621
254628,4,5039,2005,0.0,182419.0,-0.156823,0.187042,ALB,020622
261154,4,5040,2005,10843.0,501475.0,-0.156823,0.187042,ALB,020629
267680,4,5041,2005,0.0,60758.0,-0.156823,0.187042,ALB,020630
274206,4,5042,2005,0.0,76487.0,-0.156823,0.187042,ALB,020641
280732,4,5043,2005,0.0,956295.0,-0.156823,0.187042,ALB,020649
287258,4,5044,2005,0.0,1215.0,-0.156823,0.187042,ALB,020680
293784,4,5045,2005,0.0,66749.0,-0.156823,0.187042,ALB,020690
300310,4,5046,2005,0.0,617806.0,-0.156823,0.187042,ALB,020710
306836,4,5047,2005,0.0,7202246.0,-0.156823,0.187042,ALB,020721
