,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6512,250,5000,2007,3.1410119386979666e-06,2.5914083575122784e-08,0.671936,-0.284418,ANS,010111
13038,250,5001,2007,1.6847801760689722e-06,8.362654538952509e-07,0.671936,-0.284418,ANS,010119
19564,250,5002,2007,0.0,0.0,0.671936,-0.284418,ANS,010120
26090,250,5003,2007,2.0379604506982483e-07,8.907593366820995e-09,0.671936,-0.284418,ANS,010210
32616,250,5004,2007,5.544353541283593e-07,6.248960122041799e-06,0.671936,-0.284418,ANS,010290
39142,250,5005,2007,9.865310192292678e-08,0.0,0.671936,-0.284418,ANS,010310
45668,250,5006,2007,1.5599974024343278e-06,0.0,0.671936,-0.284418,ANS,010391
52194,250,5007,2007,1.7571839066498362e-06,0.0,0.671936,-0.284418,ANS,010392
58720,250,5008,2007,1.5235656835499294e-06,1.8923598122861347e-06,0.671936,-0.284418,ANS,010410
65246,250,5009,2007,1.9050453750890757e-07,2.359688962630127e-06,0.671936,-0.284418,ANS,010420
71772,250,5010,2007,6.068194275969847e-06,2.7717741973033182e-08,0.671936,-0.284418,ANS,010511
78298,250,5011,2007,3.835933748851119e-08,4.561843842123983e-09,0.671936,-0.284418,ANS,010519
84824,250,5012,2007,4.593253612636448e-08,0.0,0.671936,-0.284418,ANS,010591
91350,250,5013,2007,1.8927693446453386e-09,2.9712968646208596e-09,0.671936,-0.284418,ANS,010599
97876,250,5014,2007,4.080860405129721e-07,1.8021076228931575e-06,0.671936,-0.284418,ANS,010600
104402,250,5015,2007,1.1572893602497932e-07,2.006270020808337e-07,0.671936,-0.284418,ANS,020110
110928,250,5016,2007,6.033555324207275e-07,1.4760169892668289e-07,0.671936,-0.284418,ANS,020120
117454,250,5017,2007,1.1174069586040314e-06,6.825564390372386e-08,0.671936,-0.284418,ANS,020130
123980,250,5018,2007,4.2703373440398944e-08,3.0628386598253526e-08,0.671936,-0.284418,ANS,020210
130506,250,5019,2007,5.455424291863225e-08,6.138835209837593e-07,0.671936,-0.284418,ANS,020220
137032,250,5020,2007,8.956226349081823e-07,1.5256603500666471e-06,0.671936,-0.284418,ANS,020230
143558,250,5021,2007,4.252729376897624e-06,1.0259574869348759e-07,0.671936,-0.284418,ANS,020311
150084,250,5022,2007,8.600085099545962e-07,5.445775658960997e-08,0.671936,-0.284418,ANS,020312
156610,250,5023,2007,2.20250047168161e-06,1.476620197330812e-07,0.671936,-0.284418,ANS,020319
163136,250,5024,2007,6.661148062032113e-08,5.15481062633962e-08,0.671936,-0.284418,ANS,020321
169662,250,5025,2007,2.670907852999533e-08,1.8710420415853636e-07,0.671936,-0.284418,ANS,020322
176188,250,5026,2007,1.1857927210868083e-06,6.655058682396458e-07,0.671936,-0.284418,ANS,020329
182714,250,5027,2007,7.718353379461539e-09,5.7137723845307044e-08,0.671936,-0.284418,ANS,020410
189240,250,5028,2007,1.0216287690686566e-08,2.2132101587148593e-08,0.671936,-0.284418,ANS,020421
195766,250,5029,2007,3.589625243675369e-08,2.1059252959064074e-08,0.671936,-0.284418,ANS,020422
202292,250,5030,2007,1.0306713943078844e-07,3.736675096575009e-08,0.671936,-0.284418,ANS,020423
208818,250,5031,2007,8.746679267088739e-08,1.0364108838239045e-07,0.671936,-0.284418,ANS,020430
215344,250,5032,2007,3.8794195639258236e-08,1.605660322402924e-08,0.671936,-0.284418,ANS,020441
221870,250,5033,2007,1.966510377678639e-07,5.716745338560336e-07,0.671936,-0.284418,ANS,020442
228396,250,5034,2007,3.402196835147809e-08,1.954115723583938e-07,0.671936,-0.284418,ANS,020443
234922,250,5035,2007,3.304194656784328e-08,7.204591171675277e-08,0.671936,-0.284418,ANS,020450
241448,250,5036,2007,1.47169937916588e-08,1.331697802793822e-09,0.671936,-0.284418,ANS,020500
247974,250,5037,2007,1.4158102580911217e-07,5.419791311589411e-08,0.671936,-0.284418,ANS,020610
254500,250,5038,2007,2.626664445327708e-08,1.7537445877807937e-08,0.671936,-0.284418,ANS,020621
261026,250,5039,2007,1.3945764527790341e-08,8.531847772239771e-08,0.671936,-0.284418,ANS,020622
267552,250,5040,2007,9.21071988467686e-08,1.4289535029560466e-07,0.671936,-0.284418,ANS,020629
274078,250,5041,2007,1.7866760773446126e-08,1.7019084662384956e-09,0.671936,-0.284418,ANS,020630
280604,250,5042,2007,1.7299475436722453e-08,1.0102077906708733e-09,0.671936,-0.284418,ANS,020641
287130,250,5043,2007,1.216048242082443e-07,1.9997673053053965e-08,0.671936,-0.284418,ANS,020649
293656,250,5044,2007,6.236502259494247e-10,3.695975123906248e-08,0.671936,-0.284418,ANS,020680
300182,250,5045,2007,2.843396535511881e-09,6.9822990571073785e-09,0.671936,-0.284418,ANS,020690
306708,250,5046,2007,1.9997753595070746e-06,9.349857564941471e-08,0.671936,-0.284418,ANS,020710
313234,250,5047,2007,2.2262949399719645e-07,1.367229740659456e-06,0.671936,-0.284418,ANS,020721
319760,250,5048,2007,1.1871475996874982e-08,1.7422107193046303e-08,0.671936,-0.284418,ANS,020722
326286,250,5049,2007,7.09510922314417e-07,2.1494424490937712e-08,0.671936,-0.284418,ANS,020723
332812,250,5050,2007,1.3200293412223974e-09,3.4793836569759933e-09,0.671936,-0.284418,ANS,020731
339338,250,5051,2007,1.0337226742520461e-06,9.752681235801504e-08,0.671936,-0.284418,ANS,020739
345864,250,5052,2007,1.8829821574016609e-06,1.184110024053231e-06,0.671936,-0.284418,ANS,020741
352390,250,5053,2007,1.865647529668432e-07,1.0610032125862992e-07,0.671936,-0.284418,ANS,020742
358916,250,5054,2007,2.2894054336824733e-07,5.6602128113770257e-08,0.671936,-0.284418,ANS,020743
365442,250,5055,2007,0.0,0.0,0.671936,-0.284418,ANS,020750
371968,250,5056,2007,1.450268599778541e-07,6.346610558909631e-09,0.671936,-0.284418,ANS,020810
