,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
204,7,5000,2017,4.0558750012766936e-07,1.0977860448887934e-05,0.210477,0.02557,ARE,010111
6730,7,5001,2017,4.038676740210947e-06,1.150338691438523e-05,0.210477,0.02557,ARE,010119
13256,7,5002,2017,2.0607064108341878e-07,6.294675007466676e-07,0.210477,0.02557,ARE,010120
19782,7,5003,2017,3.490713954195344e-08,1.6161395710661236e-06,0.210477,0.02557,ARE,010210
26308,7,5004,2017,6.633408051495956e-07,1.7401382687419447e-06,0.210477,0.02557,ARE,010290
32834,7,5005,2017,0.0,0.0,0.210477,0.02557,ARE,010310
39360,7,5006,2017,0.0,4.1429125273575844e-10,0.210477,0.02557,ARE,010391
45886,7,5007,2017,0.0,0.0,0.210477,0.02557,ARE,010392
52412,7,5008,2017,6.999813165537603e-07,7.0002842689711426e-06,0.210477,0.02557,ARE,010410
58938,7,5009,2017,3.0908687029168077e-07,2.9793662639251454e-06,0.210477,0.02557,ARE,010420
65464,7,5010,2017,3.807211898309094e-07,3.321764064125158e-07,0.210477,0.02557,ARE,010511
71990,7,5011,2017,0.0,2.124518687329188e-08,0.210477,0.02557,ARE,010519
78516,7,5012,2017,5.349724972713002e-08,2.740278119105335e-07,0.210477,0.02557,ARE,010591
85042,7,5013,2017,3.43098535383838e-09,1.3379652008652084e-07,0.210477,0.02557,ARE,010599
91568,7,5014,2017,4.141027500081898e-06,2.7809069993951262e-05,0.210477,0.02557,ARE,010600
98094,7,5015,2017,1.9425674212392495e-07,9.53874454721878e-06,0.210477,0.02557,ARE,020110
104620,7,5016,2017,7.592099057966248e-07,2.8622616709845492e-05,0.210477,0.02557,ARE,020120
111146,7,5017,2017,5.768852470773444e-07,4.6548945523575406e-05,0.210477,0.02557,ARE,020130
117672,7,5018,2017,7.50165159298125e-08,3.2832386233837565e-06,0.210477,0.02557,ARE,020210
124198,7,5019,2017,8.076894682345077e-07,3.4808751054858422e-06,0.210477,0.02557,ARE,020220
130724,7,5020,2017,1.0649120644902992e-05,5.493008971542101e-05,0.210477,0.02557,ARE,020230
137250,7,5021,2017,1.8551927518281719e-09,2.2437483955365175e-07,0.210477,0.02557,ARE,020311
143776,7,5022,2017,2.7227877940503305e-09,2.2146187489741608e-07,0.210477,0.02557,ARE,020312
150302,7,5023,2017,2.402992806953913e-08,3.927225872523305e-07,0.210477,0.02557,ARE,020319
156828,7,5024,2017,8.92989546077631e-09,9.708998366113045e-08,0.210477,0.02557,ARE,020321
163354,7,5025,2017,2.9411562842442838e-08,1.1754745371812067e-06,0.210477,0.02557,ARE,020322
169880,7,5026,2017,2.1033255399777871e-07,8.224259717393624e-06,0.210477,0.02557,ARE,020329
176406,7,5027,2017,1.8637747607683505e-07,1.853511953520204e-05,0.210477,0.02557,ARE,020410
182932,7,5028,2017,5.728393995716832e-07,2.3489114905515585e-05,0.210477,0.02557,ARE,020421
189458,7,5029,2017,2.8143504353382894e-07,1.002171501523506e-05,0.210477,0.02557,ARE,020422
195984,7,5030,2017,7.073708747460716e-07,3.649281516825908e-06,0.210477,0.02557,ARE,020423
202510,7,5031,2017,8.11072573736208e-08,1.9210973736069023e-06,0.210477,0.02557,ARE,020430
209036,7,5032,2017,8.916540618474273e-07,3.126067459384882e-06,0.210477,0.02557,ARE,020441
215562,7,5033,2017,8.295251051057476e-07,9.435348387825008e-06,0.210477,0.02557,ARE,020442
222088,7,5034,2017,4.012037663236925e-07,4.720307926264395e-06,0.210477,0.02557,ARE,020443
228614,7,5035,2017,2.6916113434936366e-07,2.540409170587107e-05,0.210477,0.02557,ARE,020450
235140,7,5036,2017,0.0,1.3432316712699854e-08,0.210477,0.02557,ARE,020500
241666,7,5037,2017,1.1555711402395244e-08,4.314074472677846e-07,0.210477,0.02557,ARE,020610
248192,7,5038,2017,2.723363564424142e-08,6.811975637282653e-08,0.210477,0.02557,ARE,020621
254718,7,5039,2017,2.8720638393869133e-08,1.623527875550912e-07,0.210477,0.02557,ARE,020622
261244,7,5040,2017,6.197683214817802e-08,1.58560962006952e-06,0.210477,0.02557,ARE,020629
267770,7,5041,2017,0.0,5.237304300584364e-09,0.210477,0.02557,ARE,020630
274296,7,5042,2017,0.0,5.730874327443637e-08,0.210477,0.02557,ARE,020641
280822,7,5043,2017,1.963680011735798e-09,6.026114845793248e-07,0.210477,0.02557,ARE,020649
287348,7,5044,2017,1.2816648521042258e-08,7.214583876691263e-07,0.210477,0.02557,ARE,020680
293874,7,5045,2017,7.003004145556673e-08,1.1414585738675834e-06,0.210477,0.02557,ARE,020690
300400,7,5046,2017,1.4015705476356488e-07,7.455471702712958e-06,0.210477,0.02557,ARE,020710
306926,7,5047,2017,6.0775535749146715e-06,8.230602118753406e-05,0.210477,0.02557,ARE,020721
313452,7,5048,2017,2.0543547544999312e-07,6.779554861008563e-07,0.210477,0.02557,ARE,020722
319978,7,5049,2017,6.794696485052478e-08,1.2121545589664222e-06,0.210477,0.02557,ARE,020723
326504,7,5050,2017,7.550470859939682e-09,5.065423145649352e-08,0.210477,0.02557,ARE,020731
333030,7,5051,2017,4.502078858758215e-07,8.520074609136028e-06,0.210477,0.02557,ARE,020739
339556,7,5052,2017,2.0475901798965404e-05,0.00011666739966740927,0.210477,0.02557,ARE,020741
346082,7,5053,2017,4.1900264680043666e-07,1.957853956415623e-06,0.210477,0.02557,ARE,020742
352608,7,5054,2017,2.2317950622270577e-07,2.1461168503498106e-06,0.210477,0.02557,ARE,020743
359134,7,5055,2017,0.0,0.0,0.210477,0.02557,ARE,020750
365660,7,5056,2017,2.699211512427947e-08,2.183016612215477e-08,0.210477,0.02557,ARE,020810
372186,7,5057,2017,0.0,0.0,0.210477,0.02557,ARE,020820
378712,7,5058,2017,2.1067862229614324e-07,6.505433253558411e-07,0.210477,0.02557,ARE,020890
385238,7,5059,2017,3.0676439442594877e-09,3.971263375524105e-08,0.210477,0.02557,ARE,020900
391764,7,5060,2017,3.094765759236394e-08,1.57296777106704e-07,0.210477,0.02557,ARE,021011
398290,7,5061,2017,6.617722854365178e-09,5.807130432587191e-07,0.210477,0.02557,ARE,021012
404816,7,5062,2017,3.062098366448567e-08,7.510268515263807e-07,0.210477,0.02557,ARE,021019
411342,7,5063,2017,1.2796526861662743e-07,6.055264378335735e-07,0.210477,0.02557,ARE,021020
417868,7,5064,2017,1.477948002906928e-07,2.109948892552977e-07,0.210477,0.02557,ARE,021090
424394,7,5065,2017,1.1083882732908725e-08,4.936240504386299e-07,0.210477,0.02557,ARE,030110
430920,7,5066,2017,6.591388935689276e-08,2.923835658707451e-08,0.210477,0.02557,ARE,030191
437446,7,5067,2017,0.0,2.334614067416546e-09,0.210477,0.02557,ARE,030192
443972,7,5068,2017,0.0,1.98627798211632e-09,0.210477,0.02557,ARE,030193
450498,7,5069,2017,7.211372413468639e-09,4.6583969043215683e-07,0.210477,0.02557,ARE,030199
457024,7,5070,2017,4.987989659440005e-10,3.689813784395562e-07,0.210477,0.02557,ARE,030211
463550,7,5071,2017,1.0151165031038107e-07,1.5116939290709203e-05,0.210477,0.02557,ARE,030212
470076,7,5072,2017,5.9147072279414315e-08,2.572858052379782e-06,0.210477,0.02557,ARE,030219
476602,7,5073,2017,3.6045649696905815e-08,1.9751352045827392e-07,0.210477,0.02557,ARE,030221
483128,7,5074,2017,0.0,1.1199121143953021e-09,0.210477,0.02557,ARE,030222
489654,7,5075,2017,7.542591896929631e-10,1.9298680851438193e-07,0.210477,0.02557,ARE,030223
496180,7,5076,2017,4.8519260289972e-09,1.0384498596533688e-06,0.210477,0.02557,ARE,030229
502706,7,5077,2017,2.2511712504910064e-08,1.0006691488678853e-07,0.210477,0.02557,ARE,030231
509232,7,5078,2017,3.309770538299133e-09,8.479557587484475e-07,0.210477,0.02557,ARE,030232
515758,7,5079,2017,4.5304037307793483e-10,9.564825010161001e-09,0.210477,0.02557,ARE,030233
522284,7,5080,2017,2.4474786442568164e-08,4.700001689086304e-07,0.210477,0.02557,ARE,030239
528810,7,5081,2017,0.0,1.6449019898620552e-09,0.210477,0.02557,ARE,030240
535336,7,5082,2017,6.320776859997908e-08,1.852405563872298e-07,0.210477,0.02557,ARE,030250
541862,7,5083,2017,5.503152625481803e-10,1.3053753937600028e-07,0.210477,0.02557,ARE,030261
548388,7,5084,2017,0.0,3.814097845886267e-08,0.210477,0.02557,ARE,030262
554914,7,5085,2017,0.0,4.601615802386616e-09,0.210477,0.02557,ARE,030263
561440,7,5086,2017,6.12328762178059e-08,2.5132833016693822e-06,0.210477,0.02557,ARE,030264
567966,7,5087,2017,0.0,4.850455700429822e-08,0.210477,0.02557,ARE,030265
574492,7,5088,2017,0.0,2.9093188932115898e-09,0.210477,0.02557,ARE,030266
581018,7,5089,2017,8.544695989585303e-07,2.0370132489418487e-05,0.210477,0.02557,ARE,030269
587544,7,5090,2017,1.4318500085573526e-09,1.6743995270568412e-08,0.210477,0.02557,ARE,030270
594070,7,5091,2017,9.107293343317997e-08,1.0723117066209745e-07,0.210477,0.02557,ARE,030310
600596,7,5092,2017,7.841689454272721e-09,2.4302689461782e-07,0.210477,0.02557,ARE,030321
607122,7,5093,2017,3.1455790099104463e-07,3.0085549055618917e-06,0.210477,0.02557,ARE,030322
