,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
285,10,5000,2020,0.0,0.0,1.135613,-0.247052,ASM,010111
6811,10,5001,2020,0.0,0.0,1.135613,-0.247052,ASM,010119
13337,10,5002,2020,0.0,0.0,1.135613,-0.247052,ASM,010120
19863,10,5003,2020,0.0,0.0,1.135613,-0.247052,ASM,010210
26389,10,5004,2020,0.0,0.0,1.135613,-0.247052,ASM,010290
32915,10,5005,2020,0.0,0.0,1.135613,-0.247052,ASM,010310
39441,10,5006,2020,0.0,0.0,1.135613,-0.247052,ASM,010391
45967,10,5007,2020,0.0,0.0,1.135613,-0.247052,ASM,010392
52493,10,5008,2020,0.0,0.0,1.135613,-0.247052,ASM,010410
59019,10,5009,2020,0.0,0.0,1.135613,-0.247052,ASM,010420
65545,10,5010,2020,0.0,0.0,1.135613,-0.247052,ASM,010511
72071,10,5011,2020,0.0,0.0,1.135613,-0.247052,ASM,010519
78597,10,5012,2020,0.0,0.0,1.135613,-0.247052,ASM,010591
85123,10,5013,2020,0.0,0.0,1.135613,-0.247052,ASM,010599
91649,10,5014,2020,0.0,0.0,1.135613,-0.247052,ASM,010600
98175,10,5015,2020,0.0,0.0,1.135613,-0.247052,ASM,020110
104701,10,5016,2020,0.0,0.0,1.135613,-0.247052,ASM,020120
111227,10,5017,2020,0.0,0.0,1.135613,-0.247052,ASM,020130
117753,10,5018,2020,0.0,0.0,1.135613,-0.247052,ASM,020210
124279,10,5019,2020,0.0,1.811417244491633e-07,1.135613,-0.247052,ASM,020220
130805,10,5020,2020,0.0,2.714906922787797e-07,1.135613,-0.247052,ASM,020230
137331,10,5021,2020,0.0,0.0,1.135613,-0.247052,ASM,020311
143857,10,5022,2020,0.0,0.0,1.135613,-0.247052,ASM,020312
150383,10,5023,2020,0.0,0.0,1.135613,-0.247052,ASM,020319
156909,10,5024,2020,0.0,0.0,1.135613,-0.247052,ASM,020321
163435,10,5025,2020,0.0,1.5696666983652415e-09,1.135613,-0.247052,ASM,020322
169961,10,5026,2020,0.0,1.0841173501589326e-09,1.135613,-0.247052,ASM,020329
176487,10,5027,2020,0.0,0.0,1.135613,-0.247052,ASM,020410
183013,10,5028,2020,0.0,0.0,1.135613,-0.247052,ASM,020421
189539,10,5029,2020,0.0,1.1441067235550704e-09,1.135613,-0.247052,ASM,020422
196065,10,5030,2020,0.0,0.0,1.135613,-0.247052,ASM,020423
202591,10,5031,2020,0.0,0.0,1.135613,-0.247052,ASM,020430
