,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
335,12,5000,2018,0.0,0.0,1.144196,-0.618788,ATF,010111
6861,12,5001,2018,0.0,0.0,1.144196,-0.618788,ATF,010119
13387,12,5002,2018,0.0,0.0,1.144196,-0.618788,ATF,010120
19913,12,5003,2018,0.0,0.0,1.144196,-0.618788,ATF,010210
26439,12,5004,2018,0.0,0.0,1.144196,-0.618788,ATF,010290
32965,12,5005,2018,0.0,0.0,1.144196,-0.618788,ATF,010310
39491,12,5006,2018,0.0,0.0,1.144196,-0.618788,ATF,010391
46017,12,5007,2018,0.0,0.0,1.144196,-0.618788,ATF,010392
52543,12,5008,2018,0.0,0.0,1.144196,-0.618788,ATF,010410
59069,12,5009,2018,0.0,0.0,1.144196,-0.618788,ATF,010420
65595,12,5010,2018,0.0,0.0,1.144196,-0.618788,ATF,010511
72121,12,5011,2018,3.780599185557453e-08,0.0,1.144196,-0.618788,ATF,010519
78647,12,5012,2018,0.0,0.0,1.144196,-0.618788,ATF,010591
85173,12,5013,2018,0.0,0.0,1.144196,-0.618788,ATF,010599
91699,12,5014,2018,0.0,0.0,1.144196,-0.618788,ATF,010600
98225,12,5015,2018,0.0,0.0,1.144196,-0.618788,ATF,020110
104751,12,5016,2018,0.0,6.9935677791817905e-09,1.144196,-0.618788,ATF,020120
111277,12,5017,2018,0.0,8.611855698968101e-08,1.144196,-0.618788,ATF,020130
117803,12,5018,2018,0.0,0.0,1.144196,-0.618788,ATF,020210
124329,12,5019,2018,0.0,1.0539569469597694e-09,1.144196,-0.618788,ATF,020220
130855,12,5020,2018,0.0,1.0473282869159973e-09,1.144196,-0.618788,ATF,020230
137381,12,5021,2018,0.0,0.0,1.144196,-0.618788,ATF,020311
143907,12,5022,2018,0.0,0.0,1.144196,-0.618788,ATF,020312
150433,12,5023,2018,0.0,2.3058456828265748e-08,1.144196,-0.618788,ATF,020319
156959,12,5024,2018,0.0,0.0,1.144196,-0.618788,ATF,020321
163485,12,5025,2018,0.0,0.0,1.144196,-0.618788,ATF,020322
170011,12,5026,2018,0.0,2.7462538561347954e-09,1.144196,-0.618788,ATF,020329
176537,12,5027,2018,0.0,0.0,1.144196,-0.618788,ATF,020410
183063,12,5028,2018,0.0,0.0,1.144196,-0.618788,ATF,020421
189589,12,5029,2018,0.0,0.0,1.144196,-0.618788,ATF,020422
196115,12,5030,2018,0.0,0.0,1.144196,-0.618788,ATF,020423
202641,12,5031,2018,0.0,0.0,1.144196,-0.618788,ATF,020430
209167,12,5032,2018,0.0,0.0,1.144196,-0.618788,ATF,020441
215693,12,5033,2018,0.0,0.0,1.144196,-0.618788,ATF,020442
222219,12,5034,2018,0.0,0.0,1.144196,-0.618788,ATF,020443
228745,12,5035,2018,0.0,0.0,1.144196,-0.618788,ATF,020450
235271,12,5036,2018,0.0,0.0,1.144196,-0.618788,ATF,020500
241797,12,5037,2018,0.0,0.0,1.144196,-0.618788,ATF,020610
