,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
380,14,5000,2011,68830770.0,50970579.0,-0.138148,0.002999,AUS,010111
6906,14,5001,2011,28407615.0,97214112.0,-0.138148,0.002999,AUS,010119
13432,14,5002,2011,,,-0.138148,0.002999,AUS,010120
19958,14,5003,2011,190049578.0,0.0,-0.138148,0.002999,AUS,010210
26484,14,5004,2011,459713249.0,2042.0,-0.138148,0.002999,AUS,010290
33010,14,5005,2011,49755.0,0.0,-0.138148,0.002999,AUS,010310
39536,14,5006,2011,51958.0,0.0,-0.138148,0.002999,AUS,010391
46062,14,5007,2011,,,-0.138148,0.002999,AUS,010392
52588,14,5008,2011,297708801.0,154743.0,-0.138148,0.002999,AUS,010410
59114,14,5009,2011,9601242.0,0.0,-0.138148,0.002999,AUS,010420
65640,14,5010,2011,4810972.0,49979.0,-0.138148,0.002999,AUS,010511
72166,14,5011,2011,605078.0,0.0,-0.138148,0.002999,AUS,010519
78692,14,5012,2011,397002.0,0.0,-0.138148,0.002999,AUS,010591
85218,14,5013,2011,,,-0.138148,0.002999,AUS,010599
91744,14,5014,2011,4267682.0,647122.0,-0.138148,0.002999,AUS,010600
98270,14,5015,2011,3091760.0,1615.0,-0.138148,0.002999,AUS,020110
104796,14,5016,2011,62152286.0,0.0,-0.138148,0.002999,AUS,020120
111322,14,5017,2011,1641097087.0,8639624.0,-0.138148,0.002999,AUS,020130
117848,14,5018,2011,9268786.0,152570.0,-0.138148,0.002999,AUS,020210
124374,14,5019,2011,131584300.0,901008.0,-0.138148,0.002999,AUS,020220
130900,14,5020,2011,2338318636.0,11661428.0,-0.138148,0.002999,AUS,020230
137426,14,5021,2011,38925677.0,72450.0,-0.138148,0.002999,AUS,020311
143952,14,5022,2011,8455627.0,191317.0,-0.138148,0.002999,AUS,020312
150478,14,5023,2011,9027749.0,33565473.0,-0.138148,0.002999,AUS,020319
157004,14,5024,2011,2278376.0,0.0,-0.138148,0.002999,AUS,020321
163530,14,5025,2011,4946568.0,1880314.0,-0.138148,0.002999,AUS,020322
170056,14,5026,2011,46768042.0,388028169.0,-0.138148,0.002999,AUS,020329
176582,14,5027,2011,71108382.0,0.0,-0.138148,0.002999,AUS,020410
183108,14,5028,2011,28590088.0,0.0,-0.138148,0.002999,AUS,020421
189634,14,5029,2011,323931100.0,2532402.0,-0.138148,0.002999,AUS,020422
196160,14,5030,2011,135773050.0,1019521.0,-0.138148,0.002999,AUS,020423
