,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
412,15,5000,2017,0.3686047206837229,0.9295862304755136,1.728623,-0.031045999999999997,AUT,010111
6938,15,5001,2017,0.9508574931358048,0.3096288548367108,1.728623,-0.031045999999999997,AUT,010119
13464,15,5002,2017,0.0,0.0,1.728623,-0.031045999999999997,AUT,010120
19990,15,5003,2017,0.973256841373591,0.22971965679823841,1.728623,-0.031045999999999997,AUT,010210
26516,15,5004,2017,0.27851158387523417,0.960432869932776,1.728623,-0.031045999999999997,AUT,010290
33042,15,5005,2017,0.7632591239018973,0.6460924932086024,1.728623,-0.031045999999999997,AUT,010310
39568,15,5006,2017,0.3329236111155007,0.9429538001205653,1.728623,-0.031045999999999997,AUT,010391
46094,15,5007,2017,0.015194948115066519,0.9998845501115519,1.728623,-0.031045999999999997,AUT,010392
52620,15,5008,2017,0.7412480772505436,0.6712311732721984,1.728623,-0.031045999999999997,AUT,010410
59146,15,5009,2017,0.9962685862984406,0.08630703305586764,1.728623,-0.031045999999999997,AUT,010420
65672,15,5010,2017,0.8887058137895019,0.4584778910010155,1.728623,-0.031045999999999997,AUT,010511
72198,15,5011,2017,0.997925347819194,0.06438167580873475,1.728623,-0.031045999999999997,AUT,010519
78724,15,5012,2017,0.24145131252230478,0.9704129346217806,1.728623,-0.031045999999999997,AUT,010591
85250,15,5013,2017,0.8918430253454067,0.4523450211318262,1.728623,-0.031045999999999997,AUT,010599
91776,15,5014,2017,0.2550721722134786,0.9669220170015251,1.728623,-0.031045999999999997,AUT,010600
98302,15,5015,2017,0.6771652748476217,0.7358309524208294,1.728623,-0.031045999999999997,AUT,020110
104828,15,5016,2017,0.9317407585105194,0.3631241646189935,1.728623,-0.031045999999999997,AUT,020120
111354,15,5017,2017,0.781747213760124,0.623595456829412,1.728623,-0.031045999999999997,AUT,020130
117880,15,5018,2017,0.8852203904647965,0.46517186104208125,1.728623,-0.031045999999999997,AUT,020210
124406,15,5019,2017,0.9028301049550728,0.42999744369799736,1.728623,-0.031045999999999997,AUT,020220
130932,15,5020,2017,0.9610466821041093,0.2763860973650503,1.728623,-0.031045999999999997,AUT,020230
137458,15,5021,2017,0.22729546169857912,0.9738258433063016,1.728623,-0.031045999999999997,AUT,020311
143984,15,5022,2017,0.9227729428270518,0.3853441267053419,1.728623,-0.031045999999999997,AUT,020312
