,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
441,16,5000,2020,1.0,0.0,-1.142366,-1.2529190000000001,AZE,010111
6967,16,5001,2020,0.9856637923260196,0.1687213338540485,-1.142366,-1.2529190000000001,AZE,010119
13493,16,5002,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,010120
20019,16,5003,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,010210
26545,16,5004,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,010290
33071,16,5005,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,010310
39597,16,5006,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,010391
46123,16,5007,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,010392
52649,16,5008,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,010410
59175,16,5009,2020,0.0033934181978757362,0.9999942423398919,-1.142366,-1.2529190000000001,AZE,010420
65701,16,5010,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,010511
72227,16,5011,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,010519
78753,16,5012,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,010591
85279,16,5013,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,010599
91805,16,5014,2020,0.2596206218392911,0.9657106878955932,-1.142366,-1.2529190000000001,AZE,010600
98331,16,5015,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020110
104857,16,5016,2020,0.001575856575754089,0.9999987583372554,-1.142366,-1.2529190000000001,AZE,020120
111383,16,5017,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020130
117909,16,5018,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020210
124435,16,5019,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020220
130961,16,5020,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020230
137487,16,5021,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020311
144013,16,5022,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020312
150539,16,5023,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020319
157065,16,5024,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020321
163591,16,5025,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020322
170117,16,5026,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020329
176643,16,5027,2020,0.6648592548289424,0.7469686548097607,-1.142366,-1.2529190000000001,AZE,020410
183169,16,5028,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020421
189695,16,5029,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020422
196221,16,5030,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020423
202747,16,5031,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020430
209273,16,5032,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020441
215799,16,5033,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020442
222325,16,5034,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020443
228851,16,5035,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020450
235377,16,5036,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020500
241903,16,5037,2020,1.0,0.0,-1.142366,-1.2529190000000001,AZE,020610
248429,16,5038,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020621
254955,16,5039,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020622
261481,16,5040,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020629
268007,16,5041,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020630
274533,16,5042,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020641
281059,16,5043,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020649
287585,16,5044,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020680
294111,16,5045,2020,0.16082975230089733,0.986982163351918,-1.142366,-1.2529190000000001,AZE,020690
300637,16,5046,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020710
307163,16,5047,2020,0.008888553326186118,0.9999604960296019,-1.142366,-1.2529190000000001,AZE,020721
313689,16,5048,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020722
320215,16,5049,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020723
326741,16,5050,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020731
333267,16,5051,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020739
339793,16,5052,2020,0.040757279599406684,0.9991690768631982,-1.142366,-1.2529190000000001,AZE,020741
346319,16,5053,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020742
352845,16,5054,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020743
359371,16,5055,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020750
365897,16,5056,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,020810
372423,16,5057,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,020820
378949,16,5058,2020,0.6467381082768926,0.7627121470793725,-1.142366,-1.2529190000000001,AZE,020890
385475,16,5059,2020,0.017063097056801712,0.9998544147618842,-1.142366,-1.2529190000000001,AZE,020900
392001,16,5060,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,021011
398527,16,5061,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,021012
405053,16,5062,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,021019
411579,16,5063,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,021020
418105,16,5064,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,021090
424631,16,5065,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030110
431157,16,5066,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030191
437683,16,5067,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030192
444209,16,5068,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030193
450735,16,5069,2020,0.7748051426357638,0.6322001193808601,-1.142366,-1.2529190000000001,AZE,030199
457261,16,5070,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030211
463787,16,5071,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030212
470313,16,5072,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030219
476839,16,5073,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030221
483365,16,5074,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030222
489891,16,5075,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030223
496417,16,5076,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030229
502943,16,5077,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030231
509469,16,5078,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030232
515995,16,5079,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030233
522521,16,5080,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030239
529047,16,5081,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030240
535573,16,5082,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030250
542099,16,5083,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030261
548625,16,5084,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030262
555151,16,5085,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030263
561677,16,5086,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030264
568203,16,5087,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030265
574729,16,5088,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030266
581255,16,5089,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030269
587781,16,5090,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030270
594307,16,5091,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030310
600833,16,5092,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030321
607359,16,5093,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030322
613885,16,5094,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030329
620411,16,5095,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030331
626937,16,5096,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030332
633463,16,5097,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030333
639989,16,5098,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030339
646515,16,5099,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030341
653041,16,5100,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030342
659567,16,5101,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030343
666093,16,5102,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030349
672619,16,5103,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030350
679145,16,5104,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030360
685671,16,5105,2020,1.0,0.0,-1.142366,-1.2529190000000001,AZE,030371
692197,16,5106,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030372
698723,16,5107,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030373
705249,16,5108,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030374
711775,16,5109,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030375
718301,16,5110,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030376
724827,16,5111,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030377
731353,16,5112,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030378
737879,16,5113,2020,0.1875211913735534,0.9822605574825058,-1.142366,-1.2529190000000001,AZE,030379
744405,16,5114,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030380
750931,16,5115,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030410
757457,16,5116,2020,0.11427040687947432,0.9934496837342088,-1.142366,-1.2529190000000001,AZE,030420
763983,16,5117,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030490
770509,16,5118,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030510
777035,16,5119,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030520
783561,16,5120,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030530
790087,16,5121,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030541
796613,16,5122,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030542
803139,16,5123,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030549
809665,16,5124,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030551
816191,16,5125,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030559
822717,16,5126,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030561
829243,16,5127,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030562
835769,16,5128,2020,0.0,0.0,-1.142366,-1.2529190000000001,AZE,030563
842295,16,5129,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030569
848821,16,5130,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030611
855347,16,5131,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030612
861873,16,5132,2020,0.0006423195591841984,0.9999997937127706,-1.142366,-1.2529190000000001,AZE,030613
868399,16,5133,2020,0.0,1.0,-1.142366,-1.2529190000000001,AZE,030614
