,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
456,17,5000,2009,0.0,1.0307566368065669e-09,-0.43971099999999996,-0.575079,BDI,010111
6982,17,5001,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010119
13508,17,5002,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010120
20034,17,5003,2009,0.0,4.7442015942581763e-07,-0.43971099999999996,-0.575079,BDI,010210
26560,17,5004,2009,0.0,5.383764544251509e-08,-0.43971099999999996,-0.575079,BDI,010290
33086,17,5005,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010310
39612,17,5006,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010391
46138,17,5007,2009,0.0,3.095584240441587e-10,-0.43971099999999996,-0.575079,BDI,010392
52664,17,5008,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010410
59190,17,5009,2009,0.0,3.506660593056116e-08,-0.43971099999999996,-0.575079,BDI,010420
65716,17,5010,2009,0.0,2.0045465691969562e-07,-0.43971099999999996,-0.575079,BDI,010511
72242,17,5011,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010519
78768,17,5012,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010591
85294,17,5013,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010599
91820,17,5014,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,010600
98346,17,5015,2009,0.0,2.363117305604766e-09,-0.43971099999999996,-0.575079,BDI,020110
104872,17,5016,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020120
111398,17,5017,2009,0.0,3.347473322104928e-10,-0.43971099999999996,-0.575079,BDI,020130
117924,17,5018,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020210
124450,17,5019,2009,0.0,1.6171941908790876e-08,-0.43971099999999996,-0.575079,BDI,020220
130976,17,5020,2009,0.0,4.288743048320571e-10,-0.43971099999999996,-0.575079,BDI,020230
137502,17,5021,2009,0.0,4.969042428612905e-08,-0.43971099999999996,-0.575079,BDI,020311
144028,17,5022,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020312
150554,17,5023,2009,0.0,1.3184404827062776e-09,-0.43971099999999996,-0.575079,BDI,020319
157080,17,5024,2009,0.0,7.487071519440626e-10,-0.43971099999999996,-0.575079,BDI,020321
163606,17,5025,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020322
170132,17,5026,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020329
176658,17,5027,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020410
183184,17,5028,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020421
189710,17,5029,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020422
196236,17,5030,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020423
202762,17,5031,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020430
209288,17,5032,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020441
215814,17,5033,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020442
222340,17,5034,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020443
228866,17,5035,2009,0.0,2.6382066974213095e-10,-0.43971099999999996,-0.575079,BDI,020450
235392,17,5036,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020500
241918,17,5037,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020610
248444,17,5038,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020621
254970,17,5039,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020622
261496,17,5040,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020629
268022,17,5041,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020630
274548,17,5042,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020641
281074,17,5043,2009,0.0,9.566482175171945e-09,-0.43971099999999996,-0.575079,BDI,020649
287600,17,5044,2009,0.0,0.0,-0.43971099999999996,-0.575079,BDI,020680
