,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
476,18,5000,2003,1.6933764277499768e-06,1.6592165812265811e-06,1.361682,1.39536,BEL,010111
7002,18,5001,2003,5.902841509648295e-06,3.0707516227526057e-06,1.361682,1.39536,BEL,010119
13528,18,5002,2003,0.0,0.0,1.361682,1.39536,BEL,010120
20054,18,5003,2003,3.720500880013094e-06,1.4943147424516574e-06,1.361682,1.39536,BEL,010210
26580,18,5004,2003,4.1343097750047125e-05,1.5752286081481693e-05,1.361682,1.39536,BEL,010290
33106,18,5005,2003,1.9575647242918428e-07,1.8376680639969795e-06,1.361682,1.39536,BEL,010310
39632,18,5006,2003,1.2319319284736672e-06,3.7932341383984946e-06,1.361682,1.39536,BEL,010391
46158,18,5007,2003,1.5528821533695816e-05,1.0737328250477588e-05,1.361682,1.39536,BEL,010392
52684,18,5008,2003,2.0989193814329354e-07,1.2848792454716571e-06,1.361682,1.39536,BEL,010410
59210,18,5009,2003,2.0421211492416328e-07,2.3981232592959266e-07,1.361682,1.39536,BEL,010420
65736,18,5010,2003,3.670453100899172e-06,2.234810641766497e-06,1.361682,1.39536,BEL,010511
72262,18,5011,2003,6.930729811791398e-08,2.783268293819219e-07,1.361682,1.39536,BEL,010519
78788,18,5012,2003,4.076919408439501e-06,3.205329794431488e-05,1.361682,1.39536,BEL,010591
85314,18,5013,2003,4.912806170101787e-08,4.96551929579964e-07,1.361682,1.39536,BEL,010599
91840,18,5014,2003,1.2395392793857985e-05,1.266693947504471e-05,1.361682,1.39536,BEL,010600
98366,18,5015,2003,4.3196448036679105e-05,5.1954393409129095e-06,1.361682,1.39536,BEL,020110
104892,18,5016,2003,3.372936518091455e-05,8.359912925158405e-06,1.361682,1.39536,BEL,020120
111418,18,5017,2003,2.8650676838784345e-05,2.2050437489708327e-05,1.361682,1.39536,BEL,020130
117944,18,5018,2003,1.2510123525877e-06,1.00225538721636e-06,1.361682,1.39536,BEL,020210
124470,18,5019,2003,5.675010990953348e-07,4.949749713555506e-07,1.361682,1.39536,BEL,020220
130996,18,5020,2003,9.350838453736491e-06,6.268988286931054e-06,1.361682,1.39536,BEL,020230
137522,18,5021,2003,8.297900322065902e-05,3.5778659906793185e-06,1.361682,1.39536,BEL,020311
144048,18,5022,2003,5.2820129827824e-05,3.0119706540824474e-06,1.361682,1.39536,BEL,020312
150574,18,5023,2003,9.948667802716785e-05,1.924581430469209e-05,1.361682,1.39536,BEL,020319
157100,18,5024,2003,1.6584289842818565e-06,9.738429616707394e-08,1.361682,1.39536,BEL,020321
163626,18,5025,2003,5.406135923568657e-06,1.3798782183219796e-06,1.361682,1.39536,BEL,020322
170152,18,5026,2003,3.729346985732629e-05,5.0817018089848475e-06,1.361682,1.39536,BEL,020329
176678,18,5027,2003,8.91780428292627e-07,1.1957534974232181e-05,1.361682,1.39536,BEL,020410
183204,18,5028,2003,5.0332633930439134e-08,2.1868082057605147e-07,1.361682,1.39536,BEL,020421
189730,18,5029,2003,9.804507022595959e-06,1.6127871925355864e-05,1.361682,1.39536,BEL,020422
196256,18,5030,2003,1.9272425351476613e-06,5.192347402435493e-06,1.361682,1.39536,BEL,020423
202782,18,5031,2003,2.866342500093461e-07,1.9306436383689408e-07,1.361682,1.39536,BEL,020430
209308,18,5032,2003,1.135813125306627e-08,1.2918164696404667e-07,1.361682,1.39536,BEL,020441
215834,18,5033,2003,7.884957385716496e-06,1.1859555092960175e-05,1.361682,1.39536,BEL,020442
222360,18,5034,2003,5.82374247873112e-06,7.066598046915044e-06,1.361682,1.39536,BEL,020443
228886,18,5035,2003,1.8137009204690877e-07,2.6246510876317956e-08,1.361682,1.39536,BEL,020450
