,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
517,19,5000,2018,1.0,0.0,-0.646475,-0.769808,BEN,010111
7043,19,5001,2018,0.0,1.0,-0.646475,-0.769808,BEN,010119
13569,19,5002,2018,0.0,0.0,-0.646475,-0.769808,BEN,010120
20095,19,5003,2018,0.0,0.0,-0.646475,-0.769808,BEN,010210
26621,19,5004,2018,0.0,1.0,-0.646475,-0.769808,BEN,010290
33147,19,5005,2018,0.0,0.0,-0.646475,-0.769808,BEN,010310
39673,19,5006,2018,0.0,0.0,-0.646475,-0.769808,BEN,010391
46199,19,5007,2018,0.0,0.0,-0.646475,-0.769808,BEN,010392
52725,19,5008,2018,0.0,1.0,-0.646475,-0.769808,BEN,010410
59251,19,5009,2018,0.0,1.0,-0.646475,-0.769808,BEN,010420
65777,19,5010,2018,0.0,1.0,-0.646475,-0.769808,BEN,010511
72303,19,5011,2018,0.0,1.0,-0.646475,-0.769808,BEN,010519
78829,19,5012,2018,0.0,1.0,-0.646475,-0.769808,BEN,010591
85355,19,5013,2018,0.0,1.0,-0.646475,-0.769808,BEN,010599
91881,19,5014,2018,0.9998860616325513,0.015095156605540014,-0.646475,-0.769808,BEN,010600
98407,19,5015,2018,0.0,0.0,-0.646475,-0.769808,BEN,020110
104933,19,5016,2018,1.0,0.0,-0.646475,-0.769808,BEN,020120
111459,19,5017,2018,0.0,1.0,-0.646475,-0.769808,BEN,020130
117985,19,5018,2018,0.0,1.0,-0.646475,-0.769808,BEN,020210
124511,19,5019,2018,0.0,1.0,-0.646475,-0.769808,BEN,020220
131037,19,5020,2018,0.0,1.0,-0.646475,-0.769808,BEN,020230
137563,19,5021,2018,0.0,0.0,-0.646475,-0.769808,BEN,020311
144089,19,5022,2018,0.0,1.0,-0.646475,-0.769808,BEN,020312
150615,19,5023,2018,0.0,0.0,-0.646475,-0.769808,BEN,020319
157141,19,5024,2018,0.0,0.0,-0.646475,-0.769808,BEN,020321
163667,19,5025,2018,0.0,1.0,-0.646475,-0.769808,BEN,020322
170193,19,5026,2018,0.0,1.0,-0.646475,-0.769808,BEN,020329
176719,19,5027,2018,0.0,0.0,-0.646475,-0.769808,BEN,020410
183245,19,5028,2018,0.0,0.0,-0.646475,-0.769808,BEN,020421
189771,19,5029,2018,0.0,0.0,-0.646475,-0.769808,BEN,020422
196297,19,5030,2018,0.0,0.0,-0.646475,-0.769808,BEN,020423
202823,19,5031,2018,0.0,0.0,-0.646475,-0.769808,BEN,020430
209349,19,5032,2018,0.0,1.0,-0.646475,-0.769808,BEN,020441
215875,19,5033,2018,0.0,1.0,-0.646475,-0.769808,BEN,020442
222401,19,5034,2018,0.0,1.0,-0.646475,-0.769808,BEN,020443
