,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
539,20,5000,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010111
7065,20,5001,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010119
13591,20,5002,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010120
20117,20,5003,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010210
26643,20,5004,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010290
33169,20,5005,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010310
39695,20,5006,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010391
46221,20,5007,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010392
52747,20,5008,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010410
59273,20,5009,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010420
65799,20,5010,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010511
72325,20,5011,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010519
78851,20,5012,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010591
85377,20,5013,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,010599
91903,20,5014,2014,0.0,1.0,-0.18363,-0.7995760000000001,BES,010600
98429,20,5015,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020110
104955,20,5016,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020120
111481,20,5017,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020130
118007,20,5018,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020210
124533,20,5019,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020220
131059,20,5020,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020230
137585,20,5021,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020311
144111,20,5022,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020312
150637,20,5023,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020319
157163,20,5024,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020321
163689,20,5025,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020322
170215,20,5026,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020329
176741,20,5027,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020410
183267,20,5028,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020421
189793,20,5029,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020422
196319,20,5030,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020423
202845,20,5031,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020430
209371,20,5032,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020441
215897,20,5033,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020442
222423,20,5034,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020443
228949,20,5035,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020450
235475,20,5036,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020500
242001,20,5037,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020610
248527,20,5038,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020621
255053,20,5039,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020622
261579,20,5040,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020629
268105,20,5041,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020630
274631,20,5042,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020641
281157,20,5043,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020649
287683,20,5044,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020680
294209,20,5045,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020690
300735,20,5046,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020710
307261,20,5047,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020721
313787,20,5048,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020722
320313,20,5049,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020723
326839,20,5050,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020731
333365,20,5051,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020739
339891,20,5052,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020741
346417,20,5053,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020742
352943,20,5054,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020743
359469,20,5055,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020750
365995,20,5056,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020810
372521,20,5057,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020820
379047,20,5058,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020890
385573,20,5059,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,020900
392099,20,5060,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,021011
398625,20,5061,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,021012
405151,20,5062,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,021019
411677,20,5063,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,021020
418203,20,5064,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,021090
424729,20,5065,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030110
431255,20,5066,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030191
437781,20,5067,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030192
444307,20,5068,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030193
450833,20,5069,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030199
457359,20,5070,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030211
463885,20,5071,2014,0.0,1.0,-0.18363,-0.7995760000000001,BES,030212
470411,20,5072,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030219
476937,20,5073,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030221
483463,20,5074,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030222
489989,20,5075,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030223
496515,20,5076,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030229
503041,20,5077,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030231
509567,20,5078,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030232
516093,20,5079,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030233
522619,20,5080,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030239
529145,20,5081,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030240
535671,20,5082,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030250
542197,20,5083,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030261
548723,20,5084,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030262
555249,20,5085,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030263
561775,20,5086,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030264
568301,20,5087,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030265
574827,20,5088,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030266
581353,20,5089,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030269
587879,20,5090,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030270
594405,20,5091,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030310
600931,20,5092,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030321
607457,20,5093,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030322
613983,20,5094,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030329
620509,20,5095,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030331
627035,20,5096,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030332
633561,20,5097,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030333
640087,20,5098,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030339
646613,20,5099,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030341
653139,20,5100,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030342
659665,20,5101,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030343
666191,20,5102,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030349
672717,20,5103,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030350
679243,20,5104,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030360
685769,20,5105,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030371
692295,20,5106,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030372
698821,20,5107,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030373
705347,20,5108,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030374
711873,20,5109,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030375
718399,20,5110,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030376
724925,20,5111,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030377
731451,20,5112,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030378
737977,20,5113,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030379
744503,20,5114,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030380
751029,20,5115,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030410
757555,20,5116,2014,0.0,1.0,-0.18363,-0.7995760000000001,BES,030420
764081,20,5117,2014,0.0,1.0,-0.18363,-0.7995760000000001,BES,030490
770607,20,5118,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030510
777133,20,5119,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030520
783659,20,5120,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030530
790185,20,5121,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030541
796711,20,5122,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030542
803237,20,5123,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030549
809763,20,5124,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030551
816289,20,5125,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030559
822815,20,5126,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030561
829341,20,5127,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030562
835867,20,5128,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030563
842393,20,5129,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030569
848919,20,5130,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030611
855445,20,5131,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030612
861971,20,5132,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030613
868497,20,5133,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030614
875023,20,5134,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030619
881549,20,5135,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030621
888075,20,5136,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030622
894601,20,5137,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030623
901127,20,5138,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030624
907653,20,5139,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030629
914179,20,5140,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030710
920705,20,5141,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030721
927231,20,5142,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030729
933757,20,5143,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030731
940283,20,5144,2014,0.0,0.0,-0.18363,-0.7995760000000001,BES,030739
