,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
596,22,5000,2019,,,-1.113148,-0.9513299999999999,BGD,010111
7122,22,5001,2019,,,-1.113148,-0.9513299999999999,BGD,010119
13648,22,5002,2019,,,-1.113148,-0.9513299999999999,BGD,010120
20174,22,5003,2019,0.0,312805.0,-1.113148,-0.9513299999999999,BGD,010210
26700,22,5004,2019,0.0,3961682.0,-1.113148,-0.9513299999999999,BGD,010290
33226,22,5005,2019,,,-1.113148,-0.9513299999999999,BGD,010310
39752,22,5006,2019,,,-1.113148,-0.9513299999999999,BGD,010391
46278,22,5007,2019,,,-1.113148,-0.9513299999999999,BGD,010392
52804,22,5008,2019,,,-1.113148,-0.9513299999999999,BGD,010410
59330,22,5009,2019,0.0,83639.0,-1.113148,-0.9513299999999999,BGD,010420
65856,22,5010,2019,0.0,23250417.0,-1.113148,-0.9513299999999999,BGD,010511
72382,22,5011,2019,0.0,2240.0,-1.113148,-0.9513299999999999,BGD,010519
78908,22,5012,2019,,,-1.113148,-0.9513299999999999,BGD,010591
85434,22,5013,2019,0.0,36385.0,-1.113148,-0.9513299999999999,BGD,010599
91960,22,5014,2019,0.0,2131045.0,-1.113148,-0.9513299999999999,BGD,010600
98486,22,5015,2019,,,-1.113148,-0.9513299999999999,BGD,020110
105012,22,5016,2019,20584.0,5886.0,-1.113148,-0.9513299999999999,BGD,020120
111538,22,5017,2019,69880.0,74982.0,-1.113148,-0.9513299999999999,BGD,020130
118064,22,5018,2019,,,-1.113148,-0.9513299999999999,BGD,020210
124590,22,5019,2019,215777.0,31598.0,-1.113148,-0.9513299999999999,BGD,020220
131116,22,5020,2019,48444.0,18945843.0,-1.113148,-0.9513299999999999,BGD,020230
137642,22,5021,2019,,,-1.113148,-0.9513299999999999,BGD,020311
144168,22,5022,2019,,,-1.113148,-0.9513299999999999,BGD,020312
150694,22,5023,2019,,,-1.113148,-0.9513299999999999,BGD,020319
157220,22,5024,2019,,,-1.113148,-0.9513299999999999,BGD,020321
163746,22,5025,2019,,,-1.113148,-0.9513299999999999,BGD,020322
170272,22,5026,2019,,,-1.113148,-0.9513299999999999,BGD,020329
176798,22,5027,2019,,,-1.113148,-0.9513299999999999,BGD,020410
183324,22,5028,2019,4565.0,0.0,-1.113148,-0.9513299999999999,BGD,020421
189850,22,5029,2019,,,-1.113148,-0.9513299999999999,BGD,020422
196376,22,5030,2019,,,-1.113148,-0.9513299999999999,BGD,020423
202902,22,5031,2019,,,-1.113148,-0.9513299999999999,BGD,020430
209428,22,5032,2019,0.0,9103.0,-1.113148,-0.9513299999999999,BGD,020441
215954,22,5033,2019,73424.0,90402.0,-1.113148,-0.9513299999999999,BGD,020442
222480,22,5034,2019,0.0,30968.0,-1.113148,-0.9513299999999999,BGD,020443
229006,22,5035,2019,,,-1.113148,-0.9513299999999999,BGD,020450
235532,22,5036,2019,,,-1.113148,-0.9513299999999999,BGD,020500
242058,22,5037,2019,,,-1.113148,-0.9513299999999999,BGD,020610
248584,22,5038,2019,,,-1.113148,-0.9513299999999999,BGD,020621
255110,22,5039,2019,0.0,472978.0,-1.113148,-0.9513299999999999,BGD,020622
261636,22,5040,2019,0.0,968605.0,-1.113148,-0.9513299999999999,BGD,020629
268162,22,5041,2019,,,-1.113148,-0.9513299999999999,BGD,020630
274688,22,5042,2019,,,-1.113148,-0.9513299999999999,BGD,020641
