,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
617,23,5000,2014,48755.0,61996.0,0.579058,1.6558110000000001,BGR,010111
7143,23,5001,2014,450949.0,233808.0,0.579058,1.6558110000000001,BGR,010119
13669,23,5002,2014,250746.0,456743.0,0.579058,1.6558110000000001,BGR,010120
20195,23,5003,2014,442651.0,3271014.0,0.579058,1.6558110000000001,BGR,010210
26721,23,5004,2014,5977486.0,2091898.0,0.579058,1.6558110000000001,BGR,010290
33247,23,5005,2014,0.0,1118469.0,0.579058,1.6558110000000001,BGR,010310
39773,23,5006,2014,0.0,2856097.0,0.579058,1.6558110000000001,BGR,010391
46299,23,5007,2014,145682.0,790398.0,0.579058,1.6558110000000001,BGR,010392
52825,23,5008,2014,4007803.0,13511247.0,0.579058,1.6558110000000001,BGR,010410
59351,23,5009,2014,1091852.0,434515.0,0.579058,1.6558110000000001,BGR,010420
65877,23,5010,2014,8962226.0,6250002.0,0.579058,1.6558110000000001,BGR,010511
72403,23,5011,2014,210431.0,628574.0,0.579058,1.6558110000000001,BGR,010519
78929,23,5012,2014,0.0,6286.0,0.579058,1.6558110000000001,BGR,010591
85455,23,5013,2014,8653.0,260946.0,0.579058,1.6558110000000001,BGR,010599
91981,23,5014,2014,917985.0,1919081.0,0.579058,1.6558110000000001,BGR,010600
98507,23,5015,2014,95588.0,2800443.0,0.579058,1.6558110000000001,BGR,020110
105033,23,5016,2014,343449.0,2856302.0,0.579058,1.6558110000000001,BGR,020120
111559,23,5017,2014,823330.0,7769343.0,0.579058,1.6558110000000001,BGR,020130
118085,23,5018,2014,44468.0,536535.0,0.579058,1.6558110000000001,BGR,020210
124611,23,5019,2014,1216735.0,2016767.0,0.579058,1.6558110000000001,BGR,020220
131137,23,5020,2014,6746641.0,20465191.0,0.579058,1.6558110000000001,BGR,020230
137663,23,5021,2014,985669.0,35783694.0,0.579058,1.6558110000000001,BGR,020311
144189,23,5022,2014,93371.0,22350940.0,0.579058,1.6558110000000001,BGR,020312
150715,23,5023,2014,930105.0,73807444.0,0.579058,1.6558110000000001,BGR,020319
157241,23,5024,2014,86499.0,1718002.0,0.579058,1.6558110000000001,BGR,020321
163767,23,5025,2014,256085.0,12424024.0,0.579058,1.6558110000000001,BGR,020322
170293,23,5026,2014,4842485.0,102967321.0,0.579058,1.6558110000000001,BGR,020329
