,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
647,24,5000,2018,4.786197295271044e-08,1.7170847834087118e-07,0.318352,-0.69221,BHR,010111
7173,24,5001,2018,9.748943969375001e-08,2.8487925983519064e-07,0.318352,-0.69221,BHR,010119
13699,24,5002,2018,0.0,0.0,0.318352,-0.69221,BHR,010120
20225,24,5003,2018,0.0,4.802265341911598e-08,0.318352,-0.69221,BHR,010210
26751,24,5004,2018,4.198275136201812e-08,9.10729832228974e-07,0.318352,-0.69221,BHR,010290
33277,24,5005,2018,0.0,0.0,0.318352,-0.69221,BHR,010310
39803,24,5006,2018,0.0,0.0,0.318352,-0.69221,BHR,010391
46329,24,5007,2018,0.0,0.0,0.318352,-0.69221,BHR,010392
52855,24,5008,2018,0.0,3.4278779741368773e-06,0.318352,-0.69221,BHR,010410
59381,24,5009,2018,8.936562275630969e-10,9.340733214391219e-07,0.318352,-0.69221,BHR,010420
65907,24,5010,2018,0.0,1.0553589085590272e-07,0.318352,-0.69221,BHR,010511
72433,24,5011,2018,6.356020067615943e-08,2.0469633648170542e-08,0.318352,-0.69221,BHR,010519
78959,24,5012,2018,6.609843891355127e-09,4.265874171169557e-09,0.318352,-0.69221,BHR,010591
85485,24,5013,2018,1.4100313417602882e-09,4.088723231499747e-08,0.318352,-0.69221,BHR,010599
92011,24,5014,2018,1.1283644748917405e-07,8.405694428616722e-07,0.318352,-0.69221,BHR,010600
98537,24,5015,2018,1.6157934911381594e-08,4.091406844518468e-06,0.318352,-0.69221,BHR,020110
105063,24,5016,2018,4.671315953843723e-09,1.0471798049310168e-06,0.318352,-0.69221,BHR,020120
111589,24,5017,2018,5.8341599830156016e-08,2.9479762442878627e-06,0.318352,-0.69221,BHR,020130
118115,24,5018,2018,0.0,8.076392540632188e-07,0.318352,-0.69221,BHR,020210
124641,24,5019,2018,5.603276063117222e-08,2.9922633163393104e-07,0.318352,-0.69221,BHR,020220
131167,24,5020,2018,2.1944639294113583e-07,9.444476715571286e-06,0.318352,-0.69221,BHR,020230
