,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
659,25,5000,2004,0.0,0.0,0.620432,-0.513724,BHS,010111
7185,25,5001,2004,0.768712902183142,0.6395939915424246,0.620432,-0.513724,BHS,010119
13711,25,5002,2004,0.0,0.0,0.620432,-0.513724,BHS,010120
20237,25,5003,2004,0.0,1.0,0.620432,-0.513724,BHS,010210
26763,25,5004,2004,0.0,1.0,0.620432,-0.513724,BHS,010290
33289,25,5005,2004,0.0,1.0,0.620432,-0.513724,BHS,010310
39815,25,5006,2004,0.0,0.0,0.620432,-0.513724,BHS,010391
46341,25,5007,2004,0.0,0.0,0.620432,-0.513724,BHS,010392
52867,25,5008,2004,0.0,1.0,0.620432,-0.513724,BHS,010410
59393,25,5009,2004,0.0,1.0,0.620432,-0.513724,BHS,010420
65919,25,5010,2004,0.0,1.0,0.620432,-0.513724,BHS,010511
72445,25,5011,2004,0.0,1.0,0.620432,-0.513724,BHS,010519
78971,25,5012,2004,0.0,1.0,0.620432,-0.513724,BHS,010591
85497,25,5013,2004,0.0,0.0,0.620432,-0.513724,BHS,010599
92023,25,5014,2004,0.05929413298752544,0.9982405550734039,0.620432,-0.513724,BHS,010600
98549,25,5015,2004,0.0,1.0,0.620432,-0.513724,BHS,020110
105075,25,5016,2004,0.0,1.0,0.620432,-0.513724,BHS,020120
111601,25,5017,2004,0.0,1.0,0.620432,-0.513724,BHS,020130
118127,25,5018,2004,0.0,1.0,0.620432,-0.513724,BHS,020210
124653,25,5019,2004,0.0005109295647432152,0.9999998694754815,0.620432,-0.513724,BHS,020220
131179,25,5020,2004,0.0015148427142201253,0.9999988526251175,0.620432,-0.513724,BHS,020230
137705,25,5021,2004,0.0,1.0,0.620432,-0.513724,BHS,020311
144231,25,5022,2004,0.0,1.0,0.620432,-0.513724,BHS,020312
150757,25,5023,2004,0.00616864026096157,0.9999809737576665,0.620432,-0.513724,BHS,020319
157283,25,5024,2004,0.0,1.0,0.620432,-0.513724,BHS,020321
163809,25,5025,2004,0.0,1.0,0.620432,-0.513724,BHS,020322
170335,25,5026,2004,0.0,1.0,0.620432,-0.513724,BHS,020329
176861,25,5027,2004,0.0,1.0,0.620432,-0.513724,BHS,020410
183387,25,5028,2004,0.0,1.0,0.620432,-0.513724,BHS,020421
189913,25,5029,2004,0.0,1.0,0.620432,-0.513724,BHS,020422
196439,25,5030,2004,0.0,1.0,0.620432,-0.513724,BHS,020423
202965,25,5031,2004,0.0,1.0,0.620432,-0.513724,BHS,020430
209491,25,5032,2004,0.0,1.0,0.620432,-0.513724,BHS,020441
216017,25,5033,2004,0.0,1.0,0.620432,-0.513724,BHS,020442
222543,25,5034,2004,0.0,1.0,0.620432,-0.513724,BHS,020443
229069,25,5035,2004,0.0,1.0,0.620432,-0.513724,BHS,020450
235595,25,5036,2004,0.0,1.0,0.620432,-0.513724,BHS,020500
242121,25,5037,2004,0.0,1.0,0.620432,-0.513724,BHS,020610
248647,25,5038,2004,0.0,1.0,0.620432,-0.513724,BHS,020621
255173,25,5039,2004,0.0,1.0,0.620432,-0.513724,BHS,020622
261699,25,5040,2004,0.0,1.0,0.620432,-0.513724,BHS,020629
268225,25,5041,2004,0.0,1.0,0.620432,-0.513724,BHS,020630
274751,25,5042,2004,0.0,0.0,0.620432,-0.513724,BHS,020641
281277,25,5043,2004,0.0,1.0,0.620432,-0.513724,BHS,020649
287803,25,5044,2004,0.0,1.0,0.620432,-0.513724,BHS,020680
294329,25,5045,2004,0.0,1.0,0.620432,-0.513724,BHS,020690
300855,25,5046,2004,0.0,1.0,0.620432,-0.513724,BHS,020710
307381,25,5047,2004,0.005894809382511931,0.9999826254602346,0.620432,-0.513724,BHS,020721
313907,25,5048,2004,0.0,1.0,0.620432,-0.513724,BHS,020722
320433,25,5049,2004,0.0,1.0,0.620432,-0.513724,BHS,020723
326959,25,5050,2004,0.0,1.0,0.620432,-0.513724,BHS,020731
333485,25,5051,2004,0.0,1.0,0.620432,-0.513724,BHS,020739
340011,25,5052,2004,0.007355048396214453,0.9999729512657276,0.620432,-0.513724,BHS,020741
346537,25,5053,2004,0.0,1.0,0.620432,-0.513724,BHS,020742
353063,25,5054,2004,0.0,1.0,0.620432,-0.513724,BHS,020743
359589,25,5055,2004,0.0,0.0,0.620432,-0.513724,BHS,020750
