,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
696,26,5000,2015,0.0,27206.0,0.355903,0.723092,BIH,010111
7222,26,5001,2015,0.0,6505.0,0.355903,0.723092,BIH,010119
13748,26,5002,2015,,,0.355903,0.723092,BIH,010120
20274,26,5003,2015,0.0,3206801.0,0.355903,0.723092,BIH,010210
26800,26,5004,2015,0.0,43134168.0,0.355903,0.723092,BIH,010290
33326,26,5005,2015,0.0,8380.0,0.355903,0.723092,BIH,010310
39852,26,5006,2015,0.0,1583158.0,0.355903,0.723092,BIH,010391
46378,26,5007,2015,124426.0,240119.0,0.355903,0.723092,BIH,010392
52904,26,5008,2015,0.0,5356568.0,0.355903,0.723092,BIH,010410
59430,26,5009,2015,0.0,128350.0,0.355903,0.723092,BIH,010420
65956,26,5010,2015,303079.0,1783344.0,0.355903,0.723092,BIH,010511
72482,26,5011,2015,0.0,1966.0,0.355903,0.723092,BIH,010519
79008,26,5012,2015,1285636.0,468931.0,0.355903,0.723092,BIH,010591
85534,26,5013,2015,,,0.355903,0.723092,BIH,010599
92060,26,5014,2015,495882.0,9025.0,0.355903,0.723092,BIH,010600
98586,26,5015,2015,0.0,4423041.0,0.355903,0.723092,BIH,020110
105112,26,5016,2015,2656486.0,70926767.0,0.355903,0.723092,BIH,020120
111638,26,5017,2015,50070107.0,1184984.0,0.355903,0.723092,BIH,020130
118164,26,5018,2015,,,0.355903,0.723092,BIH,020210
124690,26,5019,2015,14116378.0,157478.0,0.355903,0.723092,BIH,020220
131216,26,5020,2015,0.0,7282794.0,0.355903,0.723092,BIH,020230
137742,26,5021,2015,0.0,8012666.0,0.355903,0.723092,BIH,020311
144268,26,5022,2015,0.0,846647.0,0.355903,0.723092,BIH,020312
150794,26,5023,2015,0.0,13653082.0,0.355903,0.723092,BIH,020319
157320,26,5024,2015,0.0,127505.0,0.355903,0.723092,BIH,020321
163846,26,5025,2015,0.0,56755.0,0.355903,0.723092,BIH,020322
170372,26,5026,2015,0.0,6059254.0,0.355903,0.723092,BIH,020329
176898,26,5027,2015,,,0.355903,0.723092,BIH,020410
183424,26,5028,2015,0.0,2369.0,0.355903,0.723092,BIH,020421
189950,26,5029,2015,,,0.355903,0.723092,BIH,020422
196476,26,5030,2015,,,0.355903,0.723092,BIH,020423
203002,26,5031,2015,,,0.355903,0.723092,BIH,020430
209528,26,5032,2015,,,0.355903,0.723092,BIH,020441
216054,26,5033,2015,0.0,57734.0,0.355903,0.723092,BIH,020442
222580,26,5034,2015,0.0,15016.0,0.355903,0.723092,BIH,020443
229106,26,5035,2015,,,0.355903,0.723092,BIH,020450
235632,26,5036,2015,,,0.355903,0.723092,BIH,020500
242158,26,5037,2015,0.0,127048.0,0.355903,0.723092,BIH,020610
248684,26,5038,2015,,,0.355903,0.723092,BIH,020621
255210,26,5039,2015,0.0,14780.0,0.355903,0.723092,BIH,020622
261736,26,5040,2015,0.0,2659745.0,0.355903,0.723092,BIH,020629
268262,26,5041,2015,0.0,24142.0,0.355903,0.723092,BIH,020630
274788,26,5042,2015,,,0.355903,0.723092,BIH,020641
281314,26,5043,2015,0.0,432404.0,0.355903,0.723092,BIH,020649
287840,26,5044,2015,,,0.355903,0.723092,BIH,020680
294366,26,5045,2015,6469.0,0.0,0.355903,0.723092,BIH,020690
300892,26,5046,2015,125171.0,705744.0,0.355903,0.723092,BIH,020710
307418,26,5047,2015,491251.0,1649712.0,0.355903,0.723092,BIH,020721
313944,26,5048,2015,0.0,4784.0,0.355903,0.723092,BIH,020722
320470,26,5049,2015,,,0.355903,0.723092,BIH,020723
326996,26,5050,2015,,,0.355903,0.723092,BIH,020731
333522,26,5051,2015,449586.0,3930848.0,0.355903,0.723092,BIH,020739
340048,26,5052,2015,4454973.0,4207967.0,0.355903,0.723092,BIH,020741
346574,26,5053,2015,51355.0,1236257.0,0.355903,0.723092,BIH,020742
353100,26,5054,2015,0.0,4814.0,0.355903,0.723092,BIH,020743
359626,26,5055,2015,,,0.355903,0.723092,BIH,020750
366152,26,5056,2015,,,0.355903,0.723092,BIH,020810
372678,26,5057,2015,,,0.355903,0.723092,BIH,020820
379204,26,5058,2015,,,0.355903,0.723092,BIH,020890
385730,26,5059,2015,0.0,599407.0,0.355903,0.723092,BIH,020900
