,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
739,28,5000,2006,5.411029365671976e-09,1.1151726224640051e-08,0.919853,0.384409,BLR,010111
7265,28,5001,2006,7.432910671088943e-07,8.949585928198291e-08,0.919853,0.384409,BLR,010119
13791,28,5002,2006,0.0,0.0,0.919853,0.384409,BLR,010120
20317,28,5003,2006,1.2676039335016732e-08,1.4150515456792456e-06,0.919853,0.384409,BLR,010210
26843,28,5004,2006,0.0,0.0,0.919853,0.384409,BLR,010290
33369,28,5005,2006,0.0,2.5870201845633013e-07,0.919853,0.384409,BLR,010310
39895,28,5006,2006,0.0,0.0,0.919853,0.384409,BLR,010391
46421,28,5007,2006,0.0,1.2481766862422929e-09,0.919853,0.384409,BLR,010392
52947,28,5008,2006,0.0,3.5857736506785363e-09,0.919853,0.384409,BLR,010410
59473,28,5009,2006,0.0,1.3005431005880928e-09,0.919853,0.384409,BLR,010420
65999,28,5010,2006,2.770667646188333e-09,2.983735876626e-06,0.919853,0.384409,BLR,010511
72525,28,5011,2006,0.0,3.790102096527812e-08,0.919853,0.384409,BLR,010519
79051,28,5012,2006,0.0,0.0,0.919853,0.384409,BLR,010591
85577,28,5013,2006,0.0,0.0,0.919853,0.384409,BLR,010599
92103,28,5014,2006,4.252518766155625e-08,1.1057566108718268e-07,0.919853,0.384409,BLR,010600
98629,28,5015,2006,2.086607592618614e-06,1.2084312406198353e-07,0.919853,0.384409,BLR,020110
105155,28,5016,2006,8.449024166050564e-07,2.048983448965394e-06,0.919853,0.384409,BLR,020120
111681,28,5017,2006,4.028513787039097e-08,5.757422110918945e-07,0.919853,0.384409,BLR,020130
118207,28,5018,2006,2.558237227378017e-05,6.409704796670271e-06,0.919853,0.384409,BLR,020210
124733,28,5019,2006,7.847250183935585e-07,1.4404674854520788e-07,0.919853,0.384409,BLR,020220
131259,28,5020,2006,1.2021530847401403e-06,1.734378294596909e-06,0.919853,0.384409,BLR,020230
137785,28,5021,2006,3.6775738652380253e-06,7.202958201273493e-06,0.919853,0.384409,BLR,020311
144311,28,5022,2006,0.0,1.8472749809984185e-08,0.919853,0.384409,BLR,020312
150837,28,5023,2006,1.9091242536319713e-07,3.470179762505216e-07,0.919853,0.384409,BLR,020319
157363,28,5024,2006,1.0953288617980091e-05,7.475783242819085e-06,0.919853,0.384409,BLR,020321
163889,28,5025,2006,1.3327568968540184e-09,8.792122108858484e-08,0.919853,0.384409,BLR,020322
170415,28,5026,2006,1.5535890781738067e-07,7.554944358226822e-06,0.919853,0.384409,BLR,020329
176941,28,5027,2006,0.0,1.768195066676217e-09,0.919853,0.384409,BLR,020410
183467,28,5028,2006,0.0,0.0,0.919853,0.384409,BLR,020421
189993,28,5029,2006,0.0,0.0,0.919853,0.384409,BLR,020422
196519,28,5030,2006,0.0,0.0,0.919853,0.384409,BLR,020423
203045,28,5031,2006,0.0,2.5699314989704568e-09,0.919853,0.384409,BLR,020430
209571,28,5032,2006,0.0,2.303161075508847e-08,0.919853,0.384409,BLR,020441
216097,28,5033,2006,0.0,6.621699950726174e-09,0.919853,0.384409,BLR,020442
222623,28,5034,2006,0.0,2.0644961706328314e-09,0.919853,0.384409,BLR,020443
229149,28,5035,2006,0.0,0.0,0.919853,0.384409,BLR,020450
235675,28,5036,2006,3.666748170062215e-10,0.0,0.919853,0.384409,BLR,020500
242201,28,5037,2006,6.5474182613524145e-09,0.0,0.919853,0.384409,BLR,020610
248727,28,5038,2006,3.575352199145623e-08,4.449156621379857e-09,0.919853,0.384409,BLR,020621
255253,28,5039,2006,1.4344561270914463e-08,1.3542584472528004e-07,0.919853,0.384409,BLR,020622
261779,28,5040,2006,1.0869635546443106e-07,1.644239123857678e-09,0.919853,0.384409,BLR,020629
268305,28,5041,2006,0.0,5.7754520662380045e-08,0.919853,0.384409,BLR,020630
274831,28,5042,2006,0.0,4.598152327513745e-07,0.919853,0.384409,BLR,020641
281357,28,5043,2006,3.893419875120606e-09,9.299101914986308e-07,0.919853,0.384409,BLR,020649
287883,28,5044,2006,0.0,0.0,0.919853,0.384409,BLR,020680
294409,28,5045,2006,0.0,0.0,0.919853,0.384409,BLR,020690
300935,28,5046,2006,3.852567451913492e-07,0.0,0.919853,0.384409,BLR,020710
307461,28,5047,2006,1.3901666577897165e-06,5.531285373525658e-09,0.919853,0.384409,BLR,020721
313987,28,5048,2006,2.2541713171756026e-08,5.7162249887469e-09,0.919853,0.384409,BLR,020722
320513,28,5049,2006,2.193185113107419e-07,0.0,0.919853,0.384409,BLR,020723
327039,28,5050,2006,0.0,0.0,0.919853,0.384409,BLR,020731
333565,28,5051,2006,0.0,0.0,0.919853,0.384409,BLR,020739
340091,28,5052,2006,1.475857047338876e-07,2.626716578101435e-06,0.919853,0.384409,BLR,020741
346617,28,5053,2006,1.08305437684317e-09,4.95952698712007e-07,0.919853,0.384409,BLR,020742
353143,28,5054,2006,0.0,1.1690967719200913e-08,0.919853,0.384409,BLR,020743
359669,28,5055,2006,0.0,0.0,0.919853,0.384409,BLR,020750
366195,28,5056,2006,0.0,0.0,0.919853,0.384409,BLR,020810
372721,28,5057,2006,0.0,3.2115857912075994e-10,0.919853,0.384409,BLR,020820
379247,28,5058,2006,0.0,2.6415210274431955e-10,0.919853,0.384409,BLR,020890
385773,28,5059,2006,5.9181618501843e-08,3.0810634977496996e-06,0.919853,0.384409,BLR,020900
392299,28,5060,2006,4.4970696565060554e-10,3.619579816901774e-09,0.919853,0.384409,BLR,021011
398825,28,5061,2006,2.239170983752621e-08,0.0,0.919853,0.384409,BLR,021012
405351,28,5062,2006,6.790817610955222e-08,6.5477903912381145e-09,0.919853,0.384409,BLR,021019
411877,28,5063,2006,7.663806712468878e-10,0.0,0.919853,0.384409,BLR,021020
418403,28,5064,2006,0.0,2.328117980573649e-08,0.919853,0.384409,BLR,021090
424929,28,5065,2006,0.0,7.990849682767308e-10,0.919853,0.384409,BLR,030110
431455,28,5066,2006,0.0,4.711320126111045e-09,0.919853,0.384409,BLR,030191
437981,28,5067,2006,0.0,1.006290252585004e-07,0.919853,0.384409,BLR,030192
444507,28,5068,2006,8.75595220047749e-09,0.0,0.919853,0.384409,BLR,030193
451033,28,5069,2006,1.2533611926758116e-09,1.2753541924217588e-08,0.919853,0.384409,BLR,030199
457559,28,5070,2006,1.5685197130778533e-09,2.718579200452047e-07,0.919853,0.384409,BLR,030211
464085,28,5071,2006,0.0,4.1360651215323674e-07,0.919853,0.384409,BLR,030212
470611,28,5072,2006,0.0,0.0,0.919853,0.384409,BLR,030219
477137,28,5073,2006,0.0,0.0,0.919853,0.384409,BLR,030221
483663,28,5074,2006,0.0,0.0,0.919853,0.384409,BLR,030222
490189,28,5075,2006,0.0,0.0,0.919853,0.384409,BLR,030223
496715,28,5076,2006,0.0,0.0,0.919853,0.384409,BLR,030229
503241,28,5077,2006,0.0,0.0,0.919853,0.384409,BLR,030231
509767,28,5078,2006,0.0,0.0,0.919853,0.384409,BLR,030232
516293,28,5079,2006,0.0,0.0,0.919853,0.384409,BLR,030233
522819,28,5080,2006,0.0,0.0,0.919853,0.384409,BLR,030239
529345,28,5081,2006,0.0,0.0,0.919853,0.384409,BLR,030240
535871,28,5082,2006,0.0,0.0,0.919853,0.384409,BLR,030250
542397,28,5083,2006,0.0,1.2531813245753409e-08,0.919853,0.384409,BLR,030261
548923,28,5084,2006,0.0,0.0,0.919853,0.384409,BLR,030262
555449,28,5085,2006,0.0,0.0,0.919853,0.384409,BLR,030263
561975,28,5086,2006,0.0,0.0,0.919853,0.384409,BLR,030264
568501,28,5087,2006,0.0,0.0,0.919853,0.384409,BLR,030265
575027,28,5088,2006,0.0,0.0,0.919853,0.384409,BLR,030266
581553,28,5089,2006,0.0,8.855226952475195e-09,0.919853,0.384409,BLR,030269
588079,28,5090,2006,0.0,0.0,0.919853,0.384409,BLR,030270
594605,28,5091,2006,2.3966290291381025e-08,3.747880846379006e-07,0.919853,0.384409,BLR,030310
601131,28,5092,2006,0.0,7.023960185482486e-07,0.919853,0.384409,BLR,030321
607657,28,5093,2006,0.0,4.957316328995472e-07,0.919853,0.384409,BLR,030322
614183,28,5094,2006,0.0,4.196061123588549e-07,0.919853,0.384409,BLR,030329
620709,28,5095,2006,0.0,1.568231593465765e-07,0.919853,0.384409,BLR,030331
627235,28,5096,2006,0.0,5.2830420548863915e-08,0.919853,0.384409,BLR,030332
633761,28,5097,2006,0.0,0.0,0.919853,0.384409,BLR,030333
640287,28,5098,2006,1.2578461408507639e-08,6.077321244631387e-08,0.919853,0.384409,BLR,030339
646813,28,5099,2006,0.0,0.0,0.919853,0.384409,BLR,030341
653339,28,5100,2006,0.0,2.76415123825298e-09,0.919853,0.384409,BLR,030342
659865,28,5101,2006,0.0,3.7485072547531424e-10,0.919853,0.384409,BLR,030343
666391,28,5102,2006,0.0,0.0,0.919853,0.384409,BLR,030349
672917,28,5103,2006,2.2991420137406634e-09,2.9337511398339273e-06,0.919853,0.384409,BLR,030350
679443,28,5104,2006,0.0,5.167371937122568e-08,0.919853,0.384409,BLR,030360
685969,28,5105,2006,1.3994250454006041e-09,1.920358609445024e-06,0.919853,0.384409,BLR,030371
692495,28,5106,2006,8.997169683400593e-10,6.291758397047416e-08,0.919853,0.384409,BLR,030372
699021,28,5107,2006,0.0,4.617276011740028e-07,0.919853,0.384409,BLR,030373
705547,28,5108,2006,5.663762256071306e-10,2.3133433602020856e-06,0.919853,0.384409,BLR,030374
712073,28,5109,2006,0.0,1.6750623930612185e-09,0.919853,0.384409,BLR,030375
718599,28,5110,2006,0.0,0.0,0.919853,0.384409,BLR,030376
725125,28,5111,2006,0.0,2.2868877151013866e-10,0.919853,0.384409,BLR,030377
731651,28,5112,2006,1.7494328252701792e-09,4.0735767432997274e-07,0.919853,0.384409,BLR,030378
738177,28,5113,2006,3.7945085856405814e-08,6.54791832437696e-06,0.919853,0.384409,BLR,030379
744703,28,5114,2006,0.0,8.318980949388112e-06,0.919853,0.384409,BLR,030380
751229,28,5115,2006,0.0,3.341640101266409e-08,0.919853,0.384409,BLR,030410
757755,28,5116,2006,1.1497225253897557e-09,9.770392021139457e-06,0.919853,0.384409,BLR,030420
