,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
769,29,5000,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010111
7295,29,5001,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010119
13821,29,5002,2010,0.0,0.0,-0.559172,-0.739977,BLZ,010120
20347,29,5003,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010210
26873,29,5004,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010290
33399,29,5005,2010,0.0,0.0,-0.559172,-0.739977,BLZ,010310
39925,29,5006,2010,0.0,0.0,-0.559172,-0.739977,BLZ,010391
46451,29,5007,2010,0.0,0.0,-0.559172,-0.739977,BLZ,010392
52977,29,5008,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010410
59503,29,5009,2010,0.0,0.0,-0.559172,-0.739977,BLZ,010420
66029,29,5010,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010511
72555,29,5011,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010519
79081,29,5012,2010,0.0,0.0,-0.559172,-0.739977,BLZ,010591
85607,29,5013,2010,0.0,1.0,-0.559172,-0.739977,BLZ,010599
92133,29,5014,2010,1.0,0.0,-0.559172,-0.739977,BLZ,010600
98659,29,5015,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020110
105185,29,5016,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020120
111711,29,5017,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020130
118237,29,5018,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020210
124763,29,5019,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020220
131289,29,5020,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020230
137815,29,5021,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020311
144341,29,5022,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020312
150867,29,5023,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020319
157393,29,5024,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020321
163919,29,5025,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020322
170445,29,5026,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020329
176971,29,5027,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020410
183497,29,5028,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020421
190023,29,5029,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020422
196549,29,5030,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020423
203075,29,5031,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020430
209601,29,5032,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020441
216127,29,5033,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020442
222653,29,5034,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020443
229179,29,5035,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020450
235705,29,5036,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020500
242231,29,5037,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020610
248757,29,5038,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020621
255283,29,5039,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020622
261809,29,5040,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020629
268335,29,5041,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020630
274861,29,5042,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020641
281387,29,5043,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020649
287913,29,5044,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020680
294439,29,5045,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020690
300965,29,5046,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020710
307491,29,5047,2010,0.0687697810643583,0.9976325562111333,-0.559172,-0.739977,BLZ,020721
314017,29,5048,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020722
320543,29,5049,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020723
327069,29,5050,2010,0.0,0.0,-0.559172,-0.739977,BLZ,020731
333595,29,5051,2010,0.0,1.0,-0.559172,-0.739977,BLZ,020739
340121,29,5052,2010,1.0,0.0,-0.559172,-0.739977,BLZ,020741
