,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
787,30,5000,2002,0.0,0.0,1.129,-0.476633,BMU,010111
7313,30,5001,2002,7.4038009331371935e-09,3.992110511361768e-09,1.129,-0.476633,BMU,010119
13839,30,5002,2002,0.0,0.0,1.129,-0.476633,BMU,010120
20365,30,5003,2002,0.0,0.0,1.129,-0.476633,BMU,010210
26891,30,5004,2002,0.0,0.0,1.129,-0.476633,BMU,010290
33417,30,5005,2002,0.0,0.0,1.129,-0.476633,BMU,010310
39943,30,5006,2002,0.0,0.0,1.129,-0.476633,BMU,010391
46469,30,5007,2002,0.0,0.0,1.129,-0.476633,BMU,010392
52995,30,5008,2002,0.0,0.0,1.129,-0.476633,BMU,010410
59521,30,5009,2002,0.0,0.0,1.129,-0.476633,BMU,010420
66047,30,5010,2002,0.0,0.0,1.129,-0.476633,BMU,010511
72573,30,5011,2002,0.0,0.0,1.129,-0.476633,BMU,010519
79099,30,5012,2002,0.0,0.0,1.129,-0.476633,BMU,010591
85625,30,5013,2002,0.0,0.0,1.129,-0.476633,BMU,010599
92151,30,5014,2002,1.0018404504318746e-09,1.922377699294357e-08,1.129,-0.476633,BMU,010600
98677,30,5015,2002,0.0,0.0,1.129,-0.476633,BMU,020110
105203,30,5016,2002,0.0,1.36782400003238e-09,1.129,-0.476633,BMU,020120
111729,30,5017,2002,0.0,1.6891999992025757e-06,1.129,-0.476633,BMU,020130
118255,30,5018,2002,0.0,2.541759693784425e-09,1.129,-0.476633,BMU,020210
124781,30,5019,2002,0.0,2.0820621197488275e-09,1.129,-0.476633,BMU,020220
131307,30,5020,2002,0.0,6.294549062925844e-07,1.129,-0.476633,BMU,020230
137833,30,5021,2002,0.0,0.0,1.129,-0.476633,BMU,020311
144359,30,5022,2002,0.0,4.838921831953658e-09,1.129,-0.476633,BMU,020312
150885,30,5023,2002,0.0,5.248241589656588e-09,1.129,-0.476633,BMU,020319
157411,30,5024,2002,0.0,0.0,1.129,-0.476633,BMU,020321
163937,30,5025,2002,0.0,0.0,1.129,-0.476633,BMU,020322
170463,30,5026,2002,0.0,4.541957861992666e-09,1.129,-0.476633,BMU,020329
176989,30,5027,2002,0.0,0.0,1.129,-0.476633,BMU,020410
183515,30,5028,2002,0.0,0.0,1.129,-0.476633,BMU,020421
190041,30,5029,2002,0.0,1.6124215556475717e-09,1.129,-0.476633,BMU,020422
196567,30,5030,2002,0.0,0.0,1.129,-0.476633,BMU,020423
203093,30,5031,2002,0.0,1.9821383839189845e-07,1.129,-0.476633,BMU,020430
209619,30,5032,2002,0.0,0.0,1.129,-0.476633,BMU,020441
216145,30,5033,2002,0.0,1.4713603555860788e-07,1.129,-0.476633,BMU,020442
222671,30,5034,2002,0.0,1.7007153074306168e-08,1.129,-0.476633,BMU,020443
229197,30,5035,2002,0.0,9.81273689579808e-09,1.129,-0.476633,BMU,020450
235723,30,5036,2002,0.0,0.0,1.129,-0.476633,BMU,020500
242249,30,5037,2002,0.0,0.0,1.129,-0.476633,BMU,020610
248775,30,5038,2002,0.0,0.0,1.129,-0.476633,BMU,020621
255301,30,5039,2002,0.0,4.978123692872873e-10,1.129,-0.476633,BMU,020622
261827,30,5040,2002,0.0,3.570030583074578e-08,1.129,-0.476633,BMU,020629
268353,30,5041,2002,0.0,0.0,1.129,-0.476633,BMU,020630
274879,30,5042,2002,0.0,0.0,1.129,-0.476633,BMU,020641
281405,30,5043,2002,0.0,0.0,1.129,-0.476633,BMU,020649
287931,30,5044,2002,0.0,0.0,1.129,-0.476633,BMU,020680
294457,30,5045,2002,0.0,0.0,1.129,-0.476633,BMU,020690
300983,30,5046,2002,0.0,0.0,1.129,-0.476633,BMU,020710
307509,30,5047,2002,0.0,5.880947190834638e-08,1.129,-0.476633,BMU,020721
314035,30,5048,2002,0.0,1.0374847267509956e-08,1.129,-0.476633,BMU,020722
320561,30,5049,2002,0.0,0.0,1.129,-0.476633,BMU,020723
327087,30,5050,2002,0.0,0.0,1.129,-0.476633,BMU,020731
333613,30,5051,2002,0.0,9.207215429459539e-07,1.129,-0.476633,BMU,020739
340139,30,5052,2002,0.0,8.140100592312882e-07,1.129,-0.476633,BMU,020741
346665,30,5053,2002,0.0,4.3817762920349134e-08,1.129,-0.476633,BMU,020742
353191,30,5054,2002,0.0,1.3373321638310282e-09,1.129,-0.476633,BMU,020743
359717,30,5055,2002,0.0,0.0,1.129,-0.476633,BMU,020750
366243,30,5056,2002,0.0,0.0,1.129,-0.476633,BMU,020810
372769,30,5057,2002,0.0,0.0,1.129,-0.476633,BMU,020820
379295,30,5058,2002,0.0,1.505302409340214e-08,1.129,-0.476633,BMU,020890
385821,30,5059,2002,0.0,0.0,1.129,-0.476633,BMU,020900
392347,30,5060,2002,0.0,9.109104632151668e-09,1.129,-0.476633,BMU,021011
398873,30,5061,2002,0.0,2.279861335454988e-08,1.129,-0.476633,BMU,021012
405399,30,5062,2002,0.0,4.03685396665723e-10,1.129,-0.476633,BMU,021019
411925,30,5063,2002,0.0,0.0,1.129,-0.476633,BMU,021020
418451,30,5064,2002,0.0,3.68719214934825e-09,1.129,-0.476633,BMU,021090
424977,30,5065,2002,0.0,0.0,1.129,-0.476633,BMU,030110
431503,30,5066,2002,0.0,0.0,1.129,-0.476633,BMU,030191
438029,30,5067,2002,0.0,0.0,1.129,-0.476633,BMU,030192
444555,30,5068,2002,0.0,0.0,1.129,-0.476633,BMU,030193
451081,30,5069,2002,0.0,0.0,1.129,-0.476633,BMU,030199
457607,30,5070,2002,0.0,0.0,1.129,-0.476633,BMU,030211
464133,30,5071,2002,0.0,0.0,1.129,-0.476633,BMU,030212
470659,30,5072,2002,0.0,8.474741865962674e-10,1.129,-0.476633,BMU,030219
477185,30,5073,2002,0.0,0.0,1.129,-0.476633,BMU,030221
483711,30,5074,2002,0.0,0.0,1.129,-0.476633,BMU,030222
490237,30,5075,2002,0.0,0.0,1.129,-0.476633,BMU,030223
