,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
817,31,5000,2006,3.80917557832083e-10,0.0,-0.805185,-0.754091,BOL,010111
7343,31,5001,2006,2.2442923097091543e-09,2.0810678207422618e-09,-0.805185,-0.754091,BOL,010119
13869,31,5002,2006,0.0,0.0,-0.805185,-0.754091,BOL,010120
20395,31,5003,2006,0.0,2.068804799661283e-09,-0.805185,-0.754091,BOL,010210
26921,31,5004,2006,0.0,7.891419782110727e-10,-0.805185,-0.754091,BOL,010290
33447,31,5005,2006,0.0,2.954957217612961e-08,-0.805185,-0.754091,BOL,010310
39973,31,5006,2006,0.0,2.8252011972561216e-08,-0.805185,-0.754091,BOL,010391
46499,31,5007,2006,0.0,9.391154117014171e-09,-0.805185,-0.754091,BOL,010392
53025,31,5008,2006,0.0,8.357414583187908e-09,-0.805185,-0.754091,BOL,010410
59551,31,5009,2006,0.0,0.0,-0.805185,-0.754091,BOL,010420
66077,31,5010,2006,0.0,7.57104007054511e-07,-0.805185,-0.754091,BOL,010511
72603,31,5011,2006,0.0,4.069997266876091e-09,-0.805185,-0.754091,BOL,010519
79129,31,5012,2006,0.0,0.0,-0.805185,-0.754091,BOL,010591
85655,31,5013,2006,0.0,0.0,-0.805185,-0.754091,BOL,010599
92181,31,5014,2006,2.615209645259249e-10,3.3541019821487e-10,-0.805185,-0.754091,BOL,010600
98707,31,5015,2006,0.0,0.0,-0.805185,-0.754091,BOL,020110
105233,31,5016,2006,0.0,0.0,-0.805185,-0.754091,BOL,020120
111759,31,5017,2006,1.4484443168046754e-07,2.796996248769871e-08,-0.805185,-0.754091,BOL,020130
118285,31,5018,2006,0.0,0.0,-0.805185,-0.754091,BOL,020210
124811,31,5019,2006,0.0,0.0,-0.805185,-0.754091,BOL,020220
131337,31,5020,2006,3.1776372982501886e-07,0.0,-0.805185,-0.754091,BOL,020230
137863,31,5021,2006,0.0,0.0,-0.805185,-0.754091,BOL,020311
144389,31,5022,2006,0.0,0.0,-0.805185,-0.754091,BOL,020312
150915,31,5023,2006,0.0,0.0,-0.805185,-0.754091,BOL,020319
157441,31,5024,2006,0.0,0.0,-0.805185,-0.754091,BOL,020321
163967,31,5025,2006,0.0,0.0,-0.805185,-0.754091,BOL,020322
170493,31,5026,2006,0.0,0.0,-0.805185,-0.754091,BOL,020329
177019,31,5027,2006,0.0,0.0,-0.805185,-0.754091,BOL,020410
183545,31,5028,2006,0.0,0.0,-0.805185,-0.754091,BOL,020421
190071,31,5029,2006,0.0,0.0,-0.805185,-0.754091,BOL,020422
196597,31,5030,2006,0.0,0.0,-0.805185,-0.754091,BOL,020423
203123,31,5031,2006,0.0,0.0,-0.805185,-0.754091,BOL,020430
209649,31,5032,2006,0.0,0.0,-0.805185,-0.754091,BOL,020441
216175,31,5033,2006,0.0,0.0,-0.805185,-0.754091,BOL,020442
222701,31,5034,2006,0.0,0.0,-0.805185,-0.754091,BOL,020443
229227,31,5035,2006,0.0,6.2733638654259485e-09,-0.805185,-0.754091,BOL,020450
235753,31,5036,2006,5.691490145125908e-08,0.0,-0.805185,-0.754091,BOL,020500
242279,31,5037,2006,0.0,3.9672530361976225e-10,-0.805185,-0.754091,BOL,020610
248805,31,5038,2006,0.0,0.0,-0.805185,-0.754091,BOL,020621
255331,31,5039,2006,0.0,0.0,-0.805185,-0.754091,BOL,020622
261857,31,5040,2006,0.0,0.0,-0.805185,-0.754091,BOL,020629
268383,31,5041,2006,0.0,0.0,-0.805185,-0.754091,BOL,020630
274909,31,5042,2006,0.0,0.0,-0.805185,-0.754091,BOL,020641
281435,31,5043,2006,0.0,0.0,-0.805185,-0.754091,BOL,020649
287961,31,5044,2006,0.0,1.342635091866046e-09,-0.805185,-0.754091,BOL,020680
294487,31,5045,2006,3.018248906927245e-10,0.0,-0.805185,-0.754091,BOL,020690
301013,31,5046,2006,1.571974335320722e-08,1.272437582002499e-08,-0.805185,-0.754091,BOL,020710
