,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
842,32,5000,2005,1312669.0,1834583.0,0.567638,1.139122,BRA,010111
7368,32,5001,2005,4074371.0,2234887.0,0.567638,1.139122,BRA,010119
13894,32,5002,2005,,,0.567638,1.139122,BRA,010120
20420,32,5003,2005,951951.0,55930.0,0.567638,1.139122,BRA,010210
26946,32,5004,2005,29292385.0,731734.0,0.567638,1.139122,BRA,010290
33472,32,5005,2005,137441.0,59177.0,0.567638,1.139122,BRA,010310
39998,32,5006,2005,0.0,256627.0,0.567638,1.139122,BRA,010391
46524,32,5007,2005,83310.0,20750.0,0.567638,1.139122,BRA,010392
53050,32,5008,2005,91765.0,48283.0,0.567638,1.139122,BRA,010410
59576,32,5009,2005,3329.0,21714.0,0.567638,1.139122,BRA,010420
66102,32,5010,2005,8520357.0,2289006.0,0.567638,1.139122,BRA,010511
72628,32,5011,2005,53604.0,63934.0,0.567638,1.139122,BRA,010519
79154,32,5012,2005,,,0.567638,1.139122,BRA,010591
85680,32,5013,2005,65208.0,0.0,0.567638,1.139122,BRA,010599
92206,32,5014,2005,870171.0,236826.0,0.567638,1.139122,BRA,010600
98732,32,5015,2005,395206.0,35717.0,0.567638,1.139122,BRA,020110
105258,32,5016,2005,915397.0,2890918.0,0.567638,1.139122,BRA,020120
111784,32,5017,2005,591438414.0,57661174.0,0.567638,1.139122,BRA,020130
118310,32,5018,2005,11040444.0,0.0,0.567638,1.139122,BRA,020210
124836,32,5019,2005,5603792.0,1289434.0,0.567638,1.139122,BRA,020220
131362,32,5020,2005,1666913241.0,18126659.0,0.567638,1.139122,BRA,020230
137888,32,5021,2005,1792656.0,0.0,0.567638,1.139122,BRA,020311
144414,32,5022,2005,557190.0,32715.0,0.567638,1.139122,BRA,020312
150940,32,5023,2005,1505992.0,42376.0,0.567638,1.139122,BRA,020319
157466,32,5024,2005,237569890.0,0.0,0.567638,1.139122,BRA,020321
163992,32,5025,2005,34749278.0,111202.0,0.567638,1.139122,BRA,020322
170518,32,5026,2005,800558435.0,633760.0,0.567638,1.139122,BRA,020329
177044,32,5027,2005,360983.0,0.0,0.567638,1.139122,BRA,020410
183570,32,5028,2005,11023.0,0.0,0.567638,1.139122,BRA,020421
190096,32,5029,2005,5003.0,16804.0,0.567638,1.139122,BRA,020422
196622,32,5030,2005,135237.0,0.0,0.567638,1.139122,BRA,020423
203148,32,5031,2005,710688.0,117468.0,0.567638,1.139122,BRA,020430
209674,32,5032,2005,60061.0,246579.0,0.567638,1.139122,BRA,020441
216200,32,5033,2005,648588.0,9600240.0,0.567638,1.139122,BRA,020442
222726,32,5034,2005,972448.0,1037801.0,0.567638,1.139122,BRA,020443
229252,32,5035,2005,3558629.0,0.0,0.567638,1.139122,BRA,020450
235778,32,5036,2005,34333495.0,6100.0,0.567638,1.139122,BRA,020500
242304,32,5037,2005,434816.0,47835.0,0.567638,1.139122,BRA,020610
248830,32,5038,2005,10873736.0,0.0,0.567638,1.139122,BRA,020621
255356,32,5039,2005,6019498.0,4666665.0,0.567638,1.139122,BRA,020622
261882,32,5040,2005,47487823.0,377020.0,0.567638,1.139122,BRA,020629
268408,32,5041,2005,36325.0,145008.0,0.567638,1.139122,BRA,020630
274934,32,5042,2005,3915222.0,0.0,0.567638,1.139122,BRA,020641
281460,32,5043,2005,17698039.0,53437.0,0.567638,1.139122,BRA,020649
287986,32,5044,2005,746631.0,0.0,0.567638,1.139122,BRA,020680
294512,32,5045,2005,1138751.0,0.0,0.567638,1.139122,BRA,020690
301038,32,5046,2005,4751824.0,56.0,0.567638,1.139122,BRA,020710
307564,32,5047,2005,989047968.0,80414.0,0.567638,1.139122,BRA,020721
314090,32,5048,2005,6660584.0,0.0,0.567638,1.139122,BRA,020722
320616,32,5049,2005,2339955.0,0.0,0.567638,1.139122,BRA,020723
327142,32,5050,2005,70409.0,18983.0,0.567638,1.139122,BRA,020731
333668,32,5051,2005,12073637.0,0.0,0.567638,1.139122,BRA,020739
340194,32,5052,2005,2110756885.0,1727552.0,0.567638,1.139122,BRA,020741
346720,32,5053,2005,143318689.0,0.0,0.567638,1.139122,BRA,020742
353246,32,5054,2005,6368000.0,43887.0,0.567638,1.139122,BRA,020743
359772,32,5055,2005,110864.0,0.0,0.567638,1.139122,BRA,020750
366298,32,5056,2005,299923.0,0.0,0.567638,1.139122,BRA,020810
372824,32,5057,2005,3791.0,0.0,0.567638,1.139122,BRA,020820
379350,32,5058,2005,1076670.0,18610.0,0.567638,1.139122,BRA,020890
385876,32,5059,2005,8929126.0,13076.0,0.567638,1.139122,BRA,020900
392402,32,5060,2005,220626.0,316477.0,0.567638,1.139122,BRA,021011
398928,32,5061,2005,982536.0,15268.0,0.567638,1.139122,BRA,021012
405454,32,5062,2005,2307493.0,1070613.0,0.567638,1.139122,BRA,021019
411980,32,5063,2005,12372073.0,5454.0,0.567638,1.139122,BRA,021020
418506,32,5064,2005,5399182.0,323492.0,0.567638,1.139122,BRA,021090
425032,32,5065,2005,4807643.0,180837.0,0.567638,1.139122,BRA,030110
431558,32,5066,2005,,,0.567638,1.139122,BRA,030191
438084,32,5067,2005,,,0.567638,1.139122,BRA,030192
444610,32,5068,2005,,,0.567638,1.139122,BRA,030193
451136,32,5069,2005,678112.0,9797.0,0.567638,1.139122,BRA,030199
457662,32,5070,2005,,,0.567638,1.139122,BRA,030211
464188,32,5071,2005,0.0,32578664.0,0.567638,1.139122,BRA,030212
470714,32,5072,2005,84576.0,0.0,0.567638,1.139122,BRA,030219
