,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
876,33,5000,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,010111
7402,33,5001,2013,0.4875483944198402,0.8730959644269557,0.6969489999999999,0.135283,BRB,010119
13928,33,5002,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,010120
20454,33,5003,2013,0.19640166305069004,0.9805235268727228,0.6969489999999999,0.135283,BRB,010210
26980,33,5004,2013,1.0,0.0,0.6969489999999999,0.135283,BRB,010290
33506,33,5005,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,010310
40032,33,5006,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,010391
46558,33,5007,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,010392
53084,33,5008,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,010410
59610,33,5009,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,010420
66136,33,5010,2013,1.0,0.0,0.6969489999999999,0.135283,BRB,010511
72662,33,5011,2013,1.0,0.0,0.6969489999999999,0.135283,BRB,010519
79188,33,5012,2013,1.0,0.0,0.6969489999999999,0.135283,BRB,010591
85714,33,5013,2013,1.0,0.0,0.6969489999999999,0.135283,BRB,010599
92240,33,5014,2013,0.9738015463799417,0.22739953444990693,0.6969489999999999,0.135283,BRB,010600
98766,33,5015,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020110
105292,33,5016,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020120
111818,33,5017,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020130
118344,33,5018,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020210
124870,33,5019,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020220
131396,33,5020,2013,0.00014938390481284995,0.9999999888422244,0.6969489999999999,0.135283,BRB,020230
137922,33,5021,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020311
144448,33,5022,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020312
150974,33,5023,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020319
157500,33,5024,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020321
164026,33,5025,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020322
170552,33,5026,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020329
177078,33,5027,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020410
183604,33,5028,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020421
190130,33,5029,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020422
196656,33,5030,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020423
203182,33,5031,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020430
209708,33,5032,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020441
216234,33,5033,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020442
222760,33,5034,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020443
229286,33,5035,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020450
235812,33,5036,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020500
242338,33,5037,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020610
248864,33,5038,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020621
255390,33,5039,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020622
261916,33,5040,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020629
268442,33,5041,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020630
274968,33,5042,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020641
281494,33,5043,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020649
288020,33,5044,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020680
294546,33,5045,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020690
301072,33,5046,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020710
307598,33,5047,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020721
314124,33,5048,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020722
320650,33,5049,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020723
327176,33,5050,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020731
333702,33,5051,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020739
340228,33,5052,2013,0.20584637811996007,0.9785843186025895,0.6969489999999999,0.135283,BRB,020741
346754,33,5053,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020742
353280,33,5054,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020743
359806,33,5055,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020750
366332,33,5056,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020810
372858,33,5057,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,020820
379384,33,5058,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020890
385910,33,5059,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,020900
392436,33,5060,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,021011
398962,33,5061,2013,0.14695281893547027,0.9891435027370492,0.6969489999999999,0.135283,BRB,021012
405488,33,5062,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,021019
412014,33,5063,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,021020
418540,33,5064,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,021090
425066,33,5065,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030110
431592,33,5066,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030191
438118,33,5067,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030192
444644,33,5068,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030193
451170,33,5069,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030199
457696,33,5070,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030211
464222,33,5071,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030212
470748,33,5072,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030219
477274,33,5073,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030221
483800,33,5074,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030222
490326,33,5075,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030223
496852,33,5076,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030229
503378,33,5077,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030231
509904,33,5078,2013,1.0,0.0,0.6969489999999999,0.135283,BRB,030232
516430,33,5079,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030233
522956,33,5080,2013,0.8140876254718629,0.580742058106337,0.6969489999999999,0.135283,BRB,030239
529482,33,5081,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030240
536008,33,5082,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030250
542534,33,5083,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030261
549060,33,5084,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030262
555586,33,5085,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030263
562112,33,5086,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030264
568638,33,5087,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030265
575164,33,5088,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030266
581690,33,5089,2013,0.1250250364428996,0.9921535870330015,0.6969489999999999,0.135283,BRB,030269
588216,33,5090,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030270
594742,33,5091,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030310
601268,33,5092,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030321
607794,33,5093,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030322
614320,33,5094,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030329
620846,33,5095,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030331
627372,33,5096,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030332
633898,33,5097,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030333
640424,33,5098,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030339
646950,33,5099,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030341
653476,33,5100,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030342
660002,33,5101,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030343
666528,33,5102,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030349
673054,33,5103,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030350
679580,33,5104,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030360
686106,33,5105,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030371
692632,33,5106,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030372
699158,33,5107,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030373
705684,33,5108,2013,0.993581568860143,0.11311792970796843,0.6969489999999999,0.135283,BRB,030374
712210,33,5109,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030375
718736,33,5110,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030376
725262,33,5111,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030377
731788,33,5112,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030378
738314,33,5113,2013,0.00587487943140235,0.9999827427469269,0.6969489999999999,0.135283,BRB,030379
744840,33,5114,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030380
751366,33,5115,2013,0.06122698078388355,0.9981238684772996,0.6969489999999999,0.135283,BRB,030410
757892,33,5116,2013,0.009573392796996483,0.9999541740251673,0.6969489999999999,0.135283,BRB,030420
764418,33,5117,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030490
770944,33,5118,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030510
777470,33,5119,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030520
783996,33,5120,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030530
790522,33,5121,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030541
797048,33,5122,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030542
803574,33,5123,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030549
810100,33,5124,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030551
816626,33,5125,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030559
823152,33,5126,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030561
829678,33,5127,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030562
836204,33,5128,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030563
842730,33,5129,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030569
849256,33,5130,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030611
855782,33,5131,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030612
862308,33,5132,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030613
868834,33,5133,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030614
875360,33,5134,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030619
881886,33,5135,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030621
888412,33,5136,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030622
894938,33,5137,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030623
901464,33,5138,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030624
907990,33,5139,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030629
914516,33,5140,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030710
921042,33,5141,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030721
927568,33,5142,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030729
934094,33,5143,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030731
940620,33,5144,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030739
947146,33,5145,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030741
953672,33,5146,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030749
960198,33,5147,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030751
966724,33,5148,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030759
973250,33,5149,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,030760
979776,33,5150,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030791
986302,33,5151,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,030799
992828,33,5152,2013,0.2978279172176958,0.9546195743466448,0.6969489999999999,0.135283,BRB,040110
999354,33,5153,2013,0.9104778444602003,0.4135578493356246,0.6969489999999999,0.135283,BRB,040120
1005880,33,5154,2013,0.33136619247457244,0.9435022238897504,0.6969489999999999,0.135283,BRB,040130
1012406,33,5155,2013,0.002391827766527661,0.9999971395758767,0.6969489999999999,0.135283,BRB,040210
1018932,33,5156,2013,0.0008687769996793065,0.9999996226131912,0.6969489999999999,0.135283,BRB,040221
1025458,33,5157,2013,0.5864310350272675,0.8099991612074965,0.6969489999999999,0.135283,BRB,040229
1031984,33,5158,2013,0.021091717097239185,0.9997775449918297,0.6969489999999999,0.135283,BRB,040291
1038510,33,5159,2013,0.007831352612297707,0.9999693344879441,0.6969489999999999,0.135283,BRB,040299
1045036,33,5160,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040310
1051562,33,5161,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040390
1058088,33,5162,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040410
1064614,33,5163,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040490
1071140,33,5164,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040500
1077666,33,5165,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040610
1084192,33,5166,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040620
1090718,33,5167,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040630
1097244,33,5168,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040640
1103770,33,5169,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040690
1110296,33,5170,2013,0.0053639438192581304,0.9999856139498727,0.6969489999999999,0.135283,BRB,040700
1116822,33,5171,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,040811
1123348,33,5172,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040819
1129874,33,5173,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,040891
1136400,33,5174,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040899
1142926,33,5175,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,040900
1149452,33,5176,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,041000
1155978,33,5177,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,050100
1162504,33,5178,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050210
1169030,33,5179,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050290
1175556,33,5180,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050300
1182082,33,5181,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,050400
1188608,33,5182,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050510
1195134,33,5183,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,050590
1201660,33,5184,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050610
1208186,33,5185,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,050690
1214712,33,5186,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050710
1221238,33,5187,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050790
1227764,33,5188,2013,0.2706213749962043,0.9626858632987003,0.6969489999999999,0.135283,BRB,050800
1234290,33,5189,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,050900
1240816,33,5190,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,051000
1247342,33,5191,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,051110
1253868,33,5192,2013,0.04928827373404031,0.9987845944308104,0.6969489999999999,0.135283,BRB,051191
1260394,33,5193,2013,0.937057234914414,0.3491757988385691,0.6969489999999999,0.135283,BRB,051199
1266920,33,5194,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,060110
1273446,33,5195,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,060120
1279972,33,5196,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,060210
1286498,33,5197,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,060220
1293024,33,5198,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,060230
1299550,33,5199,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,060240
1306076,33,5200,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,060291
1312602,33,5201,2013,0.14277321241455768,0.9897554292939381,0.6969489999999999,0.135283,BRB,060299
1319128,33,5202,2013,0.1679919745209355,0.9857883629342341,0.6969489999999999,0.135283,BRB,060310
1325654,33,5203,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,060390
1332180,33,5204,2013,0.0,0.0,0.6969489999999999,0.135283,BRB,060410
1338706,33,5205,2013,0.05896485897511832,0.9982600590056904,0.6969489999999999,0.135283,BRB,060491
1345232,33,5206,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,060499
1351758,33,5207,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070110
1358284,33,5208,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070190
1364810,33,5209,2013,0.026437258041750653,0.9996504746096176,0.6969489999999999,0.135283,BRB,070200
1371336,33,5210,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070310
1377862,33,5211,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070320
1384388,33,5212,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070390
1390914,33,5213,2013,0.012941990555806793,0.999916248933106,0.6969489999999999,0.135283,BRB,070410
1397440,33,5214,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070420
1403966,33,5215,2013,0.00036487949870273105,0.9999999334314735,0.6969489999999999,0.135283,BRB,070490
1410492,33,5216,2013,0.6795740022296045,0.7336069625444114,0.6969489999999999,0.135283,BRB,070511
1417018,33,5217,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070519
1423544,33,5218,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070521
1430070,33,5219,2013,0.0,1.0,0.6969489999999999,0.135283,BRB,070529
