,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
892,34,5000,2003,0.0,0.0,-1.342738,-0.978633,BRN,010111
7418,34,5001,2003,0.0,0.0,-1.342738,-0.978633,BRN,010119
13944,34,5002,2003,0.0,5.448758555980695e-09,-1.342738,-0.978633,BRN,010120
20470,34,5003,2003,4.339490396305035e-10,2.130330365022565e-06,-1.342738,-0.978633,BRN,010210
26996,34,5004,2003,7.212281524585184e-11,2.163594306854223e-06,-1.342738,-0.978633,BRN,010290
33522,34,5005,2003,0.0,1.8782308234028345e-09,-1.342738,-0.978633,BRN,010310
40048,34,5006,2003,0.0,0.0,-1.342738,-0.978633,BRN,010391
46574,34,5007,2003,0.0,0.0,-1.342738,-0.978633,BRN,010392
53100,34,5008,2003,0.0,2.5407653947778594e-09,-1.342738,-0.978633,BRN,010410
59626,34,5009,2003,0.0,5.113050068063855e-08,-1.342738,-0.978633,BRN,010420
66152,34,5010,2003,0.0,1.7479577675625807e-07,-1.342738,-0.978633,BRN,010511
72678,34,5011,2003,0.0,1.1346608829926951e-08,-1.342738,-0.978633,BRN,010519
79204,34,5012,2003,0.0,5.010272694085168e-09,-1.342738,-0.978633,BRN,010591
85730,34,5013,2003,0.0,6.569002103378186e-10,-1.342738,-0.978633,BRN,010599
92256,34,5014,2003,4.063120616875552e-09,1.8321782077487276e-07,-1.342738,-0.978633,BRN,010600
98782,34,5015,2003,0.0,7.737634869095213e-09,-1.342738,-0.978633,BRN,020110
105308,34,5016,2003,3.181888907905228e-10,0.0,-1.342738,-0.978633,BRN,020120
111834,34,5017,2003,2.4394481627273414e-10,7.505631767563189e-09,-1.342738,-0.978633,BRN,020130
118360,34,5018,2003,0.0,0.0,-1.342738,-0.978633,BRN,020210
124886,34,5019,2003,0.0,1.602809998584102e-09,-1.342738,-0.978633,BRN,020220
131412,34,5020,2003,4.718286694865181e-10,2.8166502257996555e-08,-1.342738,-0.978633,BRN,020230
137938,34,5021,2003,0.0,0.0,-1.342738,-0.978633,BRN,020311
144464,34,5022,2003,0.0,2.0265868638424984e-07,-1.342738,-0.978633,BRN,020312
150990,34,5023,2003,7.445620044498234e-10,2.0430988560115348e-07,-1.342738,-0.978633,BRN,020319
157516,34,5024,2003,0.0,1.6690965990218235e-09,-1.342738,-0.978633,BRN,020321
