,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
914,35,5000,1999,0.0,0.0,-0.089814,-0.630333,BTN,010111
7440,35,5001,1999,0.0,0.0,-0.089814,-0.630333,BTN,010119
13966,35,5002,1999,0.0,0.0,-0.089814,-0.630333,BTN,010120
20492,35,5003,1999,0.0,0.0,-0.089814,-0.630333,BTN,010210
27018,35,5004,1999,0.0,1.0,-0.089814,-0.630333,BTN,010290
33544,35,5005,1999,0.0,0.0,-0.089814,-0.630333,BTN,010310
40070,35,5006,1999,0.0,0.0,-0.089814,-0.630333,BTN,010391
46596,35,5007,1999,0.0,0.0,-0.089814,-0.630333,BTN,010392
53122,35,5008,1999,0.0,0.0,-0.089814,-0.630333,BTN,010410
59648,35,5009,1999,0.0,1.0,-0.089814,-0.630333,BTN,010420
66174,35,5010,1999,0.0,1.0,-0.089814,-0.630333,BTN,010511
72700,35,5011,1999,0.0,0.0,-0.089814,-0.630333,BTN,010519
79226,35,5012,1999,0.0,0.0,-0.089814,-0.630333,BTN,010591
85752,35,5013,1999,0.0,0.0,-0.089814,-0.630333,BTN,010599
92278,35,5014,1999,0.0,1.0,-0.089814,-0.630333,BTN,010600
98804,35,5015,1999,0.0,1.0,-0.089814,-0.630333,BTN,020110
105330,35,5016,1999,0.0,0.0,-0.089814,-0.630333,BTN,020120
111856,35,5017,1999,0.0,0.0,-0.089814,-0.630333,BTN,020130
118382,35,5018,1999,0.0,0.0,-0.089814,-0.630333,BTN,020210
124908,35,5019,1999,0.0,0.0,-0.089814,-0.630333,BTN,020220
131434,35,5020,1999,0.0,0.0,-0.089814,-0.630333,BTN,020230
137960,35,5021,1999,0.0,1.0,-0.089814,-0.630333,BTN,020311
144486,35,5022,1999,0.0,0.0,-0.089814,-0.630333,BTN,020312
151012,35,5023,1999,0.0,0.0,-0.089814,-0.630333,BTN,020319
157538,35,5024,1999,0.0,0.0,-0.089814,-0.630333,BTN,020321
