,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
986,37,5000,2019,0.0,6973.0,-0.492807,-1.152651,BWA,010111
7512,37,5001,2019,955.0,40464.0,-0.492807,-1.152651,BWA,010119
14038,37,5002,2019,,,-0.492807,-1.152651,BWA,010120
20564,37,5003,2019,3423556.0,39993.0,-0.492807,-1.152651,BWA,010210
27090,37,5004,2019,7325434.0,50358.0,-0.492807,-1.152651,BWA,010290
33616,37,5005,2019,,,-0.492807,-1.152651,BWA,010310
40142,37,5006,2019,,,-0.492807,-1.152651,BWA,010391
46668,37,5007,2019,,,-0.492807,-1.152651,BWA,010392
53194,37,5008,2019,4069.0,98306.0,-0.492807,-1.152651,BWA,010410
59720,37,5009,2019,3809.0,134790.0,-0.492807,-1.152651,BWA,010420
66246,37,5010,2019,0.0,1458475.0,-0.492807,-1.152651,BWA,010511
72772,37,5011,2019,,,-0.492807,-1.152651,BWA,010519
79298,37,5012,2019,0.0,1687349.0,-0.492807,-1.152651,BWA,010591
85824,37,5013,2019,0.0,1297545.0,-0.492807,-1.152651,BWA,010599
92350,37,5014,2019,44251.0,62812.0,-0.492807,-1.152651,BWA,010600
98876,37,5015,2019,438905.0,1558.0,-0.492807,-1.152651,BWA,020110
105402,37,5016,2019,90601.0,19740.0,-0.492807,-1.152651,BWA,020120
111928,37,5017,2019,16420167.0,14335.0,-0.492807,-1.152651,BWA,020130
118454,37,5018,2019,312203.0,4861.0,-0.492807,-1.152651,BWA,020210
124980,37,5019,2019,1100176.0,20263.0,-0.492807,-1.152651,BWA,020220
131506,37,5020,2019,20924620.0,81372.0,-0.492807,-1.152651,BWA,020230
138032,37,5021,2019,14087.0,8456.0,-0.492807,-1.152651,BWA,020311
144558,37,5022,2019,0.0,20623.0,-0.492807,-1.152651,BWA,020312
151084,37,5023,2019,2474.0,1160399.0,-0.492807,-1.152651,BWA,020319
157610,37,5024,2019,1619.0,51995.0,-0.492807,-1.152651,BWA,020321
164136,37,5025,2019,0.0,56039.0,-0.492807,-1.152651,BWA,020322
170662,37,5026,2019,19052.0,1366417.0,-0.492807,-1.152651,BWA,020329
177188,37,5027,2019,6874.0,71834.0,-0.492807,-1.152651,BWA,020410
183714,37,5028,2019,0.0,1567.0,-0.492807,-1.152651,BWA,020421
190240,37,5029,2019,0.0,59047.0,-0.492807,-1.152651,BWA,020422
196766,37,5030,2019,,,-0.492807,-1.152651,BWA,020423
203292,37,5031,2019,5852.0,1022.0,-0.492807,-1.152651,BWA,020430
209818,37,5032,2019,,,-0.492807,-1.152651,BWA,020441
216344,37,5033,2019,0.0,78095.0,-0.492807,-1.152651,BWA,020442
222870,37,5034,2019,,,-0.492807,-1.152651,BWA,020443
229396,37,5035,2019,0.0,1386.0,-0.492807,-1.152651,BWA,020450
235922,37,5036,2019,31916.0,0.0,-0.492807,-1.152651,BWA,020500
242448,37,5037,2019,0.0,172939.0,-0.492807,-1.152651,BWA,020610
248974,37,5038,2019,,,-0.492807,-1.152651,BWA,020621
255500,37,5039,2019,0.0,1236680.0,-0.492807,-1.152651,BWA,020622
262026,37,5040,2019,1057627.0,457781.0,-0.492807,-1.152651,BWA,020629
268552,37,5041,2019,,,-0.492807,-1.152651,BWA,020630
275078,37,5042,2019,,,-0.492807,-1.152651,BWA,020641
281604,37,5043,2019,,,-0.492807,-1.152651,BWA,020649
288130,37,5044,2019,0.0,59936.0,-0.492807,-1.152651,BWA,020680
294656,37,5045,2019,0.0,24637.0,-0.492807,-1.152651,BWA,020690
301182,37,5046,2019,0.0,8852.0,-0.492807,-1.152651,BWA,020710
307708,37,5047,2019,15826.0,2118631.0,-0.492807,-1.152651,BWA,020721
314234,37,5048,2019,0.0,9985.0,-0.492807,-1.152651,BWA,020722
320760,37,5049,2019,,,-0.492807,-1.152651,BWA,020723
327286,37,5050,2019,,,-0.492807,-1.152651,BWA,020731
333812,37,5051,2019,10361.0,214499.0,-0.492807,-1.152651,BWA,020739
340338,37,5052,2019,3019.0,3442448.0,-0.492807,-1.152651,BWA,020741
346864,37,5053,2019,0.0,266400.0,-0.492807,-1.152651,BWA,020742
353390,37,5054,2019,0.0,4398.0,-0.492807,-1.152651,BWA,020743
359916,37,5055,2019,,,-0.492807,-1.152651,BWA,020750
366442,37,5056,2019,,,-0.492807,-1.152651,BWA,020810
372968,37,5057,2019,,,-0.492807,-1.152651,BWA,020820
379494,37,5058,2019,9776.0,22317.0,-0.492807,-1.152651,BWA,020890
386020,37,5059,2019,0.0,17820.0,-0.492807,-1.152651,BWA,020900
392546,37,5060,2019,0.0,11295.0,-0.492807,-1.152651,BWA,021011
399072,37,5061,2019,,,-0.492807,-1.152651,BWA,021012
405598,37,5062,2019,12600.0,75555.0,-0.492807,-1.152651,BWA,021019
412124,37,5063,2019,0.0,13737.0,-0.492807,-1.152651,BWA,021020
418650,37,5064,2019,9440.0,11089.0,-0.492807,-1.152651,BWA,021090
425176,37,5065,2019,0.0,8012.0,-0.492807,-1.152651,BWA,030110
431702,37,5066,2019,,,-0.492807,-1.152651,BWA,030191
438228,37,5067,2019,,,-0.492807,-1.152651,BWA,030192
444754,37,5068,2019,,,-0.492807,-1.152651,BWA,030193
451280,37,5069,2019,0.0,1754.0,-0.492807,-1.152651,BWA,030199
457806,37,5070,2019,0.0,1930.0,-0.492807,-1.152651,BWA,030211
464332,37,5071,2019,0.0,12713.0,-0.492807,-1.152651,BWA,030212
470858,37,5072,2019,0.0,28490.0,-0.492807,-1.152651,BWA,030219
477384,37,5073,2019,,,-0.492807,-1.152651,BWA,030221
483910,37,5074,2019,,,-0.492807,-1.152651,BWA,030222
490436,37,5075,2019,0.0,1223.0,-0.492807,-1.152651,BWA,030223
496962,37,5076,2019,2569.0,121572.0,-0.492807,-1.152651,BWA,030229
503488,37,5077,2019,0.0,5022.0,-0.492807,-1.152651,BWA,030231
510014,37,5078,2019,,,-0.492807,-1.152651,BWA,030232
516540,37,5079,2019,,,-0.492807,-1.152651,BWA,030233
523066,37,5080,2019,0.0,6186.0,-0.492807,-1.152651,BWA,030239
529592,37,5081,2019,,,-0.492807,-1.152651,BWA,030240
536118,37,5082,2019,,,-0.492807,-1.152651,BWA,030250
542644,37,5083,2019,,,-0.492807,-1.152651,BWA,030261
549170,37,5084,2019,0.0,17026.0,-0.492807,-1.152651,BWA,030262
555696,37,5085,2019,,,-0.492807,-1.152651,BWA,030263
562222,37,5086,2019,,,-0.492807,-1.152651,BWA,030264
568748,37,5087,2019,,,-0.492807,-1.152651,BWA,030265
575274,37,5088,2019,,,-0.492807,-1.152651,BWA,030266
581800,37,5089,2019,1543.0,163400.0,-0.492807,-1.152651,BWA,030269
588326,37,5090,2019,0.0,27931.0,-0.492807,-1.152651,BWA,030270
594852,37,5091,2019,7977.0,18687.0,-0.492807,-1.152651,BWA,030310
601378,37,5092,2019,,,-0.492807,-1.152651,BWA,030321
607904,37,5093,2019,0.0,5958.0,-0.492807,-1.152651,BWA,030322
614430,37,5094,2019,0.0,106694.0,-0.492807,-1.152651,BWA,030329
620956,37,5095,2019,,,-0.492807,-1.152651,BWA,030331
627482,37,5096,2019,,,-0.492807,-1.152651,BWA,030332
634008,37,5097,2019,0.0,1789.0,-0.492807,-1.152651,BWA,030333
640534,37,5098,2019,0.0,29096.0,-0.492807,-1.152651,BWA,030339
647060,37,5099,2019,,,-0.492807,-1.152651,BWA,030341
653586,37,5100,2019,0.0,34667.0,-0.492807,-1.152651,BWA,030342
660112,37,5101,2019,,,-0.492807,-1.152651,BWA,030343
666638,37,5102,2019,0.0,214486.0,-0.492807,-1.152651,BWA,030349
673164,37,5103,2019,,,-0.492807,-1.152651,BWA,030350
679690,37,5104,2019,,,-0.492807,-1.152651,BWA,030360
686216,37,5105,2019,,,-0.492807,-1.152651,BWA,030371
692742,37,5106,2019,0.0,10352.0,-0.492807,-1.152651,BWA,030372
699268,37,5107,2019,,,-0.492807,-1.152651,BWA,030373
705794,37,5108,2019,0.0,4940.0,-0.492807,-1.152651,BWA,030374
712320,37,5109,2019,,,-0.492807,-1.152651,BWA,030375
718846,37,5110,2019,,,-0.492807,-1.152651,BWA,030376
725372,37,5111,2019,,,-0.492807,-1.152651,BWA,030377
731898,37,5112,2019,0.0,147043.0,-0.492807,-1.152651,BWA,030378
738424,37,5113,2019,1938.0,742694.0,-0.492807,-1.152651,BWA,030379
744950,37,5114,2019,,,-0.492807,-1.152651,BWA,030380
751476,37,5115,2019,2016.0,292870.0,-0.492807,-1.152651,BWA,030410
758002,37,5116,2019,0.0,841996.0,-0.492807,-1.152651,BWA,030420
764528,37,5117,2019,0.0,636644.0,-0.492807,-1.152651,BWA,030490
771054,37,5118,2019,,,-0.492807,-1.152651,BWA,030510
777580,37,5119,2019,,,-0.492807,-1.152651,BWA,030520
784106,37,5120,2019,1095.0,10091.0,-0.492807,-1.152651,BWA,030530
790632,37,5121,2019,0.0,23911.0,-0.492807,-1.152651,BWA,030541
797158,37,5122,2019,,,-0.492807,-1.152651,BWA,030542
803684,37,5123,2019,0.0,30022.0,-0.492807,-1.152651,BWA,030549
810210,37,5124,2019,1161.0,7258.0,-0.492807,-1.152651,BWA,030551
816736,37,5125,2019,1440822.0,2383.0,-0.492807,-1.152651,BWA,030559
823262,37,5126,2019,,,-0.492807,-1.152651,BWA,030561
829788,37,5127,2019,,,-0.492807,-1.152651,BWA,030562
836314,37,5128,2019,,,-0.492807,-1.152651,BWA,030563
842840,37,5129,2019,1019.0,5772.0,-0.492807,-1.152651,BWA,030569
849366,37,5130,2019,1958.0,18972.0,-0.492807,-1.152651,BWA,030611
855892,37,5131,2019,0.0,1955.0,-0.492807,-1.152651,BWA,030612
862418,37,5132,2019,0.0,206201.0,-0.492807,-1.152651,BWA,030613
868944,37,5133,2019,0.0,21441.0,-0.492807,-1.152651,BWA,030614
875470,37,5134,2019,0.0,12644.0,-0.492807,-1.152651,BWA,030619
881996,37,5135,2019,,,-0.492807,-1.152651,BWA,030621
888522,37,5136,2019,,,-0.492807,-1.152651,BWA,030622
895048,37,5137,2019,,,-0.492807,-1.152651,BWA,030623
901574,37,5138,2019,,,-0.492807,-1.152651,BWA,030624
908100,37,5139,2019,,,-0.492807,-1.152651,BWA,030629
914626,37,5140,2019,,,-0.492807,-1.152651,BWA,030710
921152,37,5141,2019,,,-0.492807,-1.152651,BWA,030721
927678,37,5142,2019,0.0,2606.0,-0.492807,-1.152651,BWA,030729
934204,37,5143,2019,,,-0.492807,-1.152651,BWA,030731
940730,37,5144,2019,0.0,8099.0,-0.492807,-1.152651,BWA,030739
947256,37,5145,2019,,,-0.492807,-1.152651,BWA,030741
953782,37,5146,2019,0.0,64245.0,-0.492807,-1.152651,BWA,030749
960308,37,5147,2019,5823.0,0.0,-0.492807,-1.152651,BWA,030751
966834,37,5148,2019,0.0,2301.0,-0.492807,-1.152651,BWA,030759
973360,37,5149,2019,,,-0.492807,-1.152651,BWA,030760
979886,37,5150,2019,0.0,4139.0,-0.492807,-1.152651,BWA,030791
986412,37,5151,2019,0.0,17268.0,-0.492807,-1.152651,BWA,030799
992938,37,5152,2019,27234.0,4414926.0,-0.492807,-1.152651,BWA,040110
999464,37,5153,2019,8894.0,5210257.0,-0.492807,-1.152651,BWA,040120
1005990,37,5154,2019,4006.0,770525.0,-0.492807,-1.152651,BWA,040130
1012516,37,5155,2019,24465.0,2115012.0,-0.492807,-1.152651,BWA,040210
1019042,37,5156,2019,1862.0,69207.0,-0.492807,-1.152651,BWA,040221
1025568,37,5157,2019,77394.0,5460001.0,-0.492807,-1.152651,BWA,040229
1032094,37,5158,2019,0.0,10319725.0,-0.492807,-1.152651,BWA,040291
1038620,37,5159,2019,9415.0,823226.0,-0.492807,-1.152651,BWA,040299
1045146,37,5160,2019,5553.0,12275525.0,-0.492807,-1.152651,BWA,040310
1051672,37,5161,2019,2270.0,992891.0,-0.492807,-1.152651,BWA,040390
1058198,37,5162,2019,0.0,10286.0,-0.492807,-1.152651,BWA,040410
1064724,37,5163,2019,0.0,87696.0,-0.492807,-1.152651,BWA,040490
1071250,37,5164,2019,236736.0,927418.0,-0.492807,-1.152651,BWA,040500
1077776,37,5165,2019,10732.0,225803.0,-0.492807,-1.152651,BWA,040610
1084302,37,5166,2019,0.0,261240.0,-0.492807,-1.152651,BWA,040620
1090828,37,5167,2019,4904.0,1318201.0,-0.492807,-1.152651,BWA,040630
1097354,37,5168,2019,0.0,21904.0,-0.492807,-1.152651,BWA,040640
1103880,37,5169,2019,7794.0,4510974.0,-0.492807,-1.152651,BWA,040690
1110406,37,5170,2019,10833.0,1513085.0,-0.492807,-1.152651,BWA,040700
1116932,37,5171,2019,0.0,1444.0,-0.492807,-1.152651,BWA,040811
1123458,37,5172,2019,,,-0.492807,-1.152651,BWA,040819
1129984,37,5173,2019,,,-0.492807,-1.152651,BWA,040891
1136510,37,5174,2019,0.0,1549.0,-0.492807,-1.152651,BWA,040899
1143036,37,5175,2019,16936.0,1053867.0,-0.492807,-1.152651,BWA,040900
1149562,37,5176,2019,0.0,3691.0,-0.492807,-1.152651,BWA,041000
1156088,37,5177,2019,3161.0,11234.0,-0.492807,-1.152651,BWA,050100
1162614,37,5178,2019,,,-0.492807,-1.152651,BWA,050210
1169140,37,5179,2019,,,-0.492807,-1.152651,BWA,050290
1175666,37,5180,2019,,,-0.492807,-1.152651,BWA,050300
1182192,37,5181,2019,0.0,2134804.0,-0.492807,-1.152651,BWA,050400
1188718,37,5182,2019,,,-0.492807,-1.152651,BWA,050510
1195244,37,5183,2019,,,-0.492807,-1.152651,BWA,050590
1201770,37,5184,2019,,,-0.492807,-1.152651,BWA,050610
1208296,37,5185,2019,,,-0.492807,-1.152651,BWA,050690
1214822,37,5186,2019,,,-0.492807,-1.152651,BWA,050710
1221348,37,5187,2019,37158.0,3049.0,-0.492807,-1.152651,BWA,050790
1227874,37,5188,2019,0.0,5961.0,-0.492807,-1.152651,BWA,050800
1234400,37,5189,2019,,,-0.492807,-1.152651,BWA,050900
1240926,37,5190,2019,0.0,1792.0,-0.492807,-1.152651,BWA,051000
1247452,37,5191,2019,0.0,33243.0,-0.492807,-1.152651,BWA,051110
1253978,37,5192,2019,,,-0.492807,-1.152651,BWA,051191
1260504,37,5193,2019,22365.0,14803.0,-0.492807,-1.152651,BWA,051199
1267030,37,5194,2019,4516.0,17088.0,-0.492807,-1.152651,BWA,060110
1273556,37,5195,2019,0.0,18885.0,-0.492807,-1.152651,BWA,060120
1280082,37,5196,2019,0.0,2746.0,-0.492807,-1.152651,BWA,060210
1286608,37,5197,2019,0.0,24186.0,-0.492807,-1.152651,BWA,060220
1293134,37,5198,2019,,,-0.492807,-1.152651,BWA,060230
1299660,37,5199,2019,0.0,4895.0,-0.492807,-1.152651,BWA,060240
1306186,37,5200,2019,,,-0.492807,-1.152651,BWA,060291
1312712,37,5201,2019,0.0,703917.0,-0.492807,-1.152651,BWA,060299
