,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1000,38,5000,2007,0.0,0.0,-0.252459,-0.783634,CAF,010111
7526,38,5001,2007,0.0,0.0,-0.252459,-0.783634,CAF,010119
14052,38,5002,2007,0.0,0.0,-0.252459,-0.783634,CAF,010120
20578,38,5003,2007,0.0,0.0,-0.252459,-0.783634,CAF,010210
27104,38,5004,2007,0.0,0.0,-0.252459,-0.783634,CAF,010290
33630,38,5005,2007,0.0,0.0,-0.252459,-0.783634,CAF,010310
40156,38,5006,2007,0.0,0.0,-0.252459,-0.783634,CAF,010391
46682,38,5007,2007,0.0,0.0,-0.252459,-0.783634,CAF,010392
53208,38,5008,2007,0.0,0.0,-0.252459,-0.783634,CAF,010410
59734,38,5009,2007,0.0,0.0,-0.252459,-0.783634,CAF,010420
66260,38,5010,2007,0.0,1.0,-0.252459,-0.783634,CAF,010511
72786,38,5011,2007,0.0,1.0,-0.252459,-0.783634,CAF,010519
79312,38,5012,2007,0.0,0.0,-0.252459,-0.783634,CAF,010591
85838,38,5013,2007,0.0,0.0,-0.252459,-0.783634,CAF,010599
92364,38,5014,2007,0.0,0.0,-0.252459,-0.783634,CAF,010600
98890,38,5015,2007,0.0,0.0,-0.252459,-0.783634,CAF,020110
105416,38,5016,2007,1.0,0.0,-0.252459,-0.783634,CAF,020120
111942,38,5017,2007,1.0,0.0,-0.252459,-0.783634,CAF,020130
118468,38,5018,2007,0.0,0.0,-0.252459,-0.783634,CAF,020210
124994,38,5019,2007,0.0,0.0,-0.252459,-0.783634,CAF,020220
131520,38,5020,2007,0.0,0.0,-0.252459,-0.783634,CAF,020230
138046,38,5021,2007,0.0,0.0,-0.252459,-0.783634,CAF,020311
144572,38,5022,2007,0.0,1.0,-0.252459,-0.783634,CAF,020312
151098,38,5023,2007,0.0,1.0,-0.252459,-0.783634,CAF,020319
157624,38,5024,2007,0.0,0.0,-0.252459,-0.783634,CAF,020321
164150,38,5025,2007,0.0,0.0,-0.252459,-0.783634,CAF,020322
170676,38,5026,2007,1.0,0.0,-0.252459,-0.783634,CAF,020329
177202,38,5027,2007,0.0,0.0,-0.252459,-0.783634,CAF,020410
183728,38,5028,2007,0.0,0.0,-0.252459,-0.783634,CAF,020421
190254,38,5029,2007,0.0,0.0,-0.252459,-0.783634,CAF,020422
196780,38,5030,2007,0.0,0.0,-0.252459,-0.783634,CAF,020423
203306,38,5031,2007,0.0,0.0,-0.252459,-0.783634,CAF,020430
209832,38,5032,2007,0.0,0.0,-0.252459,-0.783634,CAF,020441
216358,38,5033,2007,0.0,0.0,-0.252459,-0.783634,CAF,020442
222884,38,5034,2007,0.0,0.0,-0.252459,-0.783634,CAF,020443
229410,38,5035,2007,0.0,0.0,-0.252459,-0.783634,CAF,020450
235936,38,5036,2007,0.0,0.0,-0.252459,-0.783634,CAF,020500
242462,38,5037,2007,0.0,0.0,-0.252459,-0.783634,CAF,020610
248988,38,5038,2007,0.0,0.0,-0.252459,-0.783634,CAF,020621
255514,38,5039,2007,0.0,0.0,-0.252459,-0.783634,CAF,020622
262040,38,5040,2007,0.0,0.0,-0.252459,-0.783634,CAF,020629
268566,38,5041,2007,0.0,0.0,-0.252459,-0.783634,CAF,020630
275092,38,5042,2007,0.0,0.0,-0.252459,-0.783634,CAF,020641
281618,38,5043,2007,0.0,0.0,-0.252459,-0.783634,CAF,020649
288144,38,5044,2007,0.0,0.0,-0.252459,-0.783634,CAF,020680
294670,38,5045,2007,0.0,0.0,-0.252459,-0.783634,CAF,020690
301196,38,5046,2007,0.0,0.0,-0.252459,-0.783634,CAF,020710
307722,38,5047,2007,0.0,1.0,-0.252459,-0.783634,CAF,020721
314248,38,5048,2007,0.0,0.0,-0.252459,-0.783634,CAF,020722
320774,38,5049,2007,0.0,0.0,-0.252459,-0.783634,CAF,020723
327300,38,5050,2007,0.0,0.0,-0.252459,-0.783634,CAF,020731
333826,38,5051,2007,0.0,0.0,-0.252459,-0.783634,CAF,020739
340352,38,5052,2007,0.9747167250262949,0.22344418979694686,-0.252459,-0.783634,CAF,020741
346878,38,5053,2007,0.0,0.0,-0.252459,-0.783634,CAF,020742
353404,38,5054,2007,0.0,0.0,-0.252459,-0.783634,CAF,020743
359930,38,5055,2007,0.0,0.0,-0.252459,-0.783634,CAF,020750
366456,38,5056,2007,0.0,0.0,-0.252459,-0.783634,CAF,020810
372982,38,5057,2007,0.0,0.0,-0.252459,-0.783634,CAF,020820
379508,38,5058,2007,1.0,0.0,-0.252459,-0.783634,CAF,020890
386034,38,5059,2007,0.0,0.0,-0.252459,-0.783634,CAF,020900
392560,38,5060,2007,0.0,0.0,-0.252459,-0.783634,CAF,021011
399086,38,5061,2007,0.0,0.0,-0.252459,-0.783634,CAF,021012
405612,38,5062,2007,0.0,0.0,-0.252459,-0.783634,CAF,021019
412138,38,5063,2007,0.0,0.0,-0.252459,-0.783634,CAF,021020
418664,38,5064,2007,0.0,0.0,-0.252459,-0.783634,CAF,021090
425190,38,5065,2007,0.0,0.0,-0.252459,-0.783634,CAF,030110
431716,38,5066,2007,0.0,0.0,-0.252459,-0.783634,CAF,030191
438242,38,5067,2007,0.0,0.0,-0.252459,-0.783634,CAF,030192
444768,38,5068,2007,0.0,0.0,-0.252459,-0.783634,CAF,030193
451294,38,5069,2007,0.0,0.0,-0.252459,-0.783634,CAF,030199
457820,38,5070,2007,0.0,0.0,-0.252459,-0.783634,CAF,030211
464346,38,5071,2007,0.0,0.0,-0.252459,-0.783634,CAF,030212
470872,38,5072,2007,0.0,0.0,-0.252459,-0.783634,CAF,030219
477398,38,5073,2007,0.0,0.0,-0.252459,-0.783634,CAF,030221
483924,38,5074,2007,0.0,0.0,-0.252459,-0.783634,CAF,030222
490450,38,5075,2007,0.0,0.0,-0.252459,-0.783634,CAF,030223
496976,38,5076,2007,0.0,0.0,-0.252459,-0.783634,CAF,030229
503502,38,5077,2007,0.0,0.0,-0.252459,-0.783634,CAF,030231
510028,38,5078,2007,1.0,0.0,-0.252459,-0.783634,CAF,030232
516554,38,5079,2007,0.0,0.0,-0.252459,-0.783634,CAF,030233
523080,38,5080,2007,0.0,0.0,-0.252459,-0.783634,CAF,030239
529606,38,5081,2007,0.0,0.0,-0.252459,-0.783634,CAF,030240
536132,38,5082,2007,0.0,0.0,-0.252459,-0.783634,CAF,030250
542658,38,5083,2007,0.0,0.0,-0.252459,-0.783634,CAF,030261
549184,38,5084,2007,0.0,0.0,-0.252459,-0.783634,CAF,030262
555710,38,5085,2007,0.0,0.0,-0.252459,-0.783634,CAF,030263
562236,38,5086,2007,0.0,0.0,-0.252459,-0.783634,CAF,030264
