,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1063,40,5000,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010111
7589,40,5001,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010119
14115,40,5002,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010120
20641,40,5003,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010210
27167,40,5004,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010290
33693,40,5005,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010310
40219,40,5006,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010391
46745,40,5007,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010392
53271,40,5008,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010410
59797,40,5009,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010420
66323,40,5010,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010511
72849,40,5011,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010519
79375,40,5012,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010591
85901,40,5013,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010599
92427,40,5014,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,010600
98953,40,5015,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020110
105479,40,5016,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020120
112005,40,5017,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020130
118531,40,5018,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020210
125057,40,5019,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020220
131583,40,5020,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020230
138109,40,5021,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020311
144635,40,5022,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020312
151161,40,5023,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020319
157687,40,5024,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020321
164213,40,5025,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020322
170739,40,5026,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020329
177265,40,5027,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020410
183791,40,5028,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020421
190317,40,5029,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020422
196843,40,5030,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020423
203369,40,5031,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020430
209895,40,5032,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020441
216421,40,5033,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020442
222947,40,5034,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020443
229473,40,5035,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020450
235999,40,5036,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020500
242525,40,5037,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020610
249051,40,5038,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020621
255577,40,5039,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020622
262103,40,5040,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020629
268629,40,5041,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020630
275155,40,5042,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020641
281681,40,5043,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020649
288207,40,5044,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020680
294733,40,5045,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020690
301259,40,5046,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020710
307785,40,5047,2018,0.0,1.0,0.8609030000000001,-0.013083000000000001,CCK,020721
314311,40,5048,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020722
320837,40,5049,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020723
327363,40,5050,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020731
333889,40,5051,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020739
340415,40,5052,2018,0.0,1.0,0.8609030000000001,-0.013083000000000001,CCK,020741
346941,40,5053,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020742
353467,40,5054,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020743
359993,40,5055,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020750
366519,40,5056,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020810
373045,40,5057,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020820
379571,40,5058,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020890
386097,40,5059,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,020900
392623,40,5060,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,021011
399149,40,5061,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,021012
405675,40,5062,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,021019
412201,40,5063,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,021020
418727,40,5064,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,021090
425253,40,5065,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030110
431779,40,5066,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030191
438305,40,5067,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030192
444831,40,5068,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030193
451357,40,5069,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030199
457883,40,5070,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030211
464409,40,5071,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030212
470935,40,5072,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030219
477461,40,5073,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030221
483987,40,5074,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030222
490513,40,5075,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030223
497039,40,5076,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030229
503565,40,5077,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030231
510091,40,5078,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030232
516617,40,5079,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030233
523143,40,5080,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030239
529669,40,5081,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030240
536195,40,5082,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030250
542721,40,5083,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030261
549247,40,5084,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030262
555773,40,5085,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030263
562299,40,5086,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030264
568825,40,5087,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030265
575351,40,5088,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030266
581877,40,5089,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030269
588403,40,5090,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030270
594929,40,5091,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030310
601455,40,5092,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030321
607981,40,5093,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030322
614507,40,5094,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030329
621033,40,5095,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030331
627559,40,5096,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030332
634085,40,5097,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030333
640611,40,5098,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030339
647137,40,5099,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030341
653663,40,5100,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030342
660189,40,5101,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030343
666715,40,5102,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030349
673241,40,5103,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030350
679767,40,5104,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030360
686293,40,5105,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030371
692819,40,5106,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030372
699345,40,5107,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030373
705871,40,5108,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030374
712397,40,5109,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030375
718923,40,5110,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030376
725449,40,5111,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030377
731975,40,5112,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030378
738501,40,5113,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030379
745027,40,5114,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030380
751553,40,5115,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030410
758079,40,5116,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030420
764605,40,5117,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030490
771131,40,5118,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030510
777657,40,5119,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030520
784183,40,5120,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030530
790709,40,5121,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030541
797235,40,5122,2018,0.0,0.0,0.8609030000000001,-0.013083000000000001,CCK,030542
