,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1148,44,5000,1999,0.0,1.0,-0.591892,-0.654457,CIV,010111
7674,44,5001,1999,0.0,1.0,-0.591892,-0.654457,CIV,010119
14200,44,5002,1999,0.0,1.0,-0.591892,-0.654457,CIV,010120
20726,44,5003,1999,0.13199729825610884,0.9912500760419077,-0.591892,-0.654457,CIV,010210
27252,44,5004,1999,0.0017920746994754765,0.9999983942328464,-0.591892,-0.654457,CIV,010290
33778,44,5005,1999,0.0,0.0,-0.591892,-0.654457,CIV,010310
40304,44,5006,1999,0.0,1.0,-0.591892,-0.654457,CIV,010391
46830,44,5007,1999,0.0,0.0,-0.591892,-0.654457,CIV,010392
53356,44,5008,1999,0.0,1.0,-0.591892,-0.654457,CIV,010410
59882,44,5009,1999,0.0,1.0,-0.591892,-0.654457,CIV,010420
66408,44,5010,1999,0.05486712501224948,0.9984936647735377,-0.591892,-0.654457,CIV,010511
72934,44,5011,1999,0.08893028868756914,0.9960378525708476,-0.591892,-0.654457,CIV,010519
79460,44,5012,1999,0.0,1.0,-0.591892,-0.654457,CIV,010591
85986,44,5013,1999,0.0,1.0,-0.591892,-0.654457,CIV,010599
92512,44,5014,1999,0.9795003354803212,0.20144252975461294,-0.591892,-0.654457,CIV,010600
99038,44,5015,1999,0.0,1.0,-0.591892,-0.654457,CIV,020110
105564,44,5016,1999,0.11141383686477453,0.9937740975468566,-0.591892,-0.654457,CIV,020120
112090,44,5017,1999,0.0,1.0,-0.591892,-0.654457,CIV,020130
118616,44,5018,1999,0.05021895075088646,0.9987382324640827,-0.591892,-0.654457,CIV,020210
125142,44,5019,1999,0.0,1.0,-0.591892,-0.654457,CIV,020220
131668,44,5020,1999,0.015774152217965662,0.999875580320774,-0.591892,-0.654457,CIV,020230
138194,44,5021,1999,0.0,1.0,-0.591892,-0.654457,CIV,020311
144720,44,5022,1999,0.0,0.0,-0.591892,-0.654457,CIV,020312
151246,44,5023,1999,0.0,0.0,-0.591892,-0.654457,CIV,020319
157772,44,5024,1999,0.0,1.0,-0.591892,-0.654457,CIV,020321
164298,44,5025,1999,0.0,1.0,-0.591892,-0.654457,CIV,020322
170824,44,5026,1999,0.0,1.0,-0.591892,-0.654457,CIV,020329
177350,44,5027,1999,0.0,1.0,-0.591892,-0.654457,CIV,020410
183876,44,5028,1999,0.0,0.0,-0.591892,-0.654457,CIV,020421
190402,44,5029,1999,0.0,1.0,-0.591892,-0.654457,CIV,020422
196928,44,5030,1999,0.0,0.0,-0.591892,-0.654457,CIV,020423
203454,44,5031,1999,0.0,1.0,-0.591892,-0.654457,CIV,020430
209980,44,5032,1999,0.0,1.0,-0.591892,-0.654457,CIV,020441
216506,44,5033,1999,0.0,1.0,-0.591892,-0.654457,CIV,020442
223032,44,5034,1999,0.0,1.0,-0.591892,-0.654457,CIV,020443
229558,44,5035,1999,0.0,1.0,-0.591892,-0.654457,CIV,020450
236084,44,5036,1999,0.0,0.0,-0.591892,-0.654457,CIV,020500
242610,44,5037,1999,0.0,1.0,-0.591892,-0.654457,CIV,020610
249136,44,5038,1999,0.0,0.0,-0.591892,-0.654457,CIV,020621
255662,44,5039,1999,0.0,1.0,-0.591892,-0.654457,CIV,020622
262188,44,5040,1999,0.0,1.0,-0.591892,-0.654457,CIV,020629
268714,44,5041,1999,0.0,0.0,-0.591892,-0.654457,CIV,020630
275240,44,5042,1999,0.0,0.0,-0.591892,-0.654457,CIV,020641
281766,44,5043,1999,0.0,1.0,-0.591892,-0.654457,CIV,020649
288292,44,5044,1999,0.0,0.0,-0.591892,-0.654457,CIV,020680
294818,44,5045,1999,0.0,1.0,-0.591892,-0.654457,CIV,020690
301344,44,5046,1999,0.49115903961875107,0.8710699155640643,-0.591892,-0.654457,CIV,020710
307870,44,5047,1999,0.0,1.0,-0.591892,-0.654457,CIV,020721
314396,44,5048,1999,0.0,1.0,-0.591892,-0.654457,CIV,020722
320922,44,5049,1999,0.0,1.0,-0.591892,-0.654457,CIV,020723
327448,44,5050,1999,0.0,1.0,-0.591892,-0.654457,CIV,020731
333974,44,5051,1999,0.0,1.0,-0.591892,-0.654457,CIV,020739
340500,44,5052,1999,0.05149055296884477,0.9986734816520175,-0.591892,-0.654457,CIV,020741
347026,44,5053,1999,0.01690404201224894,0.9998571164739731,-0.591892,-0.654457,CIV,020742
353552,44,5054,1999,0.0,1.0,-0.591892,-0.654457,CIV,020743
360078,44,5055,1999,0.0,0.0,-0.591892,-0.654457,CIV,020750
366604,44,5056,1999,0.0,1.0,-0.591892,-0.654457,CIV,020810
373130,44,5057,1999,0.0,0.0,-0.591892,-0.654457,CIV,020820
379656,44,5058,1999,0.0,1.0,-0.591892,-0.654457,CIV,020890
386182,44,5059,1999,0.0,0.0,-0.591892,-0.654457,CIV,020900
392708,44,5060,1999,0.7576227302459044,0.6526927290959671,-0.591892,-0.654457,CIV,021011
399234,44,5061,1999,0.0,1.0,-0.591892,-0.654457,CIV,021012
405760,44,5062,1999,0.0,1.0,-0.591892,-0.654457,CIV,021019
412286,44,5063,1999,0.0,1.0,-0.591892,-0.654457,CIV,021020
418812,44,5064,1999,0.0,1.0,-0.591892,-0.654457,CIV,021090
425338,44,5065,1999,0.9999495207509219,0.010047683812767301,-0.591892,-0.654457,CIV,030110
431864,44,5066,1999,0.0,0.0,-0.591892,-0.654457,CIV,030191
438390,44,5067,1999,0.0,0.0,-0.591892,-0.654457,CIV,030192
444916,44,5068,1999,0.0,0.0,-0.591892,-0.654457,CIV,030193
451442,44,5069,1999,0.0,0.0,-0.591892,-0.654457,CIV,030199
457968,44,5070,1999,0.0,1.0,-0.591892,-0.654457,CIV,030211
464494,44,5071,1999,0.0,1.0,-0.591892,-0.654457,CIV,030212
471020,44,5072,1999,0.0,1.0,-0.591892,-0.654457,CIV,030219
477546,44,5073,1999,0.0,0.0,-0.591892,-0.654457,CIV,030221
484072,44,5074,1999,0.0,0.0,-0.591892,-0.654457,CIV,030222
490598,44,5075,1999,0.0,0.0,-0.591892,-0.654457,CIV,030223
497124,44,5076,1999,0.0,1.0,-0.591892,-0.654457,CIV,030229
503650,44,5077,1999,0.0,0.0,-0.591892,-0.654457,CIV,030231
510176,44,5078,1999,0.12303350876572278,0.9924025169863259,-0.591892,-0.654457,CIV,030232
516702,44,5079,1999,1.0,0.0,-0.591892,-0.654457,CIV,030233
523228,44,5080,1999,1.0,0.0,-0.591892,-0.654457,CIV,030239
529754,44,5081,1999,0.0,0.0,-0.591892,-0.654457,CIV,030240
536280,44,5082,1999,0.8565864351045908,0.5160035650989331,-0.591892,-0.654457,CIV,030250
542806,44,5083,1999,0.2918992424871071,0.956449074564586,-0.591892,-0.654457,CIV,030261
549332,44,5084,1999,0.0,0.0,-0.591892,-0.654457,CIV,030262
555858,44,5085,1999,0.0,0.0,-0.591892,-0.654457,CIV,030263
562384,44,5086,1999,0.0,1.0,-0.591892,-0.654457,CIV,030264
568910,44,5087,1999,1.0,0.0,-0.591892,-0.654457,CIV,030265
575436,44,5088,1999,0.0,0.0,-0.591892,-0.654457,CIV,030266
581962,44,5089,1999,0.9959276468528147,0.09015609926241945,-0.591892,-0.654457,CIV,030269
588488,44,5090,1999,0.0,0.0,-0.591892,-0.654457,CIV,030270
595014,44,5091,1999,0.0,1.0,-0.591892,-0.654457,CIV,030310
601540,44,5092,1999,0.0,1.0,-0.591892,-0.654457,CIV,030321
608066,44,5093,1999,0.0,1.0,-0.591892,-0.654457,CIV,030322
614592,44,5094,1999,0.0,1.0,-0.591892,-0.654457,CIV,030329
621118,44,5095,1999,0.0,0.0,-0.591892,-0.654457,CIV,030331
627644,44,5096,1999,0.0,0.0,-0.591892,-0.654457,CIV,030332
634170,44,5097,1999,0.9996360790372002,0.02697609102765908,-0.591892,-0.654457,CIV,030333
640696,44,5098,1999,0.2828401691119717,0.9591670546556066,-0.591892,-0.654457,CIV,030339
647222,44,5099,1999,0.9042698220380453,0.42696146073302904,-0.591892,-0.654457,CIV,030341
653748,44,5100,1999,0.013590761727634754,0.9999076413327695,-0.591892,-0.654457,CIV,030342
660274,44,5101,1999,0.006711851196049741,0.9999774752730793,-0.591892,-0.654457,CIV,030343
666800,44,5102,1999,0.04755064610711734,0.9988688282526369,-0.591892,-0.654457,CIV,030349
673326,44,5103,1999,0.0,1.0,-0.591892,-0.654457,CIV,030350
679852,44,5104,1999,0.0,1.0,-0.591892,-0.654457,CIV,030360
686378,44,5105,1999,0.03346239222683152,0.9994399773405392,-0.591892,-0.654457,CIV,030371
692904,44,5106,1999,0.0,0.0,-0.591892,-0.654457,CIV,030372
699430,44,5107,1999,0.0,0.0,-0.591892,-0.654457,CIV,030373
705956,44,5108,1999,0.10716422924325812,0.9942413328617445,-0.591892,-0.654457,CIV,030374
712482,44,5109,1999,1.0,0.0,-0.591892,-0.654457,CIV,030375
719008,44,5110,1999,0.0,1.0,-0.591892,-0.654457,CIV,030376
725534,44,5111,1999,0.0,1.0,-0.591892,-0.654457,CIV,030377
732060,44,5112,1999,0.0,1.0,-0.591892,-0.654457,CIV,030378
738586,44,5113,1999,0.05007346839495046,0.9987455370427945,-0.591892,-0.654457,CIV,030379
745112,44,5114,1999,0.9999814795346743,0.006086097899613501,-0.591892,-0.654457,CIV,030380
751638,44,5115,1999,1.0,0.0,-0.591892,-0.654457,CIV,030410
758164,44,5116,1999,0.9822075453024433,0.18779866333642722,-0.591892,-0.654457,CIV,030420
764690,44,5117,1999,1.0,0.0,-0.591892,-0.654457,CIV,030490
771216,44,5118,1999,0.0,0.0,-0.591892,-0.654457,CIV,030510
777742,44,5119,1999,0.0,0.0,-0.591892,-0.654457,CIV,030520
784268,44,5120,1999,0.0,1.0,-0.591892,-0.654457,CIV,030530
790794,44,5121,1999,0.0,1.0,-0.591892,-0.654457,CIV,030541
797320,44,5122,1999,0.0,1.0,-0.591892,-0.654457,CIV,030542
803846,44,5123,1999,0.7718310845364816,0.6358276314719568,-0.591892,-0.654457,CIV,030549
810372,44,5124,1999,1.0,0.0,-0.591892,-0.654457,CIV,030551
816898,44,5125,1999,0.9992393426676548,0.038996616072591125,-0.591892,-0.654457,CIV,030559
823424,44,5126,1999,0.0,0.0,-0.591892,-0.654457,CIV,030561
829950,44,5127,1999,0.0,0.0,-0.591892,-0.654457,CIV,030562
836476,44,5128,1999,0.0,0.0,-0.591892,-0.654457,CIV,030563
843002,44,5129,1999,0.0,0.0,-0.591892,-0.654457,CIV,030569
849528,44,5130,1999,1.0,0.0,-0.591892,-0.654457,CIV,030611
856054,44,5131,1999,0.0,0.0,-0.591892,-0.654457,CIV,030612
862580,44,5132,1999,0.9999999552281608,0.0002992384939612327,-0.591892,-0.654457,CIV,030613
869106,44,5133,1999,1.0,0.0,-0.591892,-0.654457,CIV,030614
875632,44,5134,1999,0.8928288708365375,0.4503960561558612,-0.591892,-0.654457,CIV,030619
882158,44,5135,1999,0.0,1.0,-0.591892,-0.654457,CIV,030621
888684,44,5136,1999,0.0,0.0,-0.591892,-0.654457,CIV,030622
895210,44,5137,1999,0.5026217577317484,0.8645064306612459,-0.591892,-0.654457,CIV,030623
901736,44,5138,1999,1.0,0.0,-0.591892,-0.654457,CIV,030624
908262,44,5139,1999,0.0,1.0,-0.591892,-0.654457,CIV,030629
914788,44,5140,1999,0.0,1.0,-0.591892,-0.654457,CIV,030710
921314,44,5141,1999,0.0,0.0,-0.591892,-0.654457,CIV,030721
927840,44,5142,1999,0.0,1.0,-0.591892,-0.654457,CIV,030729
934366,44,5143,1999,0.0,1.0,-0.591892,-0.654457,CIV,030731
940892,44,5144,1999,0.0,1.0,-0.591892,-0.654457,CIV,030739
947418,44,5145,1999,1.0,0.0,-0.591892,-0.654457,CIV,030741
