,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1170,45,5000,1995,,,-1.121716,-0.9758020000000001,CMR,010111
7696,45,5001,1995,,,-1.121716,-0.9758020000000001,CMR,010119
14222,45,5002,1995,,,-1.121716,-0.9758020000000001,CMR,010120
20748,45,5003,1995,0.0,30218.0,-1.121716,-0.9758020000000001,CMR,010210
27274,45,5004,1995,25173.0,0.0,-1.121716,-0.9758020000000001,CMR,010290
33800,45,5005,1995,,,-1.121716,-0.9758020000000001,CMR,010310
40326,45,5006,1995,,,-1.121716,-0.9758020000000001,CMR,010391
46852,45,5007,1995,,,-1.121716,-0.9758020000000001,CMR,010392
53378,45,5008,1995,,,-1.121716,-0.9758020000000001,CMR,010410
59904,45,5009,1995,,,-1.121716,-0.9758020000000001,CMR,010420
66430,45,5010,1995,181800.0,353790.0,-1.121716,-0.9758020000000001,CMR,010511
72956,45,5011,1995,0.0,943.0,-1.121716,-0.9758020000000001,CMR,010519
79482,45,5012,1995,,,-1.121716,-0.9758020000000001,CMR,010591
86008,45,5013,1995,10792.0,0.0,-1.121716,-0.9758020000000001,CMR,010599
92534,45,5014,1995,1629346.0,7231.0,-1.121716,-0.9758020000000001,CMR,010600
99060,45,5015,1995,0.0,7940.0,-1.121716,-0.9758020000000001,CMR,020110
105586,45,5016,1995,0.0,4539.0,-1.121716,-0.9758020000000001,CMR,020120
112112,45,5017,1995,0.0,976.0,-1.121716,-0.9758020000000001,CMR,020130
118638,45,5018,1995,,,-1.121716,-0.9758020000000001,CMR,020210
125164,45,5019,1995,0.0,10162.0,-1.121716,-0.9758020000000001,CMR,020220
131690,45,5020,1995,0.0,82599.0,-1.121716,-0.9758020000000001,CMR,020230
138216,45,5021,1995,,,-1.121716,-0.9758020000000001,CMR,020311
144742,45,5022,1995,,,-1.121716,-0.9758020000000001,CMR,020312
151268,45,5023,1995,0.0,4690.0,-1.121716,-0.9758020000000001,CMR,020319
157794,45,5024,1995,,,-1.121716,-0.9758020000000001,CMR,020321
164320,45,5025,1995,0.0,1252.0,-1.121716,-0.9758020000000001,CMR,020322
170846,45,5026,1995,0.0,44602.0,-1.121716,-0.9758020000000001,CMR,020329
177372,45,5027,1995,,,-1.121716,-0.9758020000000001,CMR,020410
183898,45,5028,1995,,,-1.121716,-0.9758020000000001,CMR,020421
190424,45,5029,1995,,,-1.121716,-0.9758020000000001,CMR,020422
196950,45,5030,1995,,,-1.121716,-0.9758020000000001,CMR,020423
203476,45,5031,1995,,,-1.121716,-0.9758020000000001,CMR,020430
210002,45,5032,1995,,,-1.121716,-0.9758020000000001,CMR,020441
