,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1218,46,5000,2017,1.5260945276391169e-09,8.177777896001683e-09,-1.3960569999999999,-1.126784,COD,010111
7744,46,5001,2017,2.0951980865958804e-09,1.3219536725294768e-08,-1.3960569999999999,-1.126784,COD,010119
14270,46,5002,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,010120
20796,46,5003,2017,1.0757814879108152e-09,7.446636693173616e-09,-1.3960569999999999,-1.126784,COD,010210
27322,46,5004,2017,0.0,8.073117982570564e-07,-1.3960569999999999,-1.126784,COD,010290
33848,46,5005,2017,0.0,4.640062030640494e-10,-1.3960569999999999,-1.126784,COD,010310
40374,46,5006,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,010391
46900,46,5007,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,010392
53426,46,5008,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,010410
59952,46,5009,2017,0.0,2.0509074175430986e-09,-1.3960569999999999,-1.126784,COD,010420
66478,46,5010,2017,0.0,3.2470988373921084e-07,-1.3960569999999999,-1.126784,COD,010511
73004,46,5011,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,010519
79530,46,5012,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,010591
86056,46,5013,2017,3.0791593517357162e-09,0.0,-1.3960569999999999,-1.126784,COD,010599
92582,46,5014,2017,1.06655401007789e-07,2.558825179067116e-07,-1.3960569999999999,-1.126784,COD,010600
99108,46,5015,2017,0.0,1.4045467766748777e-08,-1.3960569999999999,-1.126784,COD,020110
105634,46,5016,2017,0.0,4.0034123767363995e-08,-1.3960569999999999,-1.126784,COD,020120
112160,46,5017,2017,0.0,8.32304498086095e-08,-1.3960569999999999,-1.126784,COD,020130
118686,46,5018,2017,0.0,1.9129650020322002e-08,-1.3960569999999999,-1.126784,COD,020210
125212,46,5019,2017,0.0,3.628777082712508e-07,-1.3960569999999999,-1.126784,COD,020220
131738,46,5020,2017,2.3585069696510095e-08,2.1020889589060742e-06,-1.3960569999999999,-1.126784,COD,020230
138264,46,5021,2017,0.0,4.758383612421827e-09,-1.3960569999999999,-1.126784,COD,020311
144790,46,5022,2017,0.0,1.3024322687005679e-08,-1.3960569999999999,-1.126784,COD,020312
151316,46,5023,2017,0.0,5.3446554499932536e-08,-1.3960569999999999,-1.126784,COD,020319
157842,46,5024,2017,0.0,7.867556605953147e-09,-1.3960569999999999,-1.126784,COD,020321
164368,46,5025,2017,0.0,8.69525418530882e-07,-1.3960569999999999,-1.126784,COD,020322
170894,46,5026,2017,0.0,4.031964998441946e-06,-1.3960569999999999,-1.126784,COD,020329
177420,46,5027,2017,0.0,9.352045022755917e-09,-1.3960569999999999,-1.126784,COD,020410
183946,46,5028,2017,0.0,1.5906132641035616e-08,-1.3960569999999999,-1.126784,COD,020421
190472,46,5029,2017,0.0,1.6736040878515886e-08,-1.3960569999999999,-1.126784,COD,020422
196998,46,5030,2017,0.0,1.9217811198904174e-08,-1.3960569999999999,-1.126784,COD,020423
203524,46,5031,2017,0.0,2.3394861325487184e-08,-1.3960569999999999,-1.126784,COD,020430
210050,46,5032,2017,0.0,2.0715225502792298e-08,-1.3960569999999999,-1.126784,COD,020441
216576,46,5033,2017,0.0,2.0537676843519863e-07,-1.3960569999999999,-1.126784,COD,020442
223102,46,5034,2017,0.0,1.135191175796197e-08,-1.3960569999999999,-1.126784,COD,020443
229628,46,5035,2017,1.0233560801900908e-09,1.3823043078980003e-07,-1.3960569999999999,-1.126784,COD,020450
236154,46,5036,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,020500
242680,46,5037,2017,0.0,4.092833000726886e-08,-1.3960569999999999,-1.126784,COD,020610
249206,46,5038,2017,0.0,8.02631301400149e-09,-1.3960569999999999,-1.126784,COD,020621
255732,46,5039,2017,0.0,9.670121274956323e-08,-1.3960569999999999,-1.126784,COD,020622
262258,46,5040,2017,0.0,1.3744586258701915e-06,-1.3960569999999999,-1.126784,COD,020629
268784,46,5041,2017,0.0,3.680298342902727e-08,-1.3960569999999999,-1.126784,COD,020630
275310,46,5042,2017,0.0,0.0,-1.3960569999999999,-1.126784,COD,020641
281836,46,5043,2017,0.0,1.8308024293566425e-06,-1.3960569999999999,-1.126784,COD,020649
