,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1241,47,5000,2014,0.0,1.2975933468686142e-08,-1.371624,-1.12468,COG,010111
7767,47,5001,2014,0.0,1.6524918056121744e-08,-1.371624,-1.12468,COG,010119
14293,47,5002,2014,0.0,2.327985407372774e-09,-1.371624,-1.12468,COG,010120
20819,47,5003,2014,0.0,1.8598833552676775e-06,-1.371624,-1.12468,COG,010210
27345,47,5004,2014,0.0,5.630844533053093e-07,-1.371624,-1.12468,COG,010290
33871,47,5005,2014,0.0,0.0,-1.371624,-1.12468,COG,010310
40397,47,5006,2014,0.0,0.0,-1.371624,-1.12468,COG,010391
46923,47,5007,2014,0.0,0.0,-1.371624,-1.12468,COG,010392
53449,47,5008,2014,0.0,0.0,-1.371624,-1.12468,COG,010410
59975,47,5009,2014,0.0,0.0,-1.371624,-1.12468,COG,010420
66501,47,5010,2014,0.0,7.369015084061045e-08,-1.371624,-1.12468,COG,010511
73027,47,5011,2014,0.0,1.8116127899629245e-09,-1.371624,-1.12468,COG,010519
79553,47,5012,2014,0.0,5.1666759278179716e-08,-1.371624,-1.12468,COG,010591
86079,47,5013,2014,0.0,0.0,-1.371624,-1.12468,COG,010599
92605,47,5014,2014,2.0406302070105e-07,2.926884842327586e-09,-1.371624,-1.12468,COG,010600
99131,47,5015,2014,0.0,7.071056815093486e-08,-1.371624,-1.12468,COG,020110
105657,47,5016,2014,7.305313895511555e-09,3.117458818586035e-09,-1.371624,-1.12468,COG,020120
112183,47,5017,2014,0.0,8.316979756920898e-09,-1.371624,-1.12468,COG,020130
118709,47,5018,2014,0.0,1.4204522464499088e-07,-1.371624,-1.12468,COG,020210
125235,47,5019,2014,8.788074126595391e-11,1.3197562717249663e-07,-1.371624,-1.12468,COG,020220
131761,47,5020,2014,3.5121992802496753e-10,9.313901392833036e-06,-1.371624,-1.12468,COG,020230
138287,47,5021,2014,0.0,7.146689826192927e-09,-1.371624,-1.12468,COG,020311
144813,47,5022,2014,0.0,4.410610963225322e-08,-1.371624,-1.12468,COG,020312
151339,47,5023,2014,4.472826693398206e-10,7.328911690796224e-08,-1.371624,-1.12468,COG,020319
157865,47,5024,2014,1.7576148253190783e-10,1.2073441403726566e-08,-1.371624,-1.12468,COG,020321
164391,47,5025,2014,9.66082079847797e-10,4.138762986170183e-07,-1.371624,-1.12468,COG,020322
170917,47,5026,2014,4.072211728040996e-09,5.243963452464337e-06,-1.371624,-1.12468,COG,020329
177443,47,5027,2014,0.0,1.6707537640327665e-09,-1.371624,-1.12468,COG,020410
183969,47,5028,2014,0.0,0.0,-1.371624,-1.12468,COG,020421
190495,47,5029,2014,0.0,4.201244735742779e-09,-1.371624,-1.12468,COG,020422
197021,47,5030,2014,1.7494328252701792e-09,4.5671467701590006e-10,-1.371624,-1.12468,COG,020423
203547,47,5031,2014,0.0,5.2762476783415246e-08,-1.371624,-1.12468,COG,020430
210073,47,5032,2014,0.0,1.5518024595472756e-08,-1.371624,-1.12468,COG,020441
