,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1288,49,5000,2009,0.2690620466460208,0.9631228452563331,0.263416,0.38947,COL,010111
7814,49,5001,2009,0.024152256088970626,0.9997082917160449,0.263416,0.38947,COL,010119
14340,49,5002,2009,0.0,0.0,0.263416,0.38947,COL,010120
20866,49,5003,2009,0.0,1.0,0.263416,0.38947,COL,010210
27392,49,5004,2009,0.9999989307799396,0.0014623402399557312,0.263416,0.38947,COL,010290
33918,49,5005,2009,0.0,1.0,0.263416,0.38947,COL,010310
40444,49,5006,2009,0.0,0.0,0.263416,0.38947,COL,010391
46970,49,5007,2009,0.0,1.0,0.263416,0.38947,COL,010392
53496,49,5008,2009,0.0,0.0,0.263416,0.38947,COL,010410
60022,49,5009,2009,0.0,0.0,0.263416,0.38947,COL,010420
66548,49,5010,2009,0.8690992330355438,0.49463776962240713,0.263416,0.38947,COL,010511
73074,49,5011,2009,0.0,1.0,0.263416,0.38947,COL,010519
79600,49,5012,2009,1.0,0.0,0.263416,0.38947,COL,010591
86126,49,5013,2009,0.0,0.0,0.263416,0.38947,COL,010599
92652,49,5014,2009,0.9941659704937356,0.10786112882891982,0.263416,0.38947,COL,010600
99178,49,5015,2009,1.0,0.0,0.263416,0.38947,COL,020110
105704,49,5016,2009,0.9948511918435935,0.10134646558899646,0.263416,0.38947,COL,020120
112230,49,5017,2009,0.9999632030068033,0.008578614828441501,0.263416,0.38947,COL,020130
118756,49,5018,2009,0.9999398966037886,0.010963721083850742,0.263416,0.38947,COL,020210
125282,49,5019,2009,0.0,0.0,0.263416,0.38947,COL,020220
131808,49,5020,2009,0.9997397460737305,0.022813156739756427,0.263416,0.38947,COL,020230
138334,49,5021,2009,0.0,0.0,0.263416,0.38947,COL,020311
144860,49,5022,2009,0.0,1.0,0.263416,0.38947,COL,020312
151386,49,5023,2009,0.0,1.0,0.263416,0.38947,COL,020319
157912,49,5024,2009,0.0,1.0,0.263416,0.38947,COL,020321
164438,49,5025,2009,0.0,1.0,0.263416,0.38947,COL,020322
170964,49,5026,2009,0.0009364415150571585,0.9999995615385483,0.263416,0.38947,COL,020329
177490,49,5027,2009,0.0,0.0,0.263416,0.38947,COL,020410
184016,49,5028,2009,0.0,0.0,0.263416,0.38947,COL,020421
190542,49,5029,2009,0.0,0.0,0.263416,0.38947,COL,020422
197068,49,5030,2009,1.0,0.0,0.263416,0.38947,COL,020423
203594,49,5031,2009,0.0,0.0,0.263416,0.38947,COL,020430
210120,49,5032,2009,0.0,0.0,0.263416,0.38947,COL,020441
216646,49,5033,2009,0.0,1.0,0.263416,0.38947,COL,020442
223172,49,5034,2009,0.0,1.0,0.263416,0.38947,COL,020443
229698,49,5035,2009,0.0,0.0,0.263416,0.38947,COL,020450
236224,49,5036,2009,0.0,0.0,0.263416,0.38947,COL,020500
242750,49,5037,2009,0.9497642271132649,0.31296631271742714,0.263416,0.38947,COL,020610
249276,49,5038,2009,0.0,1.0,0.263416,0.38947,COL,020621
255802,49,5039,2009,0.0,1.0,0.263416,0.38947,COL,020622
262328,49,5040,2009,0.42585318391436405,0.9047922776803518,0.263416,0.38947,COL,020629
268854,49,5041,2009,0.007770237624759899,0.999969811247947,0.263416,0.38947,COL,020630
275380,49,5042,2009,0.0,1.0,0.263416,0.38947,COL,020641
281906,49,5043,2009,0.00040844454046172214,0.9999999165865252,0.263416,0.38947,COL,020649
288432,49,5044,2009,1.0,0.0,0.263416,0.38947,COL,020680
294958,49,5045,2009,0.0,1.0,0.263416,0.38947,COL,020690
301484,49,5046,2009,0.0,1.0,0.263416,0.38947,COL,020710
308010,49,5047,2009,0.0,1.0,0.263416,0.38947,COL,020721
314536,49,5048,2009,0.0,1.0,0.263416,0.38947,COL,020722
321062,49,5049,2009,0.0,1.0,0.263416,0.38947,COL,020723
327588,49,5050,2009,0.0,0.0,0.263416,0.38947,COL,020731
334114,49,5051,2009,0.0,1.0,0.263416,0.38947,COL,020739
340640,49,5052,2009,0.09542786790588094,0.9954363475516341,0.263416,0.38947,COL,020741
347166,49,5053,2009,0.0,1.0,0.263416,0.38947,COL,020742
353692,49,5054,2009,0.9854426453614379,0.17000821363408147,0.263416,0.38947,COL,020743
360218,49,5055,2009,0.0,0.0,0.263416,0.38947,COL,020750
366744,49,5056,2009,0.0,0.0,0.263416,0.38947,COL,020810
373270,49,5057,2009,0.0,0.0,0.263416,0.38947,COL,020820
379796,49,5058,2009,0.0,1.0,0.263416,0.38947,COL,020890
386322,49,5059,2009,0.0,1.0,0.263416,0.38947,COL,020900
392848,49,5060,2009,0.0,1.0,0.263416,0.38947,COL,021011
399374,49,5061,2009,0.0,1.0,0.263416,0.38947,COL,021012
405900,49,5062,2009,0.013437384413634314,0.9999097142743039,0.263416,0.38947,COL,021019
412426,49,5063,2009,1.0,0.0,0.263416,0.38947,COL,021020
418952,49,5064,2009,0.010369235031519793,0.9999462380372562,0.263416,0.38947,COL,021090
425478,49,5065,2009,0.9999997454145738,0.000713562041728333,0.263416,0.38947,COL,030110
432004,49,5066,2009,0.0,0.0,0.263416,0.38947,COL,030191
438530,49,5067,2009,0.0,0.0,0.263416,0.38947,COL,030192
445056,49,5068,2009,0.0,0.0,0.263416,0.38947,COL,030193
451582,49,5069,2009,0.48878785997265617,0.8724026753416974,0.263416,0.38947,COL,030199
