,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1320,50,5000,2015,0.0,0.0,-0.551674,-0.867288,COM,010111
7846,50,5001,2015,0.0,0.0,-0.551674,-0.867288,COM,010119
14372,50,5002,2015,0.0,0.0,-0.551674,-0.867288,COM,010120
20898,50,5003,2015,0.0,1.0,-0.551674,-0.867288,COM,010210
27424,50,5004,2015,0.0,1.0,-0.551674,-0.867288,COM,010290
33950,50,5005,2015,0.0,0.0,-0.551674,-0.867288,COM,010310
40476,50,5006,2015,0.0,0.0,-0.551674,-0.867288,COM,010391
47002,50,5007,2015,0.0,0.0,-0.551674,-0.867288,COM,010392
53528,50,5008,2015,0.0,1.0,-0.551674,-0.867288,COM,010410
60054,50,5009,2015,0.0,1.0,-0.551674,-0.867288,COM,010420
66580,50,5010,2015,0.0,1.0,-0.551674,-0.867288,COM,010511
73106,50,5011,2015,0.0,0.0,-0.551674,-0.867288,COM,010519
79632,50,5012,2015,0.0,1.0,-0.551674,-0.867288,COM,010591
86158,50,5013,2015,0.0,1.0,-0.551674,-0.867288,COM,010599
92684,50,5014,2015,0.0,0.0,-0.551674,-0.867288,COM,010600
99210,50,5015,2015,0.0,0.0,-0.551674,-0.867288,COM,020110
105736,50,5016,2015,0.0,1.0,-0.551674,-0.867288,COM,020120
112262,50,5017,2015,0.0,0.0,-0.551674,-0.867288,COM,020130
118788,50,5018,2015,0.0,0.0,-0.551674,-0.867288,COM,020210
125314,50,5019,2015,0.0,1.0,-0.551674,-0.867288,COM,020220
131840,50,5020,2015,0.0,1.0,-0.551674,-0.867288,COM,020230
138366,50,5021,2015,0.0,0.0,-0.551674,-0.867288,COM,020311
144892,50,5022,2015,0.0,0.0,-0.551674,-0.867288,COM,020312
151418,50,5023,2015,0.0,1.0,-0.551674,-0.867288,COM,020319
157944,50,5024,2015,0.0,1.0,-0.551674,-0.867288,COM,020321
164470,50,5025,2015,0.0,0.0,-0.551674,-0.867288,COM,020322
170996,50,5026,2015,0.0,1.0,-0.551674,-0.867288,COM,020329
177522,50,5027,2015,0.0,0.0,-0.551674,-0.867288,COM,020410
184048,50,5028,2015,0.0,1.0,-0.551674,-0.867288,COM,020421
190574,50,5029,2015,0.0,1.0,-0.551674,-0.867288,COM,020422
197100,50,5030,2015,0.0,0.0,-0.551674,-0.867288,COM,020423
203626,50,5031,2015,0.0,0.0,-0.551674,-0.867288,COM,020430
210152,50,5032,2015,0.0,0.0,-0.551674,-0.867288,COM,020441
216678,50,5033,2015,0.0,0.0,-0.551674,-0.867288,COM,020442
223204,50,5034,2015,0.0,0.0,-0.551674,-0.867288,COM,020443
229730,50,5035,2015,0.0,0.0,-0.551674,-0.867288,COM,020450
236256,50,5036,2015,0.0,0.0,-0.551674,-0.867288,COM,020500
242782,50,5037,2015,0.0,1.0,-0.551674,-0.867288,COM,020610
249308,50,5038,2015,0.0,1.0,-0.551674,-0.867288,COM,020621
255834,50,5039,2015,0.0,1.0,-0.551674,-0.867288,COM,020622
262360,50,5040,2015,0.0,1.0,-0.551674,-0.867288,COM,020629
268886,50,5041,2015,0.0,0.0,-0.551674,-0.867288,COM,020630
275412,50,5042,2015,0.0,0.0,-0.551674,-0.867288,COM,020641
281938,50,5043,2015,0.0,0.0,-0.551674,-0.867288,COM,020649
288464,50,5044,2015,0.0,0.0,-0.551674,-0.867288,COM,020680
294990,50,5045,2015,0.0,1.0,-0.551674,-0.867288,COM,020690
301516,50,5046,2015,0.0,0.0,-0.551674,-0.867288,COM,020710
308042,50,5047,2015,0.0,1.0,-0.551674,-0.867288,COM,020721
314568,50,5048,2015,0.0,0.0,-0.551674,-0.867288,COM,020722
321094,50,5049,2015,0.0,0.0,-0.551674,-0.867288,COM,020723
327620,50,5050,2015,0.0,0.0,-0.551674,-0.867288,COM,020731
334146,50,5051,2015,0.0,1.0,-0.551674,-0.867288,COM,020739
340672,50,5052,2015,0.0,1.0,-0.551674,-0.867288,COM,020741
347198,50,5053,2015,0.0,1.0,-0.551674,-0.867288,COM,020742
353724,50,5054,2015,0.0,0.0,-0.551674,-0.867288,COM,020743
360250,50,5055,2015,0.0,0.0,-0.551674,-0.867288,COM,020750
366776,50,5056,2015,0.0,0.0,-0.551674,-0.867288,COM,020810
373302,50,5057,2015,0.0,0.0,-0.551674,-0.867288,COM,020820
379828,50,5058,2015,0.0,0.0,-0.551674,-0.867288,COM,020890
386354,50,5059,2015,0.0,0.0,-0.551674,-0.867288,COM,020900
392880,50,5060,2015,0.0,0.0,-0.551674,-0.867288,COM,021011
399406,50,5061,2015,0.0,0.0,-0.551674,-0.867288,COM,021012
405932,50,5062,2015,0.0,0.0,-0.551674,-0.867288,COM,021019
412458,50,5063,2015,0.0,1.0,-0.551674,-0.867288,COM,021020
418984,50,5064,2015,0.0,0.0,-0.551674,-0.867288,COM,021090
425510,50,5065,2015,0.0,1.0,-0.551674,-0.867288,COM,030110
432036,50,5066,2015,0.0,0.0,-0.551674,-0.867288,COM,030191
438562,50,5067,2015,0.0,0.0,-0.551674,-0.867288,COM,030192
445088,50,5068,2015,0.0,0.0,-0.551674,-0.867288,COM,030193
451614,50,5069,2015,0.0,0.0,-0.551674,-0.867288,COM,030199
