,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1406,54,5000,1997,12855.0,0.0,-0.403192,-1.041751,CUB,010111
7932,54,5001,1997,11248.0,48052.0,-0.403192,-1.041751,CUB,010119
14458,54,5002,1997,,,-0.403192,-1.041751,CUB,010120
20984,54,5003,1997,14941.0,0.0,-0.403192,-1.041751,CUB,010210
27510,54,5004,1997,,,-0.403192,-1.041751,CUB,010290
34036,54,5005,1997,,,-0.403192,-1.041751,CUB,010310
40562,54,5006,1997,,,-0.403192,-1.041751,CUB,010391
47088,54,5007,1997,,,-0.403192,-1.041751,CUB,010392
53614,54,5008,1997,,,-0.403192,-1.041751,CUB,010410
60140,54,5009,1997,,,-0.403192,-1.041751,CUB,010420
66666,54,5010,1997,0.0,10985.0,-0.403192,-1.041751,CUB,010511
73192,54,5011,1997,,,-0.403192,-1.041751,CUB,010519
79718,54,5012,1997,10080.0,0.0,-0.403192,-1.041751,CUB,010591
86244,54,5013,1997,,,-0.403192,-1.041751,CUB,010599
92770,54,5014,1997,974691.0,71138.0,-0.403192,-1.041751,CUB,010600
99296,54,5015,1997,,,-0.403192,-1.041751,CUB,020110
105822,54,5016,1997,,,-0.403192,-1.041751,CUB,020120
112348,54,5017,1997,0.0,75513.0,-0.403192,-1.041751,CUB,020130
118874,54,5018,1997,,,-0.403192,-1.041751,CUB,020210
125400,54,5019,1997,0.0,8739.0,-0.403192,-1.041751,CUB,020220
131926,54,5020,1997,0.0,1376937.0,-0.403192,-1.041751,CUB,020230
138452,54,5021,1997,,,-0.403192,-1.041751,CUB,020311
144978,54,5022,1997,0.0,548381.0,-0.403192,-1.041751,CUB,020312
151504,54,5023,1997,0.0,28991.0,-0.403192,-1.041751,CUB,020319
158030,54,5024,1997,,,-0.403192,-1.041751,CUB,020321
164556,54,5025,1997,0.0,2321333.0,-0.403192,-1.041751,CUB,020322
171082,54,5026,1997,0.0,2576533.0,-0.403192,-1.041751,CUB,020329
177608,54,5027,1997,,,-0.403192,-1.041751,CUB,020410
184134,54,5028,1997,,,-0.403192,-1.041751,CUB,020421
190660,54,5029,1997,,,-0.403192,-1.041751,CUB,020422
197186,54,5030,1997,,,-0.403192,-1.041751,CUB,020423
203712,54,5031,1997,,,-0.403192,-1.041751,CUB,020430
210238,54,5032,1997,,,-0.403192,-1.041751,CUB,020441
216764,54,5033,1997,0.0,140619.0,-0.403192,-1.041751,CUB,020442
223290,54,5034,1997,0.0,23409.0,-0.403192,-1.041751,CUB,020443
229816,54,5035,1997,,,-0.403192,-1.041751,CUB,020450
236342,54,5036,1997,,,-0.403192,-1.041751,CUB,020500
242868,54,5037,1997,,,-0.403192,-1.041751,CUB,020610
249394,54,5038,1997,,,-0.403192,-1.041751,CUB,020621
255920,54,5039,1997,0.0,112759.0,-0.403192,-1.041751,CUB,020622
