,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1457,56,5000,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010111
7983,56,5001,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010119
14509,56,5002,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010120
21035,56,5003,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010210
27561,56,5004,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010290
34087,56,5005,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010310
40613,56,5006,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010391
47139,56,5007,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010392
53665,56,5008,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010410
60191,56,5009,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010420
66717,56,5010,1996,0.0,8.882404458654661e-10,0.8724709999999999,-0.499449,CXR,010511
73243,56,5011,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010519
79769,56,5012,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010591
86295,56,5013,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010599
92821,56,5014,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,010600
99347,56,5015,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020110
105873,56,5016,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020120
112399,56,5017,1996,0.0,8.658024316172974e-09,0.8724709999999999,-0.499449,CXR,020130
118925,56,5018,1996,0.0,5.994960143587519e-09,0.8724709999999999,-0.499449,CXR,020210
125451,56,5019,1996,0.0,3.7110553255058296e-09,0.8724709999999999,-0.499449,CXR,020220
131977,56,5020,1996,0.0,6.954392398323098e-08,0.8724709999999999,-0.499449,CXR,020230
138503,56,5021,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020311
145029,56,5022,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020312
151555,56,5023,1996,0.0,8.431655575678156e-10,0.8724709999999999,-0.499449,CXR,020319
158081,56,5024,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020321
164607,56,5025,1996,0.0,2.3001781784891496e-08,0.8724709999999999,-0.499449,CXR,020322
171133,56,5026,1996,0.0,3.799249647388218e-08,0.8724709999999999,-0.499449,CXR,020329
177659,56,5027,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020410
184185,56,5028,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020421
190711,56,5029,1996,0.0,1.3631839380017395e-09,0.8724709999999999,-0.499449,CXR,020422
197237,56,5030,1996,0.0,1.3502580509163838e-08,0.8724709999999999,-0.499449,CXR,020423
203763,56,5031,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020430
210289,56,5032,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020441
216815,56,5033,1996,0.0,6.494761110887937e-09,0.8724709999999999,-0.499449,CXR,020442
223341,56,5034,1996,0.0,1.2190768686501333e-08,0.8724709999999999,-0.499449,CXR,020443
229867,56,5035,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020450
236393,56,5036,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020500
242919,56,5037,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020610
249445,56,5038,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020621
255971,56,5039,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020622
262497,56,5040,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020629
269023,56,5041,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020630
275549,56,5042,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020641
282075,56,5043,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020649
288601,56,5044,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020680
295127,56,5045,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020690
301653,56,5046,1996,0.0,1.858112840169986e-08,0.8724709999999999,-0.499449,CXR,020710
308179,56,5047,1996,0.0,1.3433973877710798e-08,0.8724709999999999,-0.499449,CXR,020721
314705,56,5048,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020722
321231,56,5049,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020723
327757,56,5050,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020731
334283,56,5051,1996,0.0,1.9981764268948913e-08,0.8724709999999999,-0.499449,CXR,020739
340809,56,5052,1996,0.0,8.849327445036237e-08,0.8724709999999999,-0.499449,CXR,020741
347335,56,5053,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020742
353861,56,5054,1996,0.0,4.04878555473602e-09,0.8724709999999999,-0.499449,CXR,020743
360387,56,5055,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020750
366913,56,5056,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020810
373439,56,5057,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020820
379965,56,5058,1996,0.0,6.383399622152566e-10,0.8724709999999999,-0.499449,CXR,020890
386491,56,5059,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,020900
393017,56,5060,1996,0.0,5.312871025083366e-10,0.8724709999999999,-0.499449,CXR,021011
399543,56,5061,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,021012
406069,56,5062,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,021019
412595,56,5063,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,021020
419121,56,5064,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,021090
425647,56,5065,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030110
432173,56,5066,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030191
438699,56,5067,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030192
445225,56,5068,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030193
451751,56,5069,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030199
458277,56,5070,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030211
464803,56,5071,1996,4.694043731757332e-10,0.0,0.8724709999999999,-0.499449,CXR,030212
471329,56,5072,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030219
477855,56,5073,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030221
484381,56,5074,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030222
490907,56,5075,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030223
497433,56,5076,1996,0.0,0.0,0.8724709999999999,-0.499449,CXR,030229
