,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1507,57,5000,2020,0.0,0.0,-0.007386,-0.878251,CYM,010111
8033,57,5001,2020,0.0,0.0,-0.007386,-0.878251,CYM,010119
14559,57,5002,2020,0.0,0.0,-0.007386,-0.878251,CYM,010120
21085,57,5003,2020,0.0,0.0,-0.007386,-0.878251,CYM,010210
27611,57,5004,2020,0.0,0.0,-0.007386,-0.878251,CYM,010290
34137,57,5005,2020,0.0,0.0,-0.007386,-0.878251,CYM,010310
40663,57,5006,2020,0.0,0.0,-0.007386,-0.878251,CYM,010391
47189,57,5007,2020,0.0,0.0,-0.007386,-0.878251,CYM,010392
53715,57,5008,2020,0.0,0.0,-0.007386,-0.878251,CYM,010410
60241,57,5009,2020,0.0,0.0,-0.007386,-0.878251,CYM,010420
66767,57,5010,2020,0.0,8.38525495537175e-10,-0.007386,-0.878251,CYM,010511
73293,57,5011,2020,0.0,0.0,-0.007386,-0.878251,CYM,010519
79819,57,5012,2020,0.0,0.0,-0.007386,-0.878251,CYM,010591
86345,57,5013,2020,0.0,0.0,-0.007386,-0.878251,CYM,010599
92871,57,5014,2020,1.798221788524726e-09,0.0,-0.007386,-0.878251,CYM,010600
99397,57,5015,2020,0.0,1.3922095146014088e-06,-0.007386,-0.878251,CYM,020110
105923,57,5016,2020,0.0,1.2497244783625138e-07,-0.007386,-0.878251,CYM,020120
112449,57,5017,2020,0.0,5.095311773786721e-07,-0.007386,-0.878251,CYM,020130
118975,57,5018,2020,0.0,0.0,-0.007386,-0.878251,CYM,020210
125501,57,5019,2020,0.0,6.361269840596433e-07,-0.007386,-0.878251,CYM,020220
132027,57,5020,2020,0.0,3.282359994494954e-07,-0.007386,-0.878251,CYM,020230
138553,57,5021,2020,0.0,2.338922696444998e-09,-0.007386,-0.878251,CYM,020311
145079,57,5022,2020,0.0,8.587627946508114e-08,-0.007386,-0.878251,CYM,020312
151605,57,5023,2020,0.0,1.550165180516464e-07,-0.007386,-0.878251,CYM,020319
158131,57,5024,2020,0.0,1.2243135100847132e-09,-0.007386,-0.878251,CYM,020321
164657,57,5025,2020,0.0,3.899110410947645e-08,-0.007386,-0.878251,CYM,020322
171183,57,5026,2020,0.0,1.0877929421532043e-07,-0.007386,-0.878251,CYM,020329
177709,57,5027,2020,0.0,4.047128389725077e-09,-0.007386,-0.878251,CYM,020410
184235,57,5028,2020,0.0,0.0,-0.007386,-0.878251,CYM,020421
190761,57,5029,2020,0.0,1.5779525234199567e-09,-0.007386,-0.878251,CYM,020422
197287,57,5030,2020,0.0,1.8149271199848105e-09,-0.007386,-0.878251,CYM,020423
203813,57,5031,2020,0.0,8.521142486269079e-10,-0.007386,-0.878251,CYM,020430
210339,57,5032,2020,0.0,2.519295164896081e-07,-0.007386,-0.878251,CYM,020441
216865,57,5033,2020,0.0,1.9952598164756313e-08,-0.007386,-0.878251,CYM,020442
223391,57,5034,2020,0.0,1.1609766633664705e-08,-0.007386,-0.878251,CYM,020443
229917,57,5035,2020,0.0,2.7477121613444253e-08,-0.007386,-0.878251,CYM,020450
236443,57,5036,2020,0.0,0.0,-0.007386,-0.878251,CYM,020500
242969,57,5037,2020,0.0,3.4838911458057584e-08,-0.007386,-0.878251,CYM,020610
249495,57,5038,2020,0.0,0.0,-0.007386,-0.878251,CYM,020621
256021,57,5039,2020,0.0,0.0,-0.007386,-0.878251,CYM,020622
262547,57,5040,2020,0.0,5.029048373659152e-07,-0.007386,-0.878251,CYM,020629
