,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1558,59,5000,2019,2746777.0,4384532.0,1.797611,0.406708,CZE,010111
8084,59,5001,2019,1068032.0,450980.0,1.797611,0.406708,CZE,010119
14610,59,5002,2019,,,1.797611,0.406708,CZE,010120
21136,59,5003,2019,31363331.0,3557414.0,1.797611,0.406708,CZE,010210
27662,59,5004,2019,187266544.0,5141210.0,1.797611,0.406708,CZE,010290
34188,59,5005,2019,3285939.0,1251292.0,1.797611,0.406708,CZE,010310
40714,59,5006,2019,14089218.0,7167860.0,1.797611,0.406708,CZE,010391
47240,59,5007,2019,49163233.0,796117.0,1.797611,0.406708,CZE,010392
53766,59,5008,2019,1534038.0,55771.0,1.797611,0.406708,CZE,010410
60292,59,5009,2019,1099.0,0.0,1.797611,0.406708,CZE,010420
66818,59,5010,2019,35547846.0,14266701.0,1.797611,0.406708,CZE,010511
73344,59,5011,2019,6383540.0,3444340.0,1.797611,0.406708,CZE,010519
79870,59,5012,2019,17628848.0,5227929.0,1.797611,0.406708,CZE,010591
86396,59,5013,2019,18972287.0,926767.0,1.797611,0.406708,CZE,010599
92922,59,5014,2019,12553332.0,6260937.0,1.797611,0.406708,CZE,010600
99448,59,5015,2019,4249609.0,5345747.0,1.797611,0.406708,CZE,020110
105974,59,5016,2019,16059822.0,24030380.0,1.797611,0.406708,CZE,020120
112500,59,5017,2019,35470673.0,128587858.0,1.797611,0.406708,CZE,020130
119026,59,5018,2019,26225.0,403907.0,1.797611,0.406708,CZE,020210
125552,59,5019,2019,121875.0,1461737.0,1.797611,0.406708,CZE,020220
132078,59,5020,2019,6790169.0,10687151.0,1.797611,0.406708,CZE,020230
138604,59,5021,2019,20965790.0,66197897.0,1.797611,0.406708,CZE,020311
145130,59,5022,2019,2237045.0,126279126.0,1.797611,0.406708,CZE,020312
151656,59,5023,2019,41013957.0,461345053.0,1.797611,0.406708,CZE,020319
158182,59,5024,2019,1173058.0,710010.0,1.797611,0.406708,CZE,020321
164708,59,5025,2019,738041.0,5415685.0,1.797611,0.406708,CZE,020322
171234,59,5026,2019,6421992.0,64079634.0,1.797611,0.406708,CZE,020329
177760,59,5027,2019,35271.0,625105.0,1.797611,0.406708,CZE,020410
184286,59,5028,2019,0.0,48813.0,1.797611,0.406708,CZE,020421
190812,59,5029,2019,14032.0,760872.0,1.797611,0.406708,CZE,020422
197338,59,5030,2019,284057.0,658535.0,1.797611,0.406708,CZE,020423
203864,59,5031,2019,32757.0,197269.0,1.797611,0.406708,CZE,020430
210390,59,5032,2019,0.0,99809.0,1.797611,0.406708,CZE,020441
216916,59,5033,2019,62711.0,1216995.0,1.797611,0.406708,CZE,020442
