,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1575,60,5000,2010,,,,,DDR,010111
8101,60,5001,2010,,,,,DDR,010119
14627,60,5002,2010,,,,,DDR,010120
21153,60,5003,2010,,,,,DDR,010210
27679,60,5004,2010,,,,,DDR,010290
34205,60,5005,2010,,,,,DDR,010310
40731,60,5006,2010,,,,,DDR,010391
47257,60,5007,2010,,,,,DDR,010392
53783,60,5008,2010,,,,,DDR,010410
60309,60,5009,2010,,,,,DDR,010420
66835,60,5010,2010,,,,,DDR,010511
73361,60,5011,2010,,,,,DDR,010519
79887,60,5012,2010,,,,,DDR,010591
86413,60,5013,2010,,,,,DDR,010599
92939,60,5014,2010,,,,,DDR,010600
99465,60,5015,2010,,,,,DDR,020110
105991,60,5016,2010,,,,,DDR,020120
112517,60,5017,2010,,,,,DDR,020130
119043,60,5018,2010,,,,,DDR,020210
125569,60,5019,2010,,,,,DDR,020220
132095,60,5020,2010,,,,,DDR,020230
138621,60,5021,2010,,,,,DDR,020311
145147,60,5022,2010,,,,,DDR,020312
151673,60,5023,2010,,,,,DDR,020319
158199,60,5024,2010,,,,,DDR,020321
164725,60,5025,2010,,,,,DDR,020322
171251,60,5026,2010,,,,,DDR,020329
177777,60,5027,2010,,,,,DDR,020410
184303,60,5028,2010,,,,,DDR,020421
190829,60,5029,2010,,,,,DDR,020422
197355,60,5030,2010,,,,,DDR,020423
203881,60,5031,2010,,,,,DDR,020430
210407,60,5032,2010,,,,,DDR,020441
216933,60,5033,2010,,,,,DDR,020442
223459,60,5034,2010,,,,,DDR,020443
229985,60,5035,2010,,,,,DDR,020450
236511,60,5036,2010,,,,,DDR,020500
243037,60,5037,2010,,,,,DDR,020610
249563,60,5038,2010,,,,,DDR,020621
256089,60,5039,2010,,,,,DDR,020622
262615,60,5040,2010,,,,,DDR,020629
269141,60,5041,2010,,,,,DDR,020630
275667,60,5042,2010,,,,,DDR,020641
282193,60,5043,2010,,,,,DDR,020649
288719,60,5044,2010,,,,,DDR,020680
295245,60,5045,2010,,,,,DDR,020690
301771,60,5046,2010,,,,,DDR,020710
308297,60,5047,2010,,,,,DDR,020721
314823,60,5048,2010,,,,,DDR,020722
321349,60,5049,2010,,,,,DDR,020723
327875,60,5050,2010,,,,,DDR,020731
334401,60,5051,2010,,,,,DDR,020739
340927,60,5052,2010,,,,,DDR,020741
347453,60,5053,2010,,,,,DDR,020742
353979,60,5054,2010,,,,,DDR,020743
360505,60,5055,2010,,,,,DDR,020750
367031,60,5056,2010,,,,,DDR,020810
373557,60,5057,2010,,,,,DDR,020820
380083,60,5058,2010,,,,,DDR,020890
386609,60,5059,2010,,,,,DDR,020900
393135,60,5060,2010,,,,,DDR,021011
399661,60,5061,2010,,,,,DDR,021012
406187,60,5062,2010,,,,,DDR,021019
412713,60,5063,2010,,,,,DDR,021020
419239,60,5064,2010,,,,,DDR,021090
425765,60,5065,2010,,,,,DDR,030110
432291,60,5066,2010,,,,,DDR,030191
438817,60,5067,2010,,,,,DDR,030192
445343,60,5068,2010,,,,,DDR,030193
451869,60,5069,2010,,,,,DDR,030199
458395,60,5070,2010,,,,,DDR,030211
464921,60,5071,2010,,,,,DDR,030212
471447,60,5072,2010,,,,,DDR,030219
477973,60,5073,2010,,,,,DDR,030221
484499,60,5074,2010,,,,,DDR,030222
491025,60,5075,2010,,,,,DDR,030223
497551,60,5076,2010,,,,,DDR,030229
504077,60,5077,2010,,,,,DDR,030231
510603,60,5078,2010,,,,,DDR,030232
517129,60,5079,2010,,,,,DDR,030233
523655,60,5080,2010,,,,,DDR,030239
530181,60,5081,2010,,,,,DDR,030240
536707,60,5082,2010,,,,,DDR,030250
543233,60,5083,2010,,,,,DDR,030261
549759,60,5084,2010,,,,,DDR,030262
556285,60,5085,2010,,,,,DDR,030263
562811,60,5086,2010,,,,,DDR,030264
569337,60,5087,2010,,,,,DDR,030265
575863,60,5088,2010,,,,,DDR,030266
582389,60,5089,2010,,,,,DDR,030269
588915,60,5090,2010,,,,,DDR,030270
595441,60,5091,2010,,,,,DDR,030310
601967,60,5092,2010,,,,,DDR,030321
608493,60,5093,2010,,,,,DDR,030322
615019,60,5094,2010,,,,,DDR,030329
621545,60,5095,2010,,,,,DDR,030331
628071,60,5096,2010,,,,,DDR,030332
634597,60,5097,2010,,,,,DDR,030333
641123,60,5098,2010,,,,,DDR,030339
647649,60,5099,2010,,,,,DDR,030341
654175,60,5100,2010,,,,,DDR,030342
660701,60,5101,2010,,,,,DDR,030343
667227,60,5102,2010,,,,,DDR,030349
673753,60,5103,2010,,,,,DDR,030350
680279,60,5104,2010,,,,,DDR,030360
686805,60,5105,2010,,,,,DDR,030371
693331,60,5106,2010,,,,,DDR,030372
699857,60,5107,2010,,,,,DDR,030373
706383,60,5108,2010,,,,,DDR,030374
712909,60,5109,2010,,,,,DDR,030375
719435,60,5110,2010,,,,,DDR,030376
725961,60,5111,2010,,,,,DDR,030377
732487,60,5112,2010,,,,,DDR,030378
739013,60,5113,2010,,,,,DDR,030379
745539,60,5114,2010,,,,,DDR,030380
752065,60,5115,2010,,,,,DDR,030410
758591,60,5116,2010,,,,,DDR,030420
765117,60,5117,2010,,,,,DDR,030490
771643,60,5118,2010,,,,,DDR,030510
778169,60,5119,2010,,,,,DDR,030520
784695,60,5120,2010,,,,,DDR,030530
791221,60,5121,2010,,,,,DDR,030541
797747,60,5122,2010,,,,,DDR,030542
804273,60,5123,2010,,,,,DDR,030549
810799,60,5124,2010,,,,,DDR,030551
817325,60,5125,2010,,,,,DDR,030559
