,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1705,65,5000,2010,0.024850640380609825,0.9996911751499428,-0.245241,0.368626,DOM,010111
8231,65,5001,2010,0.16496304699922018,0.9862997481114618,-0.245241,0.368626,DOM,010119
14757,65,5002,2010,0.0,0.0,-0.245241,0.368626,DOM,010120
21283,65,5003,2010,0.9537263608616298,0.30067595280905385,-0.245241,0.368626,DOM,010210
27809,65,5004,2010,0.3532126290677817,0.9355430715189044,-0.245241,0.368626,DOM,010290
34335,65,5005,2010,0.0,1.0,-0.245241,0.368626,DOM,010310
40861,65,5006,2010,1.0,0.0,-0.245241,0.368626,DOM,010391
47387,65,5007,2010,0.0,0.0,-0.245241,0.368626,DOM,010392
53913,65,5008,2010,0.0,0.0,-0.245241,0.368626,DOM,010410
60439,65,5009,2010,0.0,0.0,-0.245241,0.368626,DOM,010420
66965,65,5010,2010,0.016435517639365113,0.9998649277577077,-0.245241,0.368626,DOM,010511
73491,65,5011,2010,0.999952887670942,0.009706824328509195,-0.245241,0.368626,DOM,010519
80017,65,5012,2010,0.007739952070650295,0.9999700461223545,-0.245241,0.368626,DOM,010591
86543,65,5013,2010,0.0,1.0,-0.245241,0.368626,DOM,010599
93069,65,5014,2010,0.18909189066057322,0.9819593967605839,-0.245241,0.368626,DOM,010600
99595,65,5015,2010,0.0,1.0,-0.245241,0.368626,DOM,020110
106121,65,5016,2010,0.0,1.0,-0.245241,0.368626,DOM,020120
112647,65,5017,2010,0.0,1.0,-0.245241,0.368626,DOM,020130
119173,65,5018,2010,0.0,1.0,-0.245241,0.368626,DOM,020210
125699,65,5019,2010,0.0,1.0,-0.245241,0.368626,DOM,020220
132225,65,5020,2010,0.0,1.0,-0.245241,0.368626,DOM,020230
138751,65,5021,2010,0.0,1.0,-0.245241,0.368626,DOM,020311
145277,65,5022,2010,0.0,1.0,-0.245241,0.368626,DOM,020312
151803,65,5023,2010,0.023989659826499227,0.9997122066982121,-0.245241,0.368626,DOM,020319
158329,65,5024,2010,0.0,1.0,-0.245241,0.368626,DOM,020321
164855,65,5025,2010,0.0,1.0,-0.245241,0.368626,DOM,020322
171381,65,5026,2010,0.0,1.0,-0.245241,0.368626,DOM,020329
177907,65,5027,2010,0.0,1.0,-0.245241,0.368626,DOM,020410
184433,65,5028,2010,0.0,1.0,-0.245241,0.368626,DOM,020421
190959,65,5029,2010,0.0,1.0,-0.245241,0.368626,DOM,020422
197485,65,5030,2010,0.0,1.0,-0.245241,0.368626,DOM,020423
204011,65,5031,2010,0.0,1.0,-0.245241,0.368626,DOM,020430
210537,65,5032,2010,0.0,1.0,-0.245241,0.368626,DOM,020441
217063,65,5033,2010,0.0,1.0,-0.245241,0.368626,DOM,020442
223589,65,5034,2010,0.0,1.0,-0.245241,0.368626,DOM,020443
230115,65,5035,2010,0.0,1.0,-0.245241,0.368626,DOM,020450
236641,65,5036,2010,0.0,0.0,-0.245241,0.368626,DOM,020500
243167,65,5037,2010,0.0,1.0,-0.245241,0.368626,DOM,020610
249693,65,5038,2010,0.0,0.0,-0.245241,0.368626,DOM,020621
256219,65,5039,2010,0.0,1.0,-0.245241,0.368626,DOM,020622
262745,65,5040,2010,0.0,1.0,-0.245241,0.368626,DOM,020629
269271,65,5041,2010,0.0,1.0,-0.245241,0.368626,DOM,020630
275797,65,5042,2010,0.0,0.0,-0.245241,0.368626,DOM,020641
282323,65,5043,2010,0.0,1.0,-0.245241,0.368626,DOM,020649
288849,65,5044,2010,0.0,0.0,-0.245241,0.368626,DOM,020680
295375,65,5045,2010,0.0,1.0,-0.245241,0.368626,DOM,020690
301901,65,5046,2010,0.0,1.0,-0.245241,0.368626,DOM,020710
308427,65,5047,2010,0.5087127836403967,0.8609362948330376,-0.245241,0.368626,DOM,020721
314953,65,5048,2010,0.0,1.0,-0.245241,0.368626,DOM,020722
321479,65,5049,2010,0.0,1.0,-0.245241,0.368626,DOM,020723
328005,65,5050,2010,0.0,1.0,-0.245241,0.368626,DOM,020731
334531,65,5051,2010,0.3689333933306435,0.9294558361135491,-0.245241,0.368626,DOM,020739
341057,65,5052,2010,0.5717875000565471,0.8204017642466916,-0.245241,0.368626,DOM,020741
347583,65,5053,2010,0.0,1.0,-0.245241,0.368626,DOM,020742
354109,65,5054,2010,0.0,1.0,-0.245241,0.368626,DOM,020743
360635,65,5055,2010,0.0,0.0,-0.245241,0.368626,DOM,020750
367161,65,5056,2010,0.0,0.0,-0.245241,0.368626,DOM,020810
373687,65,5057,2010,0.0,0.0,-0.245241,0.368626,DOM,020820
380213,65,5058,2010,0.0,1.0,-0.245241,0.368626,DOM,020890
386739,65,5059,2010,0.0,1.0,-0.245241,0.368626,DOM,020900
393265,65,5060,2010,0.0,1.0,-0.245241,0.368626,DOM,021011
399791,65,5061,2010,0.0,1.0,-0.245241,0.368626,DOM,021012
406317,65,5062,2010,0.0,1.0,-0.245241,0.368626,DOM,021019
412843,65,5063,2010,0.0,0.0,-0.245241,0.368626,DOM,021020
419369,65,5064,2010,0.0,1.0,-0.245241,0.368626,DOM,021090
425895,65,5065,2010,0.8652652421394178,0.501314333273461,-0.245241,0.368626,DOM,030110
432421,65,5066,2010,0.0,1.0,-0.245241,0.368626,DOM,030191
438947,65,5067,2010,0.0,0.0,-0.245241,0.368626,DOM,030192
445473,65,5068,2010,0.0,1.0,-0.245241,0.368626,DOM,030193
451999,65,5069,2010,0.0,0.0,-0.245241,0.368626,DOM,030199
458525,65,5070,2010,0.0,0.0,-0.245241,0.368626,DOM,030211
465051,65,5071,2010,0.0,1.0,-0.245241,0.368626,DOM,030212
471577,65,5072,2010,0.0,1.0,-0.245241,0.368626,DOM,030219
478103,65,5073,2010,0.0,1.0,-0.245241,0.368626,DOM,030221
484629,65,5074,2010,0.0,0.0,-0.245241,0.368626,DOM,030222
491155,65,5075,2010,0.0,0.0,-0.245241,0.368626,DOM,030223
497681,65,5076,2010,0.0,1.0,-0.245241,0.368626,DOM,030229
504207,65,5077,2010,0.0,1.0,-0.245241,0.368626,DOM,030231
510733,65,5078,2010,1.0,0.0,-0.245241,0.368626,DOM,030232
517259,65,5079,2010,0.0,0.0,-0.245241,0.368626,DOM,030233
523785,65,5080,2010,0.20355502430052275,0.9790635076857954,-0.245241,0.368626,DOM,030239
530311,65,5081,2010,0.0,1.0,-0.245241,0.368626,DOM,030240
536837,65,5082,2010,0.0,1.0,-0.245241,0.368626,DOM,030250
543363,65,5083,2010,0.0,0.0,-0.245241,0.368626,DOM,030261
549889,65,5084,2010,0.0,0.0,-0.245241,0.368626,DOM,030262
556415,65,5085,2010,0.0,0.0,-0.245241,0.368626,DOM,030263
562941,65,5086,2010,0.0,1.0,-0.245241,0.368626,DOM,030264
569467,65,5087,2010,0.0,0.0,-0.245241,0.368626,DOM,030265
575993,65,5088,2010,0.0,0.0,-0.245241,0.368626,DOM,030266
582519,65,5089,2010,0.5507567679652656,0.8346657909249994,-0.245241,0.368626,DOM,030269
589045,65,5090,2010,0.0,1.0,-0.245241,0.368626,DOM,030270
595571,65,5091,2010,0.0,1.0,-0.245241,0.368626,DOM,030310
602097,65,5092,2010,0.0,1.0,-0.245241,0.368626,DOM,030321
608623,65,5093,2010,0.0,1.0,-0.245241,0.368626,DOM,030322
615149,65,5094,2010,0.0,1.0,-0.245241,0.368626,DOM,030329
621675,65,5095,2010,0.0,1.0,-0.245241,0.368626,DOM,030331
628201,65,5096,2010,0.0,1.0,-0.245241,0.368626,DOM,030332
634727,65,5097,2010,0.0,1.0,-0.245241,0.368626,DOM,030333
641253,65,5098,2010,0.0,1.0,-0.245241,0.368626,DOM,030339
647779,65,5099,2010,0.0,1.0,-0.245241,0.368626,DOM,030341
654305,65,5100,2010,0.15074650649439814,0.9885724509512362,-0.245241,0.368626,DOM,030342
660831,65,5101,2010,0.0,0.0,-0.245241,0.368626,DOM,030343
667357,65,5102,2010,0.13637747444523196,0.9906569459020312,-0.245241,0.368626,DOM,030349
673883,65,5103,2010,0.0,1.0,-0.245241,0.368626,DOM,030350
680409,65,5104,2010,0.215746250572237,0.9764494638044621,-0.245241,0.368626,DOM,030360
686935,65,5105,2010,0.0,1.0,-0.245241,0.368626,DOM,030371
693461,65,5106,2010,0.0,0.0,-0.245241,0.368626,DOM,030372
699987,65,5107,2010,0.0,1.0,-0.245241,0.368626,DOM,030373
706513,65,5108,2010,0.0,1.0,-0.245241,0.368626,DOM,030374
713039,65,5109,2010,0.9776143114390645,0.21040498584758782,-0.245241,0.368626,DOM,030375
719565,65,5110,2010,0.0,1.0,-0.245241,0.368626,DOM,030376
726091,65,5111,2010,0.0,1.0,-0.245241,0.368626,DOM,030377
