,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1737,66,5000,2016,120518.0,233377.0,-1.0202930000000001,-1.236642,DZA,010111
8263,66,5001,2016,126451.0,834961.0,-1.0202930000000001,-1.236642,DZA,010119
14789,66,5002,2016,,,-1.0202930000000001,-1.236642,DZA,010120
21315,66,5003,2016,0.0,31215396.0,-1.0202930000000001,-1.236642,DZA,010210
27841,66,5004,2016,0.0,53502257.0,-1.0202930000000001,-1.236642,DZA,010290
34367,66,5005,2016,,,-1.0202930000000001,-1.236642,DZA,010310
40893,66,5006,2016,,,-1.0202930000000001,-1.236642,DZA,010391
47419,66,5007,2016,,,-1.0202930000000001,-1.236642,DZA,010392
53945,66,5008,2016,,,-1.0202930000000001,-1.236642,DZA,010410
60471,66,5009,2016,,,-1.0202930000000001,-1.236642,DZA,010420
66997,66,5010,2016,0.0,21842568.0,-1.0202930000000001,-1.236642,DZA,010511
73523,66,5011,2016,0.0,2939391.0,-1.0202930000000001,-1.236642,DZA,010519
80049,66,5012,2016,,,-1.0202930000000001,-1.236642,DZA,010591
86575,66,5013,2016,,,-1.0202930000000001,-1.236642,DZA,010599
93101,66,5014,2016,0.0,76010.0,-1.0202930000000001,-1.236642,DZA,010600
99627,66,5015,2016,0.0,10280758.0,-1.0202930000000001,-1.236642,DZA,020110
106153,66,5016,2016,0.0,27232371.0,-1.0202930000000001,-1.236642,DZA,020120
112679,66,5017,2016,34888.0,76403731.0,-1.0202930000000001,-1.236642,DZA,020130
119205,66,5018,2016,0.0,1382630.0,-1.0202930000000001,-1.236642,DZA,020210
125731,66,5019,2016,0.0,538916.0,-1.0202930000000001,-1.236642,DZA,020220
132257,66,5020,2016,0.0,102876814.0,-1.0202930000000001,-1.236642,DZA,020230
138783,66,5021,2016,,,-1.0202930000000001,-1.236642,DZA,020311
145309,66,5022,2016,,,-1.0202930000000001,-1.236642,DZA,020312
151835,66,5023,2016,,,-1.0202930000000001,-1.236642,DZA,020319
158361,66,5024,2016,,,-1.0202930000000001,-1.236642,DZA,020321
164887,66,5025,2016,,,-1.0202930000000001,-1.236642,DZA,020322
171413,66,5026,2016,0.0,65035.0,-1.0202930000000001,-1.236642,DZA,020329
177939,66,5027,2016,0.0,9357572.0,-1.0202930000000001,-1.236642,DZA,020410
184465,66,5028,2016,0.0,229610.0,-1.0202930000000001,-1.236642,DZA,020421
190991,66,5029,2016,0.0,1920107.0,-1.0202930000000001,-1.236642,DZA,020422
197517,66,5030,2016,,,-1.0202930000000001,-1.236642,DZA,020423
204043,66,5031,2016,0.0,1539519.0,-1.0202930000000001,-1.236642,DZA,020430
210569,66,5032,2016,0.0,254272.0,-1.0202930000000001,-1.236642,DZA,020441
217095,66,5033,2016,0.0,4601061.0,-1.0202930000000001,-1.236642,DZA,020442
223621,66,5034,2016,0.0,58459.0,-1.0202930000000001,-1.236642,DZA,020443
230147,66,5035,2016,,,-1.0202930000000001,-1.236642,DZA,020450
236673,66,5036,2016,,,-1.0202930000000001,-1.236642,DZA,020500
243199,66,5037,2016,0.0,2780637.0,-1.0202930000000001,-1.236642,DZA,020610
249725,66,5038,2016,,,-1.0202930000000001,-1.236642,DZA,020621
256251,66,5039,2016,0.0,43684.0,-1.0202930000000001,-1.236642,DZA,020622
262777,66,5040,2016,,,-1.0202930000000001,-1.236642,DZA,020629
269303,66,5041,2016,,,-1.0202930000000001,-1.236642,DZA,020630
275829,66,5042,2016,,,-1.0202930000000001,-1.236642,DZA,020641
282355,66,5043,2016,,,-1.0202930000000001,-1.236642,DZA,020649
288881,66,5044,2016,0.0,188002.0,-1.0202930000000001,-1.236642,DZA,020680
295407,66,5045,2016,,,-1.0202930000000001,-1.236642,DZA,020690
