,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1749,67,5000,2002,6809.0,69035.0,-0.976218,-0.926393,ECU,010111
8275,67,5001,2002,4381.0,538207.0,-0.976218,-0.926393,ECU,010119
14801,67,5002,2002,,,-0.976218,-0.926393,ECU,010120
21327,67,5003,2002,0.0,519056.0,-0.976218,-0.926393,ECU,010210
27853,67,5004,2002,0.0,365403.0,-0.976218,-0.926393,ECU,010290
34379,67,5005,2002,0.0,338760.0,-0.976218,-0.926393,ECU,010310
40905,67,5006,2002,,,-0.976218,-0.926393,ECU,010391
47431,67,5007,2002,,,-0.976218,-0.926393,ECU,010392
53957,67,5008,2002,0.0,2340.0,-0.976218,-0.926393,ECU,010410
60483,67,5009,2002,,,-0.976218,-0.926393,ECU,010420
67009,67,5010,2002,20630.0,3431569.0,-0.976218,-0.926393,ECU,010511
73535,67,5011,2002,0.0,416960.0,-0.976218,-0.926393,ECU,010519
80061,67,5012,2002,0.0,7004.0,-0.976218,-0.926393,ECU,010591
86587,67,5013,2002,0.0,33816.0,-0.976218,-0.926393,ECU,010599
93113,67,5014,2002,175215.0,25234.0,-0.976218,-0.926393,ECU,010600
99639,67,5015,2002,,,-0.976218,-0.926393,ECU,020110
106165,67,5016,2002,,,-0.976218,-0.926393,ECU,020120
112691,67,5017,2002,0.0,98500.0,-0.976218,-0.926393,ECU,020130
119217,67,5018,2002,0.0,58187.0,-0.976218,-0.926393,ECU,020210
125743,67,5019,2002,0.0,36492.0,-0.976218,-0.926393,ECU,020220
132269,67,5020,2002,0.0,575674.0,-0.976218,-0.926393,ECU,020230
138795,67,5021,2002,,,-0.976218,-0.926393,ECU,020311
145321,67,5022,2002,0.0,5342.0,-0.976218,-0.926393,ECU,020312
151847,67,5023,2002,37024.0,38882.0,-0.976218,-0.926393,ECU,020319
158373,67,5024,2002,0.0,221661.0,-0.976218,-0.926393,ECU,020321
164899,67,5025,2002,0.0,1179136.0,-0.976218,-0.926393,ECU,020322
171425,67,5026,2002,0.0,1083852.0,-0.976218,-0.926393,ECU,020329
177951,67,5027,2002,,,-0.976218,-0.926393,ECU,020410
184477,67,5028,2002,,,-0.976218,-0.926393,ECU,020421
191003,67,5029,2002,0.0,3435.0,-0.976218,-0.926393,ECU,020422
197529,67,5030,2002,,,-0.976218,-0.926393,ECU,020423
204055,67,5031,2002,0.0,4124.0,-0.976218,-0.926393,ECU,020430
210581,67,5032,2002,,,-0.976218,-0.926393,ECU,020441
217107,67,5033,2002,0.0,6819.0,-0.976218,-0.926393,ECU,020442
223633,67,5034,2002,0.0,1730.0,-0.976218,-0.926393,ECU,020443
230159,67,5035,2002,,,-0.976218,-0.926393,ECU,020450
236685,67,5036,2002,39078.0,0.0,-0.976218,-0.926393,ECU,020500
243211,67,5037,2002,,,-0.976218,-0.926393,ECU,020610
249737,67,5038,2002,,,-0.976218,-0.926393,ECU,020621
256263,67,5039,2002,0.0,62452.0,-0.976218,-0.926393,ECU,020622
262789,67,5040,2002,0.0,189154.0,-0.976218,-0.926393,ECU,020629
269315,67,5041,2002,,,-0.976218,-0.926393,ECU,020630
275841,67,5042,2002,,,-0.976218,-0.926393,ECU,020641
282367,67,5043,2002,0.0,696215.0,-0.976218,-0.926393,ECU,020649
288893,67,5044,2002,,,-0.976218,-0.926393,ECU,020680
295419,67,5045,2002,0.0,13204.0,-0.976218,-0.926393,ECU,020690
301945,67,5046,2002,0.0,224591.0,-0.976218,-0.926393,ECU,020710
308471,67,5047,2002,2444882.0,82580.0,-0.976218,-0.926393,ECU,020721
314997,67,5048,2002,0.0,744817.0,-0.976218,-0.926393,ECU,020722
321523,67,5049,2002,5408.0,4707.0,-0.976218,-0.926393,ECU,020723
328049,67,5050,2002,,,-0.976218,-0.926393,ECU,020731
334575,67,5051,2002,,,-0.976218,-0.926393,ECU,020739
341101,67,5052,2002,1217658.0,71047.0,-0.976218,-0.926393,ECU,020741
347627,67,5053,2002,0.0,30341.0,-0.976218,-0.926393,ECU,020742
354153,67,5054,2002,,,-0.976218,-0.926393,ECU,020743
360679,67,5055,2002,,,-0.976218,-0.926393,ECU,020750
367205,67,5056,2002,,,-0.976218,-0.926393,ECU,020810
373731,67,5057,2002,2525.0,0.0,-0.976218,-0.926393,ECU,020820
380257,67,5058,2002,50127.0,20074.0,-0.976218,-0.926393,ECU,020890
386783,67,5059,2002,0.0,504128.0,-0.976218,-0.926393,ECU,020900
393309,67,5060,2002,0.0,112282.0,-0.976218,-0.926393,ECU,021011
399835,67,5061,2002,0.0,660737.0,-0.976218,-0.926393,ECU,021012
406361,67,5062,2002,0.0,250460.0,-0.976218,-0.926393,ECU,021019
412887,67,5063,2002,,,-0.976218,-0.926393,ECU,021020
419413,67,5064,2002,0.0,25599.0,-0.976218,-0.926393,ECU,021090
425939,67,5065,2002,16954.0,3545.0,-0.976218,-0.926393,ECU,030110
432465,67,5066,2002,0.0,19069.0,-0.976218,-0.926393,ECU,030191
