,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1776,68,5000,2003,0.9559229967408385,0.293617479558038,-0.292923,0.465433,EGY,010111
8302,68,5001,2003,0.09464035895470461,0.9955115280381863,-0.292923,0.465433,EGY,010119
14828,68,5002,2003,0.0,1.0,-0.292923,0.465433,EGY,010120
21354,68,5003,2003,0.0,0.0,-0.292923,0.465433,EGY,010210
27880,68,5004,2003,0.0,1.0,-0.292923,0.465433,EGY,010290
34406,68,5005,2003,0.0,0.0,-0.292923,0.465433,EGY,010310
40932,68,5006,2003,0.0,0.0,-0.292923,0.465433,EGY,010391
47458,68,5007,2003,0.0,0.0,-0.292923,0.465433,EGY,010392
53984,68,5008,2003,0.562080563076264,0.8270824871872637,-0.292923,0.465433,EGY,010410
60510,68,5009,2003,0.5995234031770044,0.8003572258954517,-0.292923,0.465433,EGY,010420
67036,68,5010,2003,0.392833021909566,0.9196098177473958,-0.292923,0.465433,EGY,010511
73562,68,5011,2003,0.14186990663559293,0.9898853113321806,-0.292923,0.465433,EGY,010519
80088,68,5012,2003,0.9973846031991951,0.07227692094426989,-0.292923,0.465433,EGY,010591
86614,68,5013,2003,0.8391482096298232,0.5439028242940667,-0.292923,0.465433,EGY,010599
93140,68,5014,2003,0.525426762119909,0.8508388317702645,-0.292923,0.465433,EGY,010600
99666,68,5015,2003,1.0,0.0,-0.292923,0.465433,EGY,020110
106192,68,5016,2003,1.0,0.0,-0.292923,0.465433,EGY,020120
112718,68,5017,2003,0.12597568973292234,0.9920333288737403,-0.292923,0.465433,EGY,020130
119244,68,5018,2003,0.019550527178372842,0.9998088701782195,-0.292923,0.465433,EGY,020210
125770,68,5019,2003,0.03761102186489925,0.9992924552073222,-0.292923,0.465433,EGY,020220
132296,68,5020,2003,0.00080295070544389,0.9999996776350303,-0.292923,0.465433,EGY,020230
138822,68,5021,2003,0.0,0.0,-0.292923,0.465433,EGY,020311
145348,68,5022,2003,0.0,0.0,-0.292923,0.465433,EGY,020312
151874,68,5023,2003,0.0,0.0,-0.292923,0.465433,EGY,020319
158400,68,5024,2003,0.0,0.0,-0.292923,0.465433,EGY,020321
164926,68,5025,2003,0.0,1.0,-0.292923,0.465433,EGY,020322
171452,68,5026,2003,0.0,1.0,-0.292923,0.465433,EGY,020329
177978,68,5027,2003,0.5841303774541678,0.8116598438602538,-0.292923,0.465433,EGY,020410
184504,68,5028,2003,0.9975346286792052,0.07017595447046232,-0.292923,0.465433,EGY,020421
191030,68,5029,2003,1.0,0.0,-0.292923,0.465433,EGY,020422
197556,68,5030,2003,1.0,0.0,-0.292923,0.465433,EGY,020423
204082,68,5031,2003,0.0,1.0,-0.292923,0.465433,EGY,020430
210608,68,5032,2003,0.11319620701552977,0.9935726539701549,-0.292923,0.465433,EGY,020441
217134,68,5033,2003,0.0043708415884415215,0.9999904478262823,-0.292923,0.465433,EGY,020442
223660,68,5034,2003,1.0,0.0,-0.292923,0.465433,EGY,020443
230186,68,5035,2003,1.0,0.0,-0.292923,0.465433,EGY,020450
236712,68,5036,2003,0.0,0.0,-0.292923,0.465433,EGY,020500
243238,68,5037,2003,0.15080046275795236,0.9885642217033689,-0.292923,0.465433,EGY,020610
249764,68,5038,2003,0.0,1.0,-0.292923,0.465433,EGY,020621
256290,68,5039,2003,5.331549372407661e-05,0.9999999985787291,-0.292923,0.465433,EGY,020622
262816,68,5040,2003,0.014469287184435534,0.9998953143846482,-0.292923,0.465433,EGY,020629
269342,68,5041,2003,0.0,0.0,-0.292923,0.465433,EGY,020630
275868,68,5042,2003,0.0,0.0,-0.292923,0.465433,EGY,020641
282394,68,5043,2003,0.0,1.0,-0.292923,0.465433,EGY,020649
288920,68,5044,2003,0.0,0.0,-0.292923,0.465433,EGY,020680
295446,68,5045,2003,1.0,0.0,-0.292923,0.465433,EGY,020690
301972,68,5046,2003,1.0,0.0,-0.292923,0.465433,EGY,020710
308498,68,5047,2003,0.4869977178892905,0.8734032417907682,-0.292923,0.465433,EGY,020721
315024,68,5048,2003,1.0,0.0,-0.292923,0.465433,EGY,020722
321550,68,5049,2003,0.6461715802807432,0.7631921703198264,-0.292923,0.465433,EGY,020723
328076,68,5050,2003,0.0,0.0,-0.292923,0.465433,EGY,020731
334602,68,5051,2003,1.0,0.0,-0.292923,0.465433,EGY,020739
341128,68,5052,2003,0.9999829654107467,0.0058368560312354306,-0.292923,0.465433,EGY,020741
347654,68,5053,2003,1.0,0.0,-0.292923,0.465433,EGY,020742
354180,68,5054,2003,1.0,0.0,-0.292923,0.465433,EGY,020743
360706,68,5055,2003,0.0,0.0,-0.292923,0.465433,EGY,020750
367232,68,5056,2003,0.16946240891123912,0.9855366517618712,-0.292923,0.465433,EGY,020810
373758,68,5057,2003,0.0,1.0,-0.292923,0.465433,EGY,020820
380284,68,5058,2003,0.9999925972340218,0.0038477886058633434,-0.292923,0.465433,EGY,020890
386810,68,5059,2003,0.4536568004044444,0.8911764737956238,-0.292923,0.465433,EGY,020900
393336,68,5060,2003,0.8234588163986768,0.5673760461063636,-0.292923,0.465433,EGY,021011
399862,68,5061,2003,1.0,0.0,-0.292923,0.465433,EGY,021012
406388,68,5062,2003,1.0,0.0,-0.292923,0.465433,EGY,021019
412914,68,5063,2003,0.9965642554585286,0.08282321378930307,-0.292923,0.465433,EGY,021020
419440,68,5064,2003,0.07630208249581996,0.9970847467526525,-0.292923,0.465433,EGY,021090
425966,68,5065,2003,0.8603921189299734,0.5096326144225765,-0.292923,0.465433,EGY,030110
432492,68,5066,2003,0.0,0.0,-0.292923,0.465433,EGY,030191
439018,68,5067,2003,0.0,0.0,-0.292923,0.465433,EGY,030192
445544,68,5068,2003,0.0,0.0,-0.292923,0.465433,EGY,030193
452070,68,5069,2003,0.9630149273796155,0.26944804627986063,-0.292923,0.465433,EGY,030199
458596,68,5070,2003,0.43009557604859167,0.9027833602052211,-0.292923,0.465433,EGY,030211
465122,68,5071,2003,0.021505929807688517,0.9997687207465069,-0.292923,0.465433,EGY,030212
471648,68,5072,2003,0.05596793269767576,0.9984325668314052,-0.292923,0.465433,EGY,030219
478174,68,5073,2003,0.0,1.0,-0.292923,0.465433,EGY,030221
484700,68,5074,2003,1.0,0.0,-0.292923,0.465433,EGY,030222
491226,68,5075,2003,0.0,0.0,-0.292923,0.465433,EGY,030223
497752,68,5076,2003,0.8539681148750916,0.5203253393567168,-0.292923,0.465433,EGY,030229
504278,68,5077,2003,0.0,1.0,-0.292923,0.465433,EGY,030231
510804,68,5078,2003,0.0,1.0,-0.292923,0.465433,EGY,030232
517330,68,5079,2003,0.0,0.0,-0.292923,0.465433,EGY,030233
523856,68,5080,2003,0.2592114890198297,0.9658205858026234,-0.292923,0.465433,EGY,030239
530382,68,5081,2003,1.0,0.0,-0.292923,0.465433,EGY,030240
536908,68,5082,2003,0.0,0.0,-0.292923,0.465433,EGY,030250
543434,68,5083,2003,0.38930857935521196,0.9211073933263302,-0.292923,0.465433,EGY,030261
549960,68,5084,2003,0.0,0.0,-0.292923,0.465433,EGY,030262
556486,68,5085,2003,1.0,0.0,-0.292923,0.465433,EGY,030263
563012,68,5086,2003,0.0,0.0,-0.292923,0.465433,EGY,030264
569538,68,5087,2003,0.0,0.0,-0.292923,0.465433,EGY,030265
576064,68,5088,2003,1.0,0.0,-0.292923,0.465433,EGY,030266
582590,68,5089,2003,0.9994332948208828,0.033661390397225495,-0.292923,0.465433,EGY,030269
589116,68,5090,2003,1.0,0.0,-0.292923,0.465433,EGY,030270
595642,68,5091,2003,0.0,1.0,-0.292923,0.465433,EGY,030310
602168,68,5092,2003,0.0,0.0,-0.292923,0.465433,EGY,030321
608694,68,5093,2003,0.0,1.0,-0.292923,0.465433,EGY,030322
615220,68,5094,2003,0.0,1.0,-0.292923,0.465433,EGY,030329
621746,68,5095,2003,0.0,0.0,-0.292923,0.465433,EGY,030331
628272,68,5096,2003,0.0,0.0,-0.292923,0.465433,EGY,030332
634798,68,5097,2003,0.0,1.0,-0.292923,0.465433,EGY,030333
641324,68,5098,2003,0.9967822237591513,0.08015733527108712,-0.292923,0.465433,EGY,030339
647850,68,5099,2003,0.0,1.0,-0.292923,0.465433,EGY,030341
654376,68,5100,2003,0.0,0.0,-0.292923,0.465433,EGY,030342
660902,68,5101,2003,0.0,0.0,-0.292923,0.465433,EGY,030343
667428,68,5102,2003,0.0,0.0,-0.292923,0.465433,EGY,030349
673954,68,5103,2003,0.0002732455326592297,0.9999999626684387,-0.292923,0.465433,EGY,030350
680480,68,5104,2003,1.0,0.0,-0.292923,0.465433,EGY,030360
