,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1837,70,5000,2012,,,2.172618,-0.077311,ESH,010111
8363,70,5001,2012,,,2.172618,-0.077311,ESH,010119
14889,70,5002,2012,,,2.172618,-0.077311,ESH,010120
21415,70,5003,2012,,,2.172618,-0.077311,ESH,010210
27941,70,5004,2012,,,2.172618,-0.077311,ESH,010290
34467,70,5005,2012,,,2.172618,-0.077311,ESH,010310
40993,70,5006,2012,,,2.172618,-0.077311,ESH,010391
47519,70,5007,2012,,,2.172618,-0.077311,ESH,010392
54045,70,5008,2012,,,2.172618,-0.077311,ESH,010410
60571,70,5009,2012,,,2.172618,-0.077311,ESH,010420
67097,70,5010,2012,,,2.172618,-0.077311,ESH,010511
73623,70,5011,2012,,,2.172618,-0.077311,ESH,010519
80149,70,5012,2012,,,2.172618,-0.077311,ESH,010591
86675,70,5013,2012,,,2.172618,-0.077311,ESH,010599
93201,70,5014,2012,,,2.172618,-0.077311,ESH,010600
99727,70,5015,2012,,,2.172618,-0.077311,ESH,020110
106253,70,5016,2012,,,2.172618,-0.077311,ESH,020120
112779,70,5017,2012,,,2.172618,-0.077311,ESH,020130
119305,70,5018,2012,,,2.172618,-0.077311,ESH,020210
125831,70,5019,2012,,,2.172618,-0.077311,ESH,020220
132357,70,5020,2012,,,2.172618,-0.077311,ESH,020230
138883,70,5021,2012,,,2.172618,-0.077311,ESH,020311
145409,70,5022,2012,,,2.172618,-0.077311,ESH,020312
151935,70,5023,2012,,,2.172618,-0.077311,ESH,020319
158461,70,5024,2012,,,2.172618,-0.077311,ESH,020321
164987,70,5025,2012,,,2.172618,-0.077311,ESH,020322
171513,70,5026,2012,,,2.172618,-0.077311,ESH,020329
178039,70,5027,2012,,,2.172618,-0.077311,ESH,020410
184565,70,5028,2012,,,2.172618,-0.077311,ESH,020421
191091,70,5029,2012,,,2.172618,-0.077311,ESH,020422
197617,70,5030,2012,,,2.172618,-0.077311,ESH,020423
204143,70,5031,2012,,,2.172618,-0.077311,ESH,020430
210669,70,5032,2012,,,2.172618,-0.077311,ESH,020441
217195,70,5033,2012,,,2.172618,-0.077311,ESH,020442
223721,70,5034,2012,,,2.172618,-0.077311,ESH,020443
230247,70,5035,2012,,,2.172618,-0.077311,ESH,020450
236773,70,5036,2012,,,2.172618,-0.077311,ESH,020500
243299,70,5037,2012,,,2.172618,-0.077311,ESH,020610
249825,70,5038,2012,,,2.172618,-0.077311,ESH,020621
256351,70,5039,2012,,,2.172618,-0.077311,ESH,020622
262877,70,5040,2012,,,2.172618,-0.077311,ESH,020629
269403,70,5041,2012,,,2.172618,-0.077311,ESH,020630
275929,70,5042,2012,,,2.172618,-0.077311,ESH,020641
282455,70,5043,2012,,,2.172618,-0.077311,ESH,020649
288981,70,5044,2012,,,2.172618,-0.077311,ESH,020680
295507,70,5045,2012,,,2.172618,-0.077311,ESH,020690
302033,70,5046,2012,,,2.172618,-0.077311,ESH,020710
308559,70,5047,2012,,,2.172618,-0.077311,ESH,020721
315085,70,5048,2012,,,2.172618,-0.077311,ESH,020722
321611,70,5049,2012,,,2.172618,-0.077311,ESH,020723
328137,70,5050,2012,,,2.172618,-0.077311,ESH,020731
