,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1853,71,5000,2002,0.8139739314394655,0.5809014020786836,1.012246,2.049594,ESP,010111
8379,71,5001,2002,0.9710650224554851,0.23881524692432918,1.012246,2.049594,ESP,010119
14905,71,5002,2002,0.0,0.0,1.012246,2.049594,ESP,010120
21431,71,5003,2002,0.25622661070986813,0.966616740991037,1.012246,2.049594,ESP,010210
27957,71,5004,2002,0.21686385250036316,0.9762018589813793,1.012246,2.049594,ESP,010290
34483,71,5005,2002,0.27026867474816835,0.9627849414328565,1.012246,2.049594,ESP,010310
41009,71,5006,2002,0.10175383480407814,0.9948096084692107,1.012246,2.049594,ESP,010391
47535,71,5007,2002,0.9899539848543121,0.141389914318768,1.012246,2.049594,ESP,010392
54061,71,5008,2002,0.9404862910759675,0.33983162933748645,1.012246,2.049594,ESP,010410
60587,71,5009,2002,0.4287339660701681,0.903430786689132,1.012246,2.049594,ESP,010420
67113,71,5010,2002,0.680040407433173,0.7331746342162447,1.012246,2.049594,ESP,010511
73639,71,5011,2002,0.16064052387610644,0.9870129796962196,1.012246,2.049594,ESP,010519
80165,71,5012,2002,0.6710835673847351,0.741381713819661,1.012246,2.049594,ESP,010591
86691,71,5013,2002,0.7437961886591464,0.6684064854084882,1.012246,2.049594,ESP,010599
93217,71,5014,2002,0.5807430073977508,0.8140869482792461,1.012246,2.049594,ESP,010600
99743,71,5015,2002,0.980012044243084,0.19893816410757323,1.012246,2.049594,ESP,020110
106269,71,5016,2002,0.5527041731966013,0.8333775236536328,1.012246,2.049594,ESP,020120
112795,71,5017,2002,0.13630425150029474,0.9906670232842841,1.012246,2.049594,ESP,020130
119321,71,5018,2002,0.14884420005628904,0.9888606596025566,1.012246,2.049594,ESP,020210
125847,71,5019,2002,0.5362863469936032,0.8440361094338658,1.012246,2.049594,ESP,020220
132373,71,5020,2002,0.5887820908941165,0.8082918095850979,1.012246,2.049594,ESP,020230
138899,71,5021,2002,0.9993648352629848,0.03563602166049626,1.012246,2.049594,ESP,020311
145425,71,5022,2002,0.9853104222867066,0.1707728659160811,1.012246,2.049594,ESP,020312
151951,71,5023,2002,0.9986105871887344,0.052696253705279986,1.012246,2.049594,ESP,020319
158477,71,5024,2002,0.9093272353422921,0.41608169758443303,1.012246,2.049594,ESP,020321
165003,71,5025,2002,0.49588254327461173,0.868389603389805,1.012246,2.049594,ESP,020322
171529,71,5026,2002,0.9730360729484385,0.2306529877133201,1.012246,2.049594,ESP,020329
178055,71,5027,2002,0.9952098354274527,0.09776187124059472,1.012246,2.049594,ESP,020410
184581,71,5028,2002,0.9994737232799444,0.032438811213192524,1.012246,2.049594,ESP,020421
191107,71,5029,2002,0.9606882900837183,0.2776292659213393,1.012246,2.049594,ESP,020422
197633,71,5030,2002,0.9993926240299539,0.03484799900314648,1.012246,2.049594,ESP,020423
204159,71,5031,2002,0.2830600346811673,0.9591021930776179,1.012246,2.049594,ESP,020430
210685,71,5032,2002,0.617192276477566,0.7868123625467762,1.012246,2.049594,ESP,020441
217211,71,5033,2002,0.14111155356484825,0.9899937017226498,1.012246,2.049594,ESP,020442
223737,71,5034,2002,0.9852549702695816,0.17109250000828685,1.012246,2.049594,ESP,020443
230263,71,5035,2002,0.719611638779518,0.6943767632438865,1.012246,2.049594,ESP,020450
236789,71,5036,2002,0.998873192624146,0.04745887753461405,1.012246,2.049594,ESP,020500
243315,71,5037,2002,0.7827017857174183,0.6223969108493105,1.012246,2.049594,ESP,020610
249841,71,5038,2002,0.9998288848519625,0.01849867605211163,1.012246,2.049594,ESP,020621
