,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1873,72,5000,1996,23278.0,10757.0,0.53397,1.0877940000000001,EST,010111
8399,72,5001,1996,294425.0,10024.0,0.53397,1.0877940000000001,EST,010119
14925,72,5002,1996,,,0.53397,1.0877940000000001,EST,010120
21451,72,5003,1996,40727.0,40165.0,0.53397,1.0877940000000001,EST,010210
27977,72,5004,1996,1368.0,40855.0,0.53397,1.0877940000000001,EST,010290
34503,72,5005,1996,158799.0,0.0,0.53397,1.0877940000000001,EST,010310
41029,72,5006,1996,,,0.53397,1.0877940000000001,EST,010391
47555,72,5007,1996,,,0.53397,1.0877940000000001,EST,010392
54081,72,5008,1996,0.0,1387.0,0.53397,1.0877940000000001,EST,010410
60607,72,5009,1996,3707.0,2067.0,0.53397,1.0877940000000001,EST,010420
67133,72,5010,1996,11182.0,534133.0,0.53397,1.0877940000000001,EST,010511
73659,72,5011,1996,0.0,10228.0,0.53397,1.0877940000000001,EST,010519
80185,72,5012,1996,137393.0,48009.0,0.53397,1.0877940000000001,EST,010591
86711,72,5013,1996,0.0,5429.0,0.53397,1.0877940000000001,EST,010599
93237,72,5014,1996,4691.0,89260.0,0.53397,1.0877940000000001,EST,010600
99763,72,5015,1996,0.0,986564.0,0.53397,1.0877940000000001,EST,020110
106289,72,5016,1996,2729.0,916578.0,0.53397,1.0877940000000001,EST,020120
112815,72,5017,1996,0.0,37482.0,0.53397,1.0877940000000001,EST,020130
119341,72,5018,1996,306832.0,1694201.0,0.53397,1.0877940000000001,EST,020210
125867,72,5019,1996,58960.0,1290440.0,0.53397,1.0877940000000001,EST,020220
132393,72,5020,1996,73752.0,1232053.0,0.53397,1.0877940000000001,EST,020230
138919,72,5021,1996,27757.0,2664744.0,0.53397,1.0877940000000001,EST,020311
145445,72,5022,1996,0.0,197314.0,0.53397,1.0877940000000001,EST,020312
151971,72,5023,1996,0.0,924808.0,0.53397,1.0877940000000001,EST,020319
158497,72,5024,1996,38301.0,2117715.0,0.53397,1.0877940000000001,EST,020321
165023,72,5025,1996,11530.0,815596.0,0.53397,1.0877940000000001,EST,020322
171549,72,5026,1996,63689.0,2765388.0,0.53397,1.0877940000000001,EST,020329
178075,72,5027,1996,,,0.53397,1.0877940000000001,EST,020410
184601,72,5028,1996,,,0.53397,1.0877940000000001,EST,020421
191127,72,5029,1996,0.0,5279.0,0.53397,1.0877940000000001,EST,020422
197653,72,5030,1996,,,0.53397,1.0877940000000001,EST,020423
204179,72,5031,1996,,,0.53397,1.0877940000000001,EST,020430
210705,72,5032,1996,,,0.53397,1.0877940000000001,EST,020441
217231,72,5033,1996,0.0,22348.0,0.53397,1.0877940000000001,EST,020442
223757,72,5034,1996,0.0,1858.0,0.53397,1.0877940000000001,EST,020443
230283,72,5035,1996,,,0.53397,1.0877940000000001,EST,020450
236809,72,5036,1996,69014.0,0.0,0.53397,1.0877940000000001,EST,020500
243335,72,5037,1996,20262.0,52771.0,0.53397,1.0877940000000001,EST,020610
249861,72,5038,1996,0.0,8406.0,0.53397,1.0877940000000001,EST,020621
256387,72,5039,1996,251454.0,682081.0,0.53397,1.0877940000000001,EST,020622
262913,72,5040,1996,0.0,99473.0,0.53397,1.0877940000000001,EST,020629
269439,72,5041,1996,15812.0,214651.0,0.53397,1.0877940000000001,EST,020630
275965,72,5042,1996,31913.0,172457.0,0.53397,1.0877940000000001,EST,020641
282491,72,5043,1996,34534.0,496511.0,0.53397,1.0877940000000001,EST,020649
289017,72,5044,1996,0.0,6872.0,0.53397,1.0877940000000001,EST,020680
295543,72,5045,1996,0.0,4767.0,0.53397,1.0877940000000001,EST,020690
302069,72,5046,1996,7392.0,103030.0,0.53397,1.0877940000000001,EST,020710
308595,72,5047,1996,71755.0,171774.0,0.53397,1.0877940000000001,EST,020721
315121,72,5048,1996,0.0,181742.0,0.53397,1.0877940000000001,EST,020722
321647,72,5049,1996,3409.0,2625.0,0.53397,1.0877940000000001,EST,020723
328173,72,5050,1996,0.0,2241.0,0.53397,1.0877940000000001,EST,020731
334699,72,5051,1996,596938.0,1666604.0,0.53397,1.0877940000000001,EST,020739
341225,72,5052,1996,972909.0,18594187.0,0.53397,1.0877940000000001,EST,020741
347751,72,5053,1996,257934.0,681296.0,0.53397,1.0877940000000001,EST,020742
354277,72,5054,1996,177135.0,258634.0,0.53397,1.0877940000000001,EST,020743
360803,72,5055,1996,0.0,2245.0,0.53397,1.0877940000000001,EST,020750
367329,72,5056,1996,,,0.53397,1.0877940000000001,EST,020810
373855,72,5057,1996,0.0,2973.0,0.53397,1.0877940000000001,EST,020820
380381,72,5058,1996,102892.0,22860.0,0.53397,1.0877940000000001,EST,020890
386907,72,5059,1996,28890.0,213042.0,0.53397,1.0877940000000001,EST,020900
393433,72,5060,1996,3185.0,15971.0,0.53397,1.0877940000000001,EST,021011
399959,72,5061,1996,8937.0,80606.0,0.53397,1.0877940000000001,EST,021012
406485,72,5062,1996,5327.0,55839.0,0.53397,1.0877940000000001,EST,021019
413011,72,5063,1996,,,0.53397,1.0877940000000001,EST,021020
419537,72,5064,1996,0.0,59887.0,0.53397,1.0877940000000001,EST,021090
426063,72,5065,1996,4294.0,0.0,0.53397,1.0877940000000001,EST,030110
432589,72,5066,1996,0.0,49641.0,0.53397,1.0877940000000001,EST,030191
439115,72,5067,1996,0.0,147145.0,0.53397,1.0877940000000001,EST,030192
445641,72,5068,1996,,,0.53397,1.0877940000000001,EST,030193
452167,72,5069,1996,,,0.53397,1.0877940000000001,EST,030199
458693,72,5070,1996,118111.0,385355.0,0.53397,1.0877940000000001,EST,030211
465219,72,5071,1996,1137.0,202629.0,0.53397,1.0877940000000001,EST,030212
471745,72,5072,1996,70115.0,100776.0,0.53397,1.0877940000000001,EST,030219
478271,72,5073,1996,5272.0,0.0,0.53397,1.0877940000000001,EST,030221
484797,72,5074,1996,,,0.53397,1.0877940000000001,EST,030222
491323,72,5075,1996,,,0.53397,1.0877940000000001,EST,030223
497849,72,5076,1996,158723.0,59391.0,0.53397,1.0877940000000001,EST,030229
504375,72,5077,1996,4343.0,0.0,0.53397,1.0877940000000001,EST,030231
510901,72,5078,1996,,,0.53397,1.0877940000000001,EST,030232
517427,72,5079,1996,,,0.53397,1.0877940000000001,EST,030233
523953,72,5080,1996,,,0.53397,1.0877940000000001,EST,030239
530479,72,5081,1996,137146.0,426399.0,0.53397,1.0877940000000001,EST,030240
537005,72,5082,1996,1433071.0,328079.0,0.53397,1.0877940000000001,EST,030250
543531,72,5083,1996,82603.0,71552.0,0.53397,1.0877940000000001,EST,030261
550057,72,5084,1996,0.0,22394.0,0.53397,1.0877940000000001,EST,030262
556583,72,5085,1996,0.0,35102.0,0.53397,1.0877940000000001,EST,030263
563109,72,5086,1996,45578.0,160632.0,0.53397,1.0877940000000001,EST,030264
569635,72,5087,1996,16461.0,0.0,0.53397,1.0877940000000001,EST,030265
576161,72,5088,1996,630002.0,78691.0,0.53397,1.0877940000000001,EST,030266
582687,72,5089,1996,2586204.0,1157603.0,0.53397,1.0877940000000001,EST,030269
589213,72,5090,1996,48417.0,84217.0,0.53397,1.0877940000000001,EST,030270
595739,72,5091,1996,0.0,135940.0,0.53397,1.0877940000000001,EST,030310
602265,72,5092,1996,25489.0,66442.0,0.53397,1.0877940000000001,EST,030321
608791,72,5093,1996,41291.0,6226.0,0.53397,1.0877940000000001,EST,030322
615317,72,5094,1996,66355.0,122278.0,0.53397,1.0877940000000001,EST,030329
621843,72,5095,1996,3539.0,0.0,0.53397,1.0877940000000001,EST,030331
628369,72,5096,1996,,,0.53397,1.0877940000000001,EST,030332
634895,72,5097,1996,0.0,1072.0,0.53397,1.0877940000000001,EST,030333
641421,72,5098,1996,29854.0,179310.0,0.53397,1.0877940000000001,EST,030339
647947,72,5099,1996,0.0,26651.0,0.53397,1.0877940000000001,EST,030341
654473,72,5100,1996,,,0.53397,1.0877940000000001,EST,030342
660999,72,5101,1996,,,0.53397,1.0877940000000001,EST,030343
667525,72,5102,1996,87532.0,127194.0,0.53397,1.0877940000000001,EST,030349
674051,72,5103,1996,1963612.0,4117940.0,0.53397,1.0877940000000001,EST,030350
680577,72,5104,1996,31654.0,64256.0,0.53397,1.0877940000000001,EST,030360
687103,72,5105,1996,1651292.0,983803.0,0.53397,1.0877940000000001,EST,030371
693629,72,5106,1996,24720.0,59595.0,0.53397,1.0877940000000001,EST,030372
700155,72,5107,1996,0.0,62248.0,0.53397,1.0877940000000001,EST,030373
706681,72,5108,1996,718880.0,2193736.0,0.53397,1.0877940000000001,EST,030374
713207,72,5109,1996,6886.0,1519.0,0.53397,1.0877940000000001,EST,030375
719733,72,5110,1996,12487.0,5231.0,0.53397,1.0877940000000001,EST,030376
726259,72,5111,1996,15046.0,19717.0,0.53397,1.0877940000000001,EST,030377
732785,72,5112,1996,15046.0,43938.0,0.53397,1.0877940000000001,EST,030378
739311,72,5113,1996,2854425.0,1173658.0,0.53397,1.0877940000000001,EST,030379
745837,72,5114,1996,368183.0,17095.0,0.53397,1.0877940000000001,EST,030380
752363,72,5115,1996,10166277.0,425044.0,0.53397,1.0877940000000001,EST,030410
758889,72,5116,1996,2401057.0,821718.0,0.53397,1.0877940000000001,EST,030420
765415,72,5117,1996,179288.0,2010626.0,0.53397,1.0877940000000001,EST,030490
771941,72,5118,1996,252716.0,69998.0,0.53397,1.0877940000000001,EST,030510
778467,72,5119,1996,96139.0,36282.0,0.53397,1.0877940000000001,EST,030520
784993,72,5120,1996,19903.0,58857.0,0.53397,1.0877940000000001,EST,030530
791519,72,5121,1996,2818.0,17889.0,0.53397,1.0877940000000001,EST,030541
798045,72,5122,1996,191132.0,1110.0,0.53397,1.0877940000000001,EST,030542
804571,72,5123,1996,530454.0,8412.0,0.53397,1.0877940000000001,EST,030549
811097,72,5124,1996,925.0,0.0,0.53397,1.0877940000000001,EST,030551
817623,72,5125,1996,42960.0,3659.0,0.53397,1.0877940000000001,EST,030559
824149,72,5126,1996,838549.0,310847.0,0.53397,1.0877940000000001,EST,030561
830675,72,5127,1996,,,0.53397,1.0877940000000001,EST,030562
837201,72,5128,1996,2376.0,5379.0,0.53397,1.0877940000000001,EST,030563
843727,72,5129,1996,785249.0,10862.0,0.53397,1.0877940000000001,EST,030569
850253,72,5130,1996,0.0,2663.0,0.53397,1.0877940000000001,EST,030611
856779,72,5131,1996,918.0,19713.0,0.53397,1.0877940000000001,EST,030612
863305,72,5132,1996,4231095.0,570135.0,0.53397,1.0877940000000001,EST,030613
869831,72,5133,1996,5338.0,18497.0,0.53397,1.0877940000000001,EST,030614
876357,72,5134,1996,74338.0,11128.0,0.53397,1.0877940000000001,EST,030619
882883,72,5135,1996,,,0.53397,1.0877940000000001,EST,030621
889409,72,5136,1996,,,0.53397,1.0877940000000001,EST,030622
895935,72,5137,1996,11708.0,92793.0,0.53397,1.0877940000000001,EST,030623
902461,72,5138,1996,,,0.53397,1.0877940000000001,EST,030624
908987,72,5139,1996,955.0,4768.0,0.53397,1.0877940000000001,EST,030629
915513,72,5140,1996,0.0,1909.0,0.53397,1.0877940000000001,EST,030710
922039,72,5141,1996,,,0.53397,1.0877940000000001,EST,030721
928565,72,5142,1996,0.0,2231.0,0.53397,1.0877940000000001,EST,030729
935091,72,5143,1996,,,0.53397,1.0877940000000001,EST,030731
941617,72,5144,1996,0.0,3237.0,0.53397,1.0877940000000001,EST,030739
948143,72,5145,1996,0.0,9246.0,0.53397,1.0877940000000001,EST,030741
954669,72,5146,1996,0.0,15248.0,0.53397,1.0877940000000001,EST,030749
961195,72,5147,1996,,,0.53397,1.0877940000000001,EST,030751
967721,72,5148,1996,0.0,1074.0,0.53397,1.0877940000000001,EST,030759
974247,72,5149,1996,0.0,3855.0,0.53397,1.0877940000000001,EST,030760
980773,72,5150,1996,,,0.53397,1.0877940000000001,EST,030791
987299,72,5151,1996,,,0.53397,1.0877940000000001,EST,030799
993825,72,5152,1996,122714.0,1359986.0,0.53397,1.0877940000000001,EST,040110
1000351,72,5153,1996,874852.0,940130.0,0.53397,1.0877940000000001,EST,040120
1006877,72,5154,1996,128485.0,373543.0,0.53397,1.0877940000000001,EST,040130
1013403,72,5155,1996,23210223.0,9384562.0,0.53397,1.0877940000000001,EST,040210
1019929,72,5156,1996,774244.0,450537.0,0.53397,1.0877940000000001,EST,040221
1026455,72,5157,1996,513964.0,147318.0,0.53397,1.0877940000000001,EST,040229
1032981,72,5158,1996,186684.0,77422.0,0.53397,1.0877940000000001,EST,040291
1039507,72,5159,1996,19140.0,349157.0,0.53397,1.0877940000000001,EST,040299
1046033,72,5160,1996,780952.0,664035.0,0.53397,1.0877940000000001,EST,040310
1052559,72,5161,1996,6958177.0,1688984.0,0.53397,1.0877940000000001,EST,040390
1059085,72,5162,1996,206611.0,1969.0,0.53397,1.0877940000000001,EST,040410
1065611,72,5163,1996,1944.0,44869.0,0.53397,1.0877940000000001,EST,040490
1072137,72,5164,1996,12552713.0,8893796.0,0.53397,1.0877940000000001,EST,040500
1078663,72,5165,1996,3468896.0,1559819.0,0.53397,1.0877940000000001,EST,040610
1085189,72,5166,1996,24767.0,1039001.0,0.53397,1.0877940000000001,EST,040620
1091715,72,5167,1996,203924.0,1556195.0,0.53397,1.0877940000000001,EST,040630
1098241,72,5168,1996,74094.0,171328.0,0.53397,1.0877940000000001,EST,040640
1104767,72,5169,1996,3937962.0,1827529.0,0.53397,1.0877940000000001,EST,040690
1111293,72,5170,1996,287286.0,774882.0,0.53397,1.0877940000000001,EST,040700
1117819,72,5171,1996,182518.0,38751.0,0.53397,1.0877940000000001,EST,040811
1124345,72,5172,1996,0.0,2744.0,0.53397,1.0877940000000001,EST,040819
1130871,72,5173,1996,169451.0,141387.0,0.53397,1.0877940000000001,EST,040891
1137397,72,5174,1996,0.0,4255.0,0.53397,1.0877940000000001,EST,040899
1143923,72,5175,1996,6530.0,47129.0,0.53397,1.0877940000000001,EST,040900
