,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1910,73,5000,2007,1.754584454930597e-10,4.285428718298685e-09,-1.115917,-0.821652,ETH,010111
8436,73,5001,2007,1.6267967660187346e-07,0.0,-1.115917,-0.821652,ETH,010119
14962,73,5002,2007,0.0,0.0,-1.115917,-0.821652,ETH,010120
21488,73,5003,2007,1.3842928908657232e-06,0.0,-1.115917,-0.821652,ETH,010210
28014,73,5004,2007,6.609094177721017e-06,0.0,-1.115917,-0.821652,ETH,010290
34540,73,5005,2007,0.0,0.0,-1.115917,-0.821652,ETH,010310
41066,73,5006,2007,0.0,0.0,-1.115917,-0.821652,ETH,010391
47592,73,5007,2007,0.0,0.0,-1.115917,-0.821652,ETH,010392
54118,73,5008,2007,1.5870555796330762e-06,0.0,-1.115917,-0.821652,ETH,010410
60644,73,5009,2007,3.9754338193144606e-07,6.006228865661932e-08,-1.115917,-0.821652,ETH,010420
67170,73,5010,2007,4.620708768356087e-09,1.002714090491389e-07,-1.115917,-0.821652,ETH,010511
73696,73,5011,2007,0.0,4.9361311314955766e-08,-1.115917,-0.821652,ETH,010519
80222,73,5012,2007,0.0,0.0,-1.115917,-0.821652,ETH,010591
86748,73,5013,2007,0.0,8.13535447172154e-09,-1.115917,-0.821652,ETH,010599
93274,73,5014,2007,2.1062240892543694e-06,2.671681430642359e-09,-1.115917,-0.821652,ETH,010600
99800,73,5015,2007,6.620692617345889e-08,0.0,-1.115917,-0.821652,ETH,020110
106326,73,5016,2007,1.5485192685138777e-10,3.012725989894435e-10,-1.115917,-0.821652,ETH,020120
112852,73,5017,2007,2.8679425356585786e-09,1.3926814751965255e-09,-1.115917,-0.821652,ETH,020130
119378,73,5018,2007,1.0750845027214644e-08,0.0,-1.115917,-0.821652,ETH,020210
125904,73,5019,2007,0.0,1.9806436210791137e-09,-1.115917,-0.821652,ETH,020220
132430,73,5020,2007,0.0,5.814660590396917e-09,-1.115917,-0.821652,ETH,020230
138956,73,5021,2007,0.0,0.0,-1.115917,-0.821652,ETH,020311
145482,73,5022,2007,0.0,0.0,-1.115917,-0.821652,ETH,020312
152008,73,5023,2007,0.0,9.175722665591578e-09,-1.115917,-0.821652,ETH,020319
158534,73,5024,2007,0.0,0.0,-1.115917,-0.821652,ETH,020321
165060,73,5025,2007,0.0,0.0,-1.115917,-0.821652,ETH,020322
171586,73,5026,2007,0.0,5.939279399219833e-10,-1.115917,-0.821652,ETH,020329
178112,73,5027,2007,1.1078676556581314e-06,2.853638148843904e-10,-1.115917,-0.821652,ETH,020410
184638,73,5028,2007,1.8633444481731864e-06,0.0,-1.115917,-0.821652,ETH,020421
191164,73,5029,2007,9.879007466448612e-10,2.37637462569231e-10,-1.115917,-0.821652,ETH,020422
197690,73,5030,2007,0.0,0.0,-1.115917,-0.821652,ETH,020423
204216,73,5031,2007,5.354664476446227e-10,0.0,-1.115917,-0.821652,ETH,020430
210742,73,5032,2007,1.06775100638134e-08,0.0,-1.115917,-0.821652,ETH,020441
217268,73,5033,2007,0.0,0.0,-1.115917,-0.821652,ETH,020442
223794,73,5034,2007,0.0,5.548188456637276e-10,-1.115917,-0.821652,ETH,020443
230320,73,5035,2007,2.000960234328971e-06,0.0,-1.115917,-0.821652,ETH,020450
236846,73,5036,2007,1.2394214888887982e-08,0.0,-1.115917,-0.821652,ETH,020500
243372,73,5037,2007,1.031235043200142e-09,0.0,-1.115917,-0.821652,ETH,020610
249898,73,5038,2007,0.0,0.0,-1.115917,-0.821652,ETH,020621
256424,73,5039,2007,0.0,0.0,-1.115917,-0.821652,ETH,020622
262950,73,5040,2007,4.469796323009725e-10,3.5102069261795338e-09,-1.115917,-0.821652,ETH,020629
269476,73,5041,2007,0.0,2.711121957902803e-10,-1.115917,-0.821652,ETH,020630
276002,73,5042,2007,0.0,0.0,-1.115917,-0.821652,ETH,020641
282528,73,5043,2007,0.0,2.7992831364849723e-09,-1.115917,-0.821652,ETH,020649
289054,73,5044,2007,2.6262401934733206e-08,0.0,-1.115917,-0.821652,ETH,020680
295580,73,5045,2007,0.0,0.0,-1.115917,-0.821652,ETH,020690
302106,73,5046,2007,0.0,7.17221016736145e-10,-1.115917,-0.821652,ETH,020710
308632,73,5047,2007,0.0,1.461288106649567e-09,-1.115917,-0.821652,ETH,020721
315158,73,5048,2007,0.0,5.650932687315745e-10,-1.115917,-0.821652,ETH,020722
321684,73,5049,2007,0.0,0.0,-1.115917,-0.821652,ETH,020723
328210,73,5050,2007,0.0,0.0,-1.115917,-0.821652,ETH,020731
334736,73,5051,2007,0.0,3.642448694052788e-10,-1.115917,-0.821652,ETH,020739
341262,73,5052,2007,2.625512904580085e-09,2.0041422209342862e-08,-1.115917,-0.821652,ETH,020741
347788,73,5053,2007,1.5989446317782044e-08,5.548188456637276e-10,-1.115917,-0.821652,ETH,020742
354314,73,5054,2007,0.0,1.3539038139404585e-09,-1.115917,-0.821652,ETH,020743
360840,73,5055,2007,0.0,0.0,-1.115917,-0.821652,ETH,020750
367366,73,5056,2007,0.0,0.0,-1.115917,-0.821652,ETH,020810
373892,73,5057,2007,0.0,0.0,-1.115917,-0.821652,ETH,020820
380418,73,5058,2007,2.13550201276268e-08,6.827851278087487e-09,-1.115917,-0.821652,ETH,020890
386944,73,5059,2007,0.0,0.0,-1.115917,-0.821652,ETH,020900
393470,73,5060,2007,0.0,1.0712908929742335e-08,-1.115917,-0.821652,ETH,021011
399996,73,5061,2007,0.0,4.216822086845644e-09,-1.115917,-0.821652,ETH,021012
406522,73,5062,2007,0.0,1.0480905828210311e-08,-1.115917,-0.821652,ETH,021019
