,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1928,74,5000,1999,4.82950128812244e-09,1.7917433814817173e-07,2.095642,0.966282,FIN,010111
8454,74,5001,1999,3.536169510022561e-08,3.28214124871351e-07,2.095642,0.966282,FIN,010119
14980,74,5002,1999,0.0,0.0,2.095642,0.966282,FIN,010120
21506,74,5003,1999,0.0,3.6606775091731615e-09,2.095642,0.966282,FIN,010210
28032,74,5004,1999,1.0697207471338528e-09,2.685933049736469e-09,2.095642,0.966282,FIN,010290
34558,74,5005,1999,6.011921510003907e-08,0.0,2.095642,0.966282,FIN,010310
41084,74,5006,1999,0.0,0.0,2.095642,0.966282,FIN,010391
47610,74,5007,1999,0.0,5.8574817342796846e-08,2.095642,0.966282,FIN,010392
54136,74,5008,1999,0.0,0.0,2.095642,0.966282,FIN,010410
60662,74,5009,1999,0.0,0.0,2.095642,0.966282,FIN,010420
67188,74,5010,1999,1.1757261336933126e-07,2.1507217804822192e-07,2.095642,0.966282,FIN,010511
73714,74,5011,1999,0.0,7.002052464037819e-08,2.095642,0.966282,FIN,010519
80240,74,5012,1999,0.0,0.0,2.095642,0.966282,FIN,010591
86766,74,5013,1999,0.0,1.0262491479768018e-08,2.095642,0.966282,FIN,010599
93292,74,5014,1999,1.914224366995785e-07,4.26515827588483e-07,2.095642,0.966282,FIN,010600
99818,74,5015,1999,4.7982884731210836e-08,0.0,2.095642,0.966282,FIN,020110
106344,74,5016,1999,1.16002881508098e-06,8.219442338706812e-07,2.095642,0.966282,FIN,020120
112870,74,5017,1999,2.5132107113904004e-06,4.2623457354282576e-06,2.095642,0.966282,FIN,020130
119396,74,5018,1999,0.0,1.0276080232857751e-07,2.095642,0.966282,FIN,020210
125922,74,5019,1999,6.292109556122876e-08,1.2387905036203116e-07,2.095642,0.966282,FIN,020220
132448,74,5020,1999,3.944675559871377e-07,1.807916317689515e-06,2.095642,0.966282,FIN,020230
138974,74,5021,1999,1.2163885526770695e-06,4.689992412420208e-07,2.095642,0.966282,FIN,020311
145500,74,5022,1999,8.820347571232716e-08,1.5103428424374984e-06,2.095642,0.966282,FIN,020312
152026,74,5023,1999,5.640201126300864e-07,7.396245950953863e-06,2.095642,0.966282,FIN,020319
158552,74,5024,1999,1.1801032006824349e-06,2.835044757421123e-08,2.095642,0.966282,FIN,020321
165078,74,5025,1999,1.2808708950624436e-07,2.74914395191388e-07,2.095642,0.966282,FIN,020322
171604,74,5026,1999,3.7663355351759106e-06,2.183055389876733e-06,2.095642,0.966282,FIN,020329
