,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1957,75,5000,2002,0.0,0.0,-0.588136,-0.242883,FJI,010111
8483,75,5001,2002,0.0,0.0,-0.588136,-0.242883,FJI,010119
15009,75,5002,2002,0.0,0.0,-0.588136,-0.242883,FJI,010120
21535,75,5003,2002,0.0,0.0,-0.588136,-0.242883,FJI,010210
28061,75,5004,2002,0.0,0.0,-0.588136,-0.242883,FJI,010290
34587,75,5005,2002,0.0,0.0,-0.588136,-0.242883,FJI,010310
41113,75,5006,2002,0.0,0.0,-0.588136,-0.242883,FJI,010391
47639,75,5007,2002,0.0,0.0,-0.588136,-0.242883,FJI,010392
54165,75,5008,2002,0.0,0.0,-0.588136,-0.242883,FJI,010410
60691,75,5009,2002,0.0,0.0,-0.588136,-0.242883,FJI,010420
67217,75,5010,2002,0.0,5.035759891953472e-08,-0.588136,-0.242883,FJI,010511
73743,75,5011,2002,0.0,4.148314885293259e-08,-0.588136,-0.242883,FJI,010519
80269,75,5012,2002,0.0,0.0,-0.588136,-0.242883,FJI,010591
86795,75,5013,2002,0.0,4.804784232728232e-09,-0.588136,-0.242883,FJI,010599
93321,75,5014,2002,6.688027447377941e-10,1.085443082167687e-09,-0.588136,-0.242883,FJI,010600
99847,75,5015,2002,0.0,1.4024256054608705e-08,-0.588136,-0.242883,FJI,020110
106373,75,5016,2002,0.0,7.125809547055045e-09,-0.588136,-0.242883,FJI,020120
112899,75,5017,2002,0.0,6.847704114918585e-08,-0.588136,-0.242883,FJI,020130
119425,75,5018,2002,0.0,5.476930361166727e-09,-0.588136,-0.242883,FJI,020210
125951,75,5019,2002,0.0,3.136681932712974e-08,-0.588136,-0.242883,FJI,020220
132477,75,5020,2002,2.4136900144252513e-09,5.415780972262929e-07,-0.588136,-0.242883,FJI,020230
139003,75,5021,2002,0.0,2.8466449124977245e-08,-0.588136,-0.242883,FJI,020311
145529,75,5022,2002,0.0,3.3732919529754204e-08,-0.588136,-0.242883,FJI,020312
152055,75,5023,2002,0.0,1.1636612706841982e-08,-0.588136,-0.242883,FJI,020319
158581,75,5024,2002,0.0,1.599064805659371e-08,-0.588136,-0.242883,FJI,020321
165107,75,5025,2002,0.0,3.838060451944504e-08,-0.588136,-0.242883,FJI,020322
171633,75,5026,2002,0.0,1.008616912260368e-08,-0.588136,-0.242883,FJI,020329
178159,75,5027,2002,0.0,6.276346762445646e-09,-0.588136,-0.242883,FJI,020410
184685,75,5028,2002,0.0,1.8405833486842306e-07,-0.588136,-0.242883,FJI,020421
191211,75,5029,2002,0.0,1.1848696684942472e-07,-0.588136,-0.242883,FJI,020422
197737,75,5030,2002,1.3415449709806136e-09,1.5140356689478838e-07,-0.588136,-0.242883,FJI,020423
204263,75,5031,2002,4.4425229895133944e-09,8.746516927757332e-10,-0.588136,-0.242883,FJI,020430
210789,75,5032,2002,0.0,3.82042821622807e-09,-0.588136,-0.242883,FJI,020441
217315,75,5033,2002,0.0,2.2886234297338483e-06,-0.588136,-0.242883,FJI,020442
223841,75,5034,2002,1.6230663800705143e-09,3.4001380261526976e-07,-0.588136,-0.242883,FJI,020443
230367,75,5035,2002,0.0,8.257653249529137e-09,-0.588136,-0.242883,FJI,020450
236893,75,5036,2002,0.0,0.0,-0.588136,-0.242883,FJI,020500
243419,75,5037,2002,0.0,1.9481631868646306e-09,-0.588136,-0.242883,FJI,020610
249945,75,5038,2002,0.0,1.5277735668886015e-08,-0.588136,-0.242883,FJI,020621
256471,75,5039,2002,0.0,0.0,-0.588136,-0.242883,FJI,020622
262997,75,5040,2002,0.0,1.6096938620395597e-07,-0.588136,-0.242883,FJI,020629
269523,75,5041,2002,0.0,1.4138931873365964e-09,-0.588136,-0.242883,FJI,020630
276049,75,5042,2002,0.0,0.0,-0.588136,-0.242883,FJI,020641
282575,75,5043,2002,0.0,4.7915931992411255e-08,-0.588136,-0.242883,FJI,020649
289101,75,5044,2002,0.0,1.6743995270568412e-09,-0.588136,-0.242883,FJI,020680
295627,75,5045,2002,4.315247433197185e-10,1.533954792379419e-07,-0.588136,-0.242883,FJI,020690
302153,75,5046,2002,0.0,0.0,-0.588136,-0.242883,FJI,020710
308679,75,5047,2002,1.245421622257991e-08,2.33321542014731e-07,-0.588136,-0.242883,FJI,020721
315205,75,5048,2002,0.0,1.456316611616738e-09,-0.588136,-0.242883,FJI,020722
321731,75,5049,2002,0.0,0.0,-0.588136,-0.242883,FJI,020723
328257,75,5050,2002,0.0,0.0,-0.588136,-0.242883,FJI,020731
334783,75,5051,2002,0.0,3.2586492775183815e-09,-0.588136,-0.242883,FJI,020739
341309,75,5052,2002,9.736580058189997e-09,2.100522937970733e-08,-0.588136,-0.242883,FJI,020741
347835,75,5053,2002,3.536442243357525e-10,0.0,-0.588136,-0.242883,FJI,020742
354361,75,5054,2002,9.268387833169657e-09,1.3437288207732684e-08,-0.588136,-0.242883,FJI,020743
360887,75,5055,2002,0.0,0.0,-0.588136,-0.242883,FJI,020750
367413,75,5056,2002,0.0,0.0,-0.588136,-0.242883,FJI,020810
373939,75,5057,2002,0.0,0.0,-0.588136,-0.242883,FJI,020820
380465,75,5058,2002,0.0,1.55428820706369e-08,-0.588136,-0.242883,FJI,020890
386991,75,5059,2002,0.0,5.268790435792281e-09,-0.588136,-0.242883,FJI,020900
393517,75,5060,2002,0.0,1.3618582059929851e-08,-0.588136,-0.242883,FJI,021011
400043,75,5061,2002,0.0,4.791195479638499e-09,-0.588136,-0.242883,FJI,021012
406569,75,5062,2002,0.0,1.2078744331761585e-08,-0.588136,-0.242883,FJI,021019
413095,75,5063,2002,1.8063431811658555e-08,7.831761841716777e-10,-0.588136,-0.242883,FJI,021020
419621,75,5064,2002,0.0,6.300541371605414e-10,-0.588136,-0.242883,FJI,021090
426147,75,5065,2002,1.5434888536689987e-07,6.54646465922936e-09,-0.588136,-0.242883,FJI,030110
432673,75,5066,2002,0.0,0.0,-0.588136,-0.242883,FJI,030191
439199,75,5067,2002,0.0,0.0,-0.588136,-0.242883,FJI,030192
445725,75,5068,2002,0.0,0.0,-0.588136,-0.242883,FJI,030193
452251,75,5069,2002,3.747386326099699e-08,4.275485728233027e-10,-0.588136,-0.242883,FJI,030199
458777,75,5070,2002,3.1894648338764306e-09,0.0,-0.588136,-0.242883,FJI,030211
465303,75,5071,2002,0.0,7.392944546819062e-09,-0.588136,-0.242883,FJI,030212
471829,75,5072,2002,7.206917768997572e-08,8.429998410667212e-09,-0.588136,-0.242883,FJI,030219
478355,75,5073,2002,0.0,0.0,-0.588136,-0.242883,FJI,030221
