,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2006,77,5000,1999,2.5005515209147435e-05,1.4120136970677852e-05,1.72758,0.6619079999999999,FRA,010111
8532,77,5001,1999,9.867625698306517e-06,1.3918564721674776e-05,1.72758,0.6619079999999999,FRA,010119
15058,77,5002,1999,2.2401710059808197e-08,1.547483887528758e-07,1.72758,0.6619079999999999,FRA,010120
21584,77,5003,1999,1.337323755940571e-05,3.227372939400849e-06,1.72758,0.6619079999999999,FRA,010210
28110,77,5004,1999,0.0003728518791566198,3.7787230404069714e-05,1.72758,0.6619079999999999,FRA,010290
34636,77,5005,1999,1.5840952108005687e-06,1.5280751709205932e-07,1.72758,0.6619079999999999,FRA,010310
41162,77,5006,1999,1.4880609549673675e-06,3.463050970061141e-06,1.72758,0.6619079999999999,FRA,010391
47688,77,5007,1999,4.918482053839413e-06,6.437866658866237e-06,1.72758,0.6619079999999999,FRA,010392
54214,77,5008,1999,1.4330027917568346e-05,1.1555981023203535e-05,1.72758,0.6619079999999999,FRA,010410
60740,77,5009,1999,5.598242617901954e-07,1.3845017087025108e-07,1.72758,0.6619079999999999,FRA,010420
67266,77,5010,1999,1.3008443087225542e-05,2.7071225558653933e-06,1.72758,0.6619079999999999,FRA,010511
73792,77,5011,1999,8.348090710410305e-06,2.296394870769167e-06,1.72758,0.6619079999999999,FRA,010519
80318,77,5012,1999,1.1644074578627044e-05,2.396440242510813e-06,1.72758,0.6619079999999999,FRA,010591
86844,77,5013,1999,2.70718471995708e-06,1.884528050444418e-07,1.72758,0.6619079999999999,FRA,010599
93370,77,5014,1999,6.575434641668001e-06,1.4056467696658414e-05,1.72758,0.6619079999999999,FRA,010600
99896,77,5015,1999,6.116996603157807e-05,3.8438638438128265e-05,1.72758,0.6619079999999999,FRA,020110
106422,77,5016,1999,0.00013715514440162417,0.00015106560565675568,1.72758,0.6619079999999999,FRA,020120
112948,77,5017,1999,5.8544289790034045e-05,9.417753769754322e-05,1.72758,0.6619079999999999,FRA,020130
119474,77,5018,1999,3.0194959043421048e-06,8.088360586341218e-07,1.72758,0.6619079999999999,FRA,020210
126000,77,5019,1999,3.050054674502515e-05,1.0167976730533894e-06,1.72758,0.6619079999999999,FRA,020220
132526,77,5020,1999,2.16480442166373e-05,1.8949172156176224e-05,1.72758,0.6619079999999999,FRA,020230
139052,77,5021,1999,3.225509816891851e-05,4.230146024966628e-06,1.72758,0.6619079999999999,FRA,020311
145578,77,5022,1999,3.020725204393896e-05,8.193201528478132e-05,1.72758,0.6619079999999999,FRA,020312
152104,77,5023,1999,2.693382746504223e-05,5.721339795409876e-05,1.72758,0.6619079999999999,FRA,020319
158630,77,5024,1999,6.967697603197518e-06,1.7531413797168104e-07,1.72758,0.6619079999999999,FRA,020321
165156,77,5025,1999,7.732332781100641e-06,5.14526568730959e-06,1.72758,0.6619079999999999,FRA,020322
171682,77,5026,1999,7.575644904349391e-05,3.4678110771251745e-05,1.72758,0.6619079999999999,FRA,020329
178208,77,5027,1999,3.4892948317424182e-06,9.948289811936399e-05,1.72758,0.6619079999999999,FRA,020410
184734,77,5028,1999,1.5238584173294566e-06,8.931612316489602e-06,1.72758,0.6619079999999999,FRA,020421
191260,77,5029,1999,4.024039142123466e-06,1.2470852110794855e-05,1.72758,0.6619079999999999,FRA,020422
197786,77,5030,1999,4.099194145980032e-07,1.2961559219381223e-06,1.72758,0.6619079999999999,FRA,020423
204312,77,5031,1999,2.087888833218864e-07,6.763868137014977e-07,1.72758,0.6619079999999999,FRA,020430
210838,77,5032,1999,1.783397216584276e-07,1.8607411038773415e-07,1.72758,0.6619079999999999,FRA,020441
217364,77,5033,1999,4.7034287888504575e-07,1.3445136541224508e-05,1.72758,0.6619079999999999,FRA,020442
223890,77,5034,1999,7.966661929093685e-07,5.752420786915918e-06,1.72758,0.6619079999999999,FRA,020443
230416,77,5035,1999,4.45271321601874e-06,5.189004569175418e-07,1.72758,0.6619079999999999,FRA,020450
236942,77,5036,1999,6.345814992295695e-06,3.692391736573185e-05,1.72758,0.6619079999999999,FRA,020500
243468,77,5037,1999,2.9050676032878614e-06,3.0301115731706404e-05,1.72758,0.6619079999999999,FRA,020610
249994,77,5038,1999,9.888825866507291e-08,1.818082362165646e-06,1.72758,0.6619079999999999,FRA,020621
256520,77,5039,1999,1.6229421348845866e-07,1.5682488279818788e-06,1.72758,0.6619079999999999,FRA,020622
263046,77,5040,1999,1.2126018018396234e-06,4.971893415297731e-06,1.72758,0.6619079999999999,FRA,020629
269572,77,5041,1999,5.966705353437379e-07,1.8699887475044082e-06,1.72758,0.6619079999999999,FRA,020630
276098,77,5042,1999,4.877796301003664e-07,1.4854452638800882e-06,1.72758,0.6619079999999999,FRA,020641
282624,77,5043,1999,5.224659768558151e-06,3.520278180817039e-06,1.72758,0.6619079999999999,FRA,020649
289150,77,5044,1999,1.2418912407554105e-07,8.963675145121329e-07,1.72758,0.6619079999999999,FRA,020680
295676,77,5045,1999,2.077000712413051e-07,6.401737810163662e-07,1.72758,0.6619079999999999,FRA,020690
302202,77,5046,1999,4.352228346107088e-05,4.420695143749913e-06,1.72758,0.6619079999999999,FRA,020710
308728,77,5047,1999,8.217288772680428e-05,2.148728873840059e-06,1.72758,0.6619079999999999,FRA,020721
315254,77,5048,1999,7.196530265379935e-06,6.997147255605428e-08,1.72758,0.6619079999999999,FRA,020722
321780,77,5049,1999,8.454837628603827e-06,1.6924314709739146e-06,1.72758,0.6619079999999999,FRA,020723
328306,77,5050,1999,5.200907422416197e-06,9.339774047282886e-06,1.72758,0.6619079999999999,FRA,020731
334832,77,5051,1999,0.00012050291123039953,4.8133558856040344e-05,1.72758,0.6619079999999999,FRA,020739
341358,77,5052,1999,2.582981383444417e-05,2.1627716901427906e-05,1.72758,0.6619079999999999,FRA,020741
347884,77,5053,1999,4.7802874972431315e-05,4.519578842818888e-06,1.72758,0.6619079999999999,FRA,020742
354410,77,5054,1999,1.7507902190782914e-05,8.227055686200086e-06,1.72758,0.6619079999999999,FRA,020743
360936,77,5055,1999,9.959312281743363e-09,0.0,1.72758,0.6619079999999999,FRA,020750
367462,77,5056,1999,8.4039964985222e-06,5.519212926420938e-06,1.72758,0.6619079999999999,FRA,020810
373988,77,5057,1999,1.5340159158346066e-07,4.363437109724811e-06,1.72758,0.6619079999999999,FRA,020820
380514,77,5058,1999,6.856460585199385e-06,1.593603154359605e-05,1.72758,0.6619079999999999,FRA,020890
387040,77,5059,1999,3.1939006900510894e-06,5.4169267361514946e-06,1.72758,0.6619079999999999,FRA,020900
393566,77,5060,1999,2.4097317446238173e-06,9.523105549577508e-06,1.72758,0.6619079999999999,FRA,021011
400092,77,5061,1999,9.211317473717468e-06,6.276533027792876e-06,1.72758,0.6619079999999999,FRA,021012
406618,77,5062,1999,1.4930227925303549e-05,3.95538617698416e-05,1.72758,0.6619079999999999,FRA,021019
413144,77,5063,1999,4.213426988144218e-07,4.057789263673476e-06,1.72758,0.6619079999999999,FRA,021020
419670,77,5064,1999,2.833903900269964e-06,4.228269782741238e-07,1.72758,0.6619079999999999,FRA,021090
426196,77,5065,1999,6.422657912458645e-07,5.488634917639017e-06,1.72758,0.6619079999999999,FRA,030110
432722,77,5066,1999,2.826801318153442e-06,1.520753815902247e-07,1.72758,0.6619079999999999,FRA,030191
439248,77,5067,1999,8.824996159408646e-06,1.365520209234167e-06,1.72758,0.6619079999999999,FRA,030192
445774,77,5068,1999,1.7022226849880308e-07,3.2453820144407714e-07,1.72758,0.6619079999999999,FRA,030193
452300,77,5069,1999,4.940956492788544e-06,4.1355944866692596e-07,1.72758,0.6619079999999999,FRA,030199
458826,77,5070,1999,1.0535125080740224e-06,1.9560556009457475e-06,1.72758,0.6619079999999999,FRA,030211
465352,77,5071,1999,3.0591589071717406e-06,0.000137500205999223,1.72758,0.6619079999999999,FRA,030212
471878,77,5072,1999,1.0342669287738174e-06,3.0547019796216225e-06,1.72758,0.6619079999999999,FRA,030219
478404,77,5073,1999,2.740612432675377e-07,4.302380522061626e-06,1.72758,0.6619079999999999,FRA,030221
484930,77,5074,1999,1.526353927344371e-06,6.317649943178389e-07,1.72758,0.6619079999999999,FRA,030222
491456,77,5075,1999,8.815297155943274e-06,1.1014633934779767e-05,1.72758,0.6619079999999999,FRA,030223
497982,77,5076,1999,7.089370004665426e-06,6.2475217028123e-06,1.72758,0.6619079999999999,FRA,030229
504508,77,5077,1999,1.3125531144369755e-06,1.653946133625778e-06,1.72758,0.6619079999999999,FRA,030231
511034,77,5078,1999,1.2731555720533707e-07,7.779309254790408e-07,1.72758,0.6619079999999999,FRA,030232
517560,77,5079,1999,5.1027497860517864e-08,2.6100680355354967e-07,1.72758,0.6619079999999999,FRA,030233
524086,77,5080,1999,2.936768307921763e-06,5.084149441706011e-06,1.72758,0.6619079999999999,FRA,030239
530612,77,5081,1999,2.152866035088677e-08,3.5851538709644434e-07,1.72758,0.6619079999999999,FRA,030240
537138,77,5082,1999,4.2250999748806476e-07,2.5375722366615733e-05,1.72758,0.6619079999999999,FRA,030250
543664,77,5083,1999,9.562779225299436e-07,1.9220963126754986e-06,1.72758,0.6619079999999999,FRA,030261
550190,77,5084,1999,1.0294895498563768e-07,1.1413130747796227e-06,1.72758,0.6619079999999999,FRA,030262
556716,77,5085,1999,6.026224858237539e-08,5.13868740508215e-06,1.72758,0.6619079999999999,FRA,030263
563242,77,5086,1999,8.543774756987205e-07,9.070986522569956e-07,1.72758,0.6619079999999999,FRA,030264
569768,77,5087,1999,1.3654976246052465e-06,1.8834392930322283e-06,1.72758,0.6619079999999999,FRA,030265
576294,77,5088,1999,1.951143066401612e-06,1.9476328940611285e-08,1.72758,0.6619079999999999,FRA,030266
582820,77,5089,1999,4.781171819929898e-05,4.682747353278965e-05,1.72758,0.6619079999999999,FRA,030269
589346,77,5090,1999,5.711199674132589e-07,6.104137488838467e-07,1.72758,0.6619079999999999,FRA,030270
595872,77,5091,1999,2.3249395568578033e-07,4.953554895853634e-06,1.72758,0.6619079999999999,FRA,030310
602398,77,5092,1999,6.266078674485823e-07,4.736648236138298e-07,1.72758,0.6619079999999999,FRA,030321
608924,77,5093,1999,1.370191062262926e-07,2.325743263112968e-06,1.72758,0.6619079999999999,FRA,030322
615450,77,5094,1999,8.6908901482368e-08,3.539094626650293e-07,1.72758,0.6619079999999999,FRA,030329
621976,77,5095,1999,8.744845893003708e-07,5.386992701692826e-07,1.72758,0.6619079999999999,FRA,030331
628502,77,5096,1999,6.391232971530095e-08,2.508623022225608e-07,1.72758,0.6619079999999999,FRA,030332
635028,77,5097,1999,4.0970395526338216e-07,1.3897691734062943e-06,1.72758,0.6619079999999999,FRA,030333
641554,77,5098,1999,1.5371008328900804e-07,8.721251790000494e-07,1.72758,0.6619079999999999,FRA,030339
648080,77,5099,1999,1.0747593439787805e-06,7.676004902338241e-07,1.72758,0.6619079999999999,FRA,030341
654606,77,5100,1999,1.7824637109861044e-05,3.637466924596891e-06,1.72758,0.6619079999999999,FRA,030342
661132,77,5101,1999,9.325281522028196e-06,7.101435964074095e-07,1.72758,0.6619079999999999,FRA,030343
667658,77,5102,1999,1.4046621315059773e-06,9.691319729776305e-07,1.72758,0.6619079999999999,FRA,030349
674184,77,5103,1999,1.1095940576684493e-06,5.150800287013138e-07,1.72758,0.6619079999999999,FRA,030350
680710,77,5104,1999,3.3516714696606625e-07,4.1796701044653116e-06,1.72758,0.6619079999999999,FRA,030360
687236,77,5105,1999,7.267343354543886e-07,1.7260798750881107e-06,1.72758,0.6619079999999999,FRA,030371
693762,77,5106,1999,3.8977836084800195e-08,1.5408850564551828e-07,1.72758,0.6619079999999999,FRA,030372
700288,77,5107,1999,6.527114779749591e-09,2.445037600755724e-07,1.72758,0.6619079999999999,FRA,030373
706814,77,5108,1999,1.9831340805187303e-06,2.481467722057289e-06,1.72758,0.6619079999999999,FRA,030374
713340,77,5109,1999,1.009822446035134e-07,1.0724048392945896e-06,1.72758,0.6619079999999999,FRA,030375
719866,77,5110,1999,3.807236141272202e-08,2.0046526277576565e-07,1.72758,0.6619079999999999,FRA,030376
726392,77,5111,1999,1.3472254002738216e-06,9.733292405173471e-08,1.72758,0.6619079999999999,FRA,030377
732918,77,5112,1999,1.713653242093382e-07,2.078023277184157e-06,1.72758,0.6619079999999999,FRA,030378
739444,77,5113,1999,7.167347192464785e-06,1.4061154159309361e-05,1.72758,0.6619079999999999,FRA,030379
745970,77,5114,1999,1.8547563784922308e-07,1.2118542806664391e-06,1.72758,0.6619079999999999,FRA,030380
752496,77,5115,1999,1.2411577699065824e-05,4.5395180510903556e-05,1.72758,0.6619079999999999,FRA,030410
759022,77,5116,1999,7.458523058575347e-06,0.00014222491635005547,1.72758,0.6619079999999999,FRA,030420
765548,77,5117,1999,6.790693365769294e-07,1.2901913210575352e-05,1.72758,0.6619079999999999,FRA,030490
