,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2033,78,5000,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010111
8559,78,5001,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010119
15085,78,5002,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010120
21611,78,5003,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010210
28137,78,5004,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010290
34663,78,5005,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010310
41189,78,5006,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010391
47715,78,5007,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010392
54241,78,5008,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010410
60767,78,5009,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010420
67293,78,5010,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,010511
73819,78,5011,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010519
80345,78,5012,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010591
86871,78,5013,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010599
93397,78,5014,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,010600
99923,78,5015,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020110
106449,78,5016,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020120
112975,78,5017,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020130
119501,78,5018,2000,1.0,0.0,-0.618711,-0.8832209999999999,FRO,020210
126027,78,5019,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020220
132553,78,5020,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020230
139079,78,5021,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020311
145605,78,5022,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020312
152131,78,5023,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020319
158657,78,5024,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020321
165183,78,5025,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020322
171709,78,5026,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020329
178235,78,5027,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020410
184761,78,5028,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020421
191287,78,5029,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020422
197813,78,5030,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020423
204339,78,5031,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020430
210865,78,5032,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020441
217391,78,5033,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020442
223917,78,5034,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020443
230443,78,5035,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020450
236969,78,5036,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020500
243495,78,5037,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020610
250021,78,5038,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020621
256547,78,5039,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020622
263073,78,5040,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020629
269599,78,5041,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020630
276125,78,5042,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020641
282651,78,5043,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020649
289177,78,5044,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020680
295703,78,5045,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020690
302229,78,5046,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020710
308755,78,5047,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020721
315281,78,5048,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020722
321807,78,5049,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020723
328333,78,5050,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020731
334859,78,5051,2000,0.019561425455299885,0.9998086570110086,-0.618711,-0.8832209999999999,FRO,020739
341385,78,5052,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020741
347911,78,5053,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020742
354437,78,5054,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020743
360963,78,5055,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020750
367489,78,5056,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020810
374015,78,5057,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,020820
380541,78,5058,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020890
387067,78,5059,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,020900
393593,78,5060,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,021011
400119,78,5061,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,021012
406645,78,5062,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,021019
413171,78,5063,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,021020
419697,78,5064,2000,0.025170002612156753,0.9996831852984744,-0.618711,-0.8832209999999999,FRO,021090
426223,78,5065,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,030110
432749,78,5066,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030191
439275,78,5067,2000,0.0,1.0,-0.618711,-0.8832209999999999,FRO,030192
445801,78,5068,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030193
452327,78,5069,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030199
458853,78,5070,2000,1.0,0.0,-0.618711,-0.8832209999999999,FRO,030211
465379,78,5071,2000,1.0,0.0,-0.618711,-0.8832209999999999,FRO,030212
471905,78,5072,2000,0.6722600830932622,0.7403150550133639,-0.618711,-0.8832209999999999,FRO,030219
478431,78,5073,2000,0.9999999200363014,0.00039990922837673684,-0.618711,-0.8832209999999999,FRO,030221
484957,78,5074,2000,1.0,0.0,-0.618711,-0.8832209999999999,FRO,030222
491483,78,5075,2000,1.0,0.0,-0.618711,-0.8832209999999999,FRO,030223
498009,78,5076,2000,1.0,0.0,-0.618711,-0.8832209999999999,FRO,030229
504535,78,5077,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030231
511061,78,5078,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030232
517587,78,5079,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030233
524113,78,5080,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030239
530639,78,5081,2000,0.9999645227380277,0.00842337612292898,-0.618711,-0.8832209999999999,FRO,030240
537165,78,5082,2000,0.9999881218011984,0.004874039034674959,-0.618711,-0.8832209999999999,FRO,030250
543691,78,5083,2000,0.0,0.0,-0.618711,-0.8832209999999999,FRO,030261
550217,78,5084,2000,0.9999999855454197,0.0001700269400582257,-0.618711,-0.8832209999999999,FRO,030262
