,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2067,79,5000,2008,0.0,678103.0,-0.744394,-0.930508,FSM,010111
8593,79,5001,2008,,,-0.744394,-0.930508,FSM,010119
15119,79,5002,2008,,,-0.744394,-0.930508,FSM,010120
21645,79,5003,2008,,,-0.744394,-0.930508,FSM,010210
28171,79,5004,2008,0.0,58089.0,-0.744394,-0.930508,FSM,010290
34697,79,5005,2008,,,-0.744394,-0.930508,FSM,010310
41223,79,5006,2008,,,-0.744394,-0.930508,FSM,010391
47749,79,5007,2008,,,-0.744394,-0.930508,FSM,010392
54275,79,5008,2008,,,-0.744394,-0.930508,FSM,010410
60801,79,5009,2008,,,-0.744394,-0.930508,FSM,010420
67327,79,5010,2008,,,-0.744394,-0.930508,FSM,010511
73853,79,5011,2008,,,-0.744394,-0.930508,FSM,010519
80379,79,5012,2008,,,-0.744394,-0.930508,FSM,010591
86905,79,5013,2008,,,-0.744394,-0.930508,FSM,010599
93431,79,5014,2008,,,-0.744394,-0.930508,FSM,010600
99957,79,5015,2008,,,-0.744394,-0.930508,FSM,020110
106483,79,5016,2008,0.0,12986.0,-0.744394,-0.930508,FSM,020120
113009,79,5017,2008,,,-0.744394,-0.930508,FSM,020130
119535,79,5018,2008,7254.0,57138.0,-0.744394,-0.930508,FSM,020210
126061,79,5019,2008,0.0,13016.0,-0.744394,-0.930508,FSM,020220
132587,79,5020,2008,0.0,156159.0,-0.744394,-0.930508,FSM,020230
139113,79,5021,2008,0.0,2086.0,-0.744394,-0.930508,FSM,020311
145639,79,5022,2008,0.0,55856.0,-0.744394,-0.930508,FSM,020312
152165,79,5023,2008,0.0,125384.0,-0.744394,-0.930508,FSM,020319
158691,79,5024,2008,0.0,29449.0,-0.744394,-0.930508,FSM,020321
165217,79,5025,2008,0.0,218753.0,-0.744394,-0.930508,FSM,020322
171743,79,5026,2008,0.0,88878.0,-0.744394,-0.930508,FSM,020329
178269,79,5027,2008,,,-0.744394,-0.930508,FSM,020410
184795,79,5028,2008,,,-0.744394,-0.930508,FSM,020421
191321,79,5029,2008,,,-0.744394,-0.930508,FSM,020422
