,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2091,80,5000,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010111
8617,80,5001,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010119
15143,80,5002,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010120
21669,80,5003,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010210
28195,80,5004,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010290
34721,80,5005,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010310
41247,80,5006,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010391
47773,80,5007,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010392
54299,80,5008,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010410
60825,80,5009,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010420
67351,80,5010,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010511
73877,80,5011,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010519
80403,80,5012,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,010591
86929,80,5013,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,010599
93455,80,5014,2006,0.1330370531950233,0.9911110646527889,-1.6696819999999999,-1.173322,GAB,010600
99981,80,5015,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020110
106507,80,5016,2006,0.04932555586490522,0.9987827539253059,-1.6696819999999999,-1.173322,GAB,020120
113033,80,5017,2006,0.08846801544927911,0.9960790180715916,-1.6696819999999999,-1.173322,GAB,020130
119559,80,5018,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,020210
126085,80,5019,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020220
132611,80,5020,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020230
139137,80,5021,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,020311
145663,80,5022,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020312
152189,80,5023,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020319
158715,80,5024,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020321
165241,80,5025,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020322
171767,80,5026,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020329
178293,80,5027,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020410
184819,80,5028,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020421
191345,80,5029,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020422
197871,80,5030,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020423
204397,80,5031,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020430
210923,80,5032,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020441
217449,80,5033,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020442
223975,80,5034,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020443
230501,80,5035,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020450
237027,80,5036,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,020500
243553,80,5037,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020610
250079,80,5038,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020621
256605,80,5039,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020622
263131,80,5040,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020629
269657,80,5041,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020630
276183,80,5042,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,020641
282709,80,5043,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020649
289235,80,5044,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,020680
295761,80,5045,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020690
302287,80,5046,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020710
308813,80,5047,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020721
315339,80,5048,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020722
321865,80,5049,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020723
328391,80,5050,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020731
334917,80,5051,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020739
341443,80,5052,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020741
347969,80,5053,2006,0.001512496070232998,0.9999988561771646,-1.6696819999999999,-1.173322,GAB,020742
354495,80,5054,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020743
361021,80,5055,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,020750
367547,80,5056,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020810
374073,80,5057,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020820
380599,80,5058,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020890
387125,80,5059,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,020900
393651,80,5060,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,021011
400177,80,5061,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,021012
406703,80,5062,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,021019
413229,80,5063,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,021020
419755,80,5064,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,021090
426281,80,5065,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030110
432807,80,5066,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030191
439333,80,5067,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030192
445859,80,5068,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030193
452385,80,5069,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030199
458911,80,5070,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030211
465437,80,5071,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030212
471963,80,5072,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030219
478489,80,5073,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030221
485015,80,5074,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030222
491541,80,5075,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030223
498067,80,5076,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030229
504593,80,5077,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030231
511119,80,5078,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030232
517645,80,5079,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030233
524171,80,5080,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030239
530697,80,5081,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030240
537223,80,5082,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030250
543749,80,5083,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030261
550275,80,5084,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030262
556801,80,5085,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030263
563327,80,5086,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030264
569853,80,5087,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030265
576379,80,5088,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030266
582905,80,5089,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030269
589431,80,5090,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030270
595957,80,5091,2006,0.0,1.0,-1.6696819999999999,-1.173322,GAB,030310
602483,80,5092,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030321
609009,80,5093,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030322
615535,80,5094,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030329
622061,80,5095,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030331
628587,80,5096,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030332
635113,80,5097,2006,1.0,0.0,-1.6696819999999999,-1.173322,GAB,030333
641639,80,5098,2006,1.0,0.0,-1.6696819999999999,-1.173322,GAB,030339
648165,80,5099,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030341
654691,80,5100,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030342
661217,80,5101,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030343
667743,80,5102,2006,0.0,0.0,-1.6696819999999999,-1.173322,GAB,030349
