,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2113,81,5000,2002,0.7618747275274507,0.6477244009260209,1.893177,0.831382,GBR,010111
8639,81,5001,2002,0.807855196912564,0.5893810149821272,1.893177,0.831382,GBR,010119
15165,81,5002,2002,0.0,0.0,1.893177,0.831382,GBR,010120
21691,81,5003,2002,0.07894710269729983,0.9968788065636173,1.893177,0.831382,GBR,010210
28217,81,5004,2002,0.004457166292852332,0.9999900667849846,1.893177,0.831382,GBR,010290
34743,81,5005,2002,0.9932505951087193,0.11598816886292827,1.893177,0.831382,GBR,010310
41269,81,5006,2002,0.16543303896016473,0.986221024730463,1.893177,0.831382,GBR,010391
47795,81,5007,2002,0.08551852773171773,0.9963365803856643,1.893177,0.831382,GBR,010392
54321,81,5008,2002,0.9310434286214545,0.3649083912721199,1.893177,0.831382,GBR,010410
60847,81,5009,2002,0.06986885802738502,0.997556185223644,1.893177,0.831382,GBR,010420
67373,81,5010,2002,0.9976237427359695,0.06889751758573114,1.893177,0.831382,GBR,010511
73899,81,5011,2002,0.9942250452281839,0.10731523396524656,1.893177,0.831382,GBR,010519
80425,81,5012,2002,0.9952588868163751,0.09726123694992721,1.893177,0.831382,GBR,010591
86951,81,5013,2002,0.9999907691547223,0.004296697027581372,1.893177,0.831382,GBR,010599
93477,81,5014,2002,0.5963173923400635,0.8027487574532562,1.893177,0.831382,GBR,010600
100003,81,5015,2002,0.009247466639110337,0.9999572412662245,1.893177,0.831382,GBR,020110
106529,81,5016,2002,0.03216055102249099,0.9994827156874349,1.893177,0.831382,GBR,020120
113055,81,5017,2002,0.048225669262076984,0.9988364655058529,1.893177,0.831382,GBR,020130
119581,81,5018,2002,0.12358261549956438,0.9923342869952074,1.893177,0.831382,GBR,020210
126107,81,5019,2002,0.04588828544121727,0.9989465777804465,1.893177,0.831382,GBR,020220
132633,81,5020,2002,0.09765613314610619,0.9952202166651107,1.893177,0.831382,GBR,020230
139159,81,5021,2002,0.9439699713092502,0.33003135194464966,1.893177,0.831382,GBR,020311
145685,81,5022,2002,0.020731889340563008,0.9997850712850092,1.893177,0.831382,GBR,020312
152211,81,5023,2002,0.14680033353662147,0.9891661448278225,1.893177,0.831382,GBR,020319
158737,81,5024,2002,0.7670034412454989,0.6416429857152359,1.893177,0.831382,GBR,020321
165263,81,5025,2002,0.4722722299337482,0.88145274452656,1.893177,0.831382,GBR,020322
171789,81,5026,2002,0.2575543077515421,0.9662638245109996,1.893177,0.831382,GBR,020329
178315,81,5027,2002,0.9986483920187137,0.051974889306641646,1.893177,0.831382,GBR,020410
184841,81,5028,2002,0.9993962001744818,0.03474528855553023,1.893177,0.831382,GBR,020421
191367,81,5029,2002,0.26315741537847065,0.9647529086410277,1.893177,0.831382,GBR,020422
197893,81,5030,2002,0.6392409163769218,0.7690065349719684,1.893177,0.831382,GBR,020423
204419,81,5031,2002,0.1845298978492921,0.9828269007306067,1.893177,0.831382,GBR,020430
210945,81,5032,2002,0.6747992659298118,0.7380013216116806,1.893177,0.831382,GBR,020441
217471,81,5033,2002,0.055277437088206996,0.9984710336053617,1.893177,0.831382,GBR,020442
223997,81,5034,2002,0.07329313151736551,0.9973104415739255,1.893177,0.831382,GBR,020443
230523,81,5035,2002,0.25741196028634644,0.9663017555099135,1.893177,0.831382,GBR,020450
237049,81,5036,2002,0.9999374071431126,0.011188467093785725,1.893177,0.831382,GBR,020500
243575,81,5037,2002,0.07304769308003474,0.9973284486746005,1.893177,0.831382,GBR,020610
250101,81,5038,2002,0.5006879368992699,0.8656278587496781,1.893177,0.831382,GBR,020621
256627,81,5039,2002,0.06753266200634966,0.9977170638825098,1.893177,0.831382,GBR,020622
263153,81,5040,2002,0.11532442895591674,0.9933278794466567,1.893177,0.831382,GBR,020629
269679,81,5041,2002,0.07204601670318556,0.9974013091415131,1.893177,0.831382,GBR,020630
276205,81,5042,2002,0.177515348779652,0.9841180320203662,1.893177,0.831382,GBR,020641
