,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2136,82,5000,1999,0.0,1.749634818553655e-09,0.50297,0.042010000000000006,GEO,010111
8662,82,5001,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,010119
15188,82,5002,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,010120
21714,82,5003,1999,0.0,2.0073571210555156e-08,0.50297,0.042010000000000006,GEO,010210
28240,82,5004,1999,0.0,2.686595915740846e-09,0.50297,0.042010000000000006,GEO,010290
34766,82,5005,1999,0.0,1.998872436199487e-09,0.50297,0.042010000000000006,GEO,010310
41292,82,5006,1999,0.0,2.3054148199237297e-08,0.50297,0.042010000000000006,GEO,010391
47818,82,5007,1999,0.0,1.451775979486754e-08,0.50297,0.042010000000000006,GEO,010392
54344,82,5008,1999,0.0,5.855426849666115e-09,0.50297,0.042010000000000006,GEO,010410
60870,82,5009,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,010420
67396,82,5010,1999,4.478887434175168e-10,2.042628221148427e-07,0.50297,0.042010000000000006,GEO,010511
73922,82,5011,1999,0.0,3.6291913739652437e-10,0.50297,0.042010000000000006,GEO,010519
80448,82,5012,1999,3.1606763151858595e-10,0.0,0.50297,0.042010000000000006,GEO,010591
86974,82,5013,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,010599
93500,82,5014,1999,4.194941728774483e-09,1.5454720892054732e-09,0.50297,0.042010000000000006,GEO,010600
100026,82,5015,1999,0.0,2.097639470851692e-09,0.50297,0.042010000000000006,GEO,020110
106552,82,5016,1999,0.0,8.093593913445777e-10,0.50297,0.042010000000000006,GEO,020120
113078,82,5017,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,020130
119604,82,5018,1999,6.414991075375787e-09,4.15815844545826e-09,0.50297,0.042010000000000006,GEO,020210
126130,82,5019,1999,2.4713276592141632e-08,1.7361454953645786e-08,0.50297,0.042010000000000006,GEO,020220
132656,82,5020,1999,1.227390918446528e-06,1.5259838286767833e-07,0.50297,0.042010000000000006,GEO,020230
139182,82,5021,1999,0.0,9.124350550252344e-09,0.50297,0.042010000000000006,GEO,020311
145708,82,5022,1999,1.3994250454006041e-09,6.569002103378186e-10,0.50297,0.042010000000000006,GEO,020312
152234,82,5023,1999,1.4685174902579747e-09,0.0,0.50297,0.042010000000000006,GEO,020319
158760,82,5024,1999,0.0,1.7929531119397058e-08,0.50297,0.042010000000000006,GEO,020321
165286,82,5025,1999,0.0,1.2853634690878547e-08,0.50297,0.042010000000000006,GEO,020322
171812,82,5026,1999,0.0,6.389763135794587e-08,0.50297,0.042010000000000006,GEO,020329
178338,82,5027,1999,6.862273744715608e-09,0.0,0.50297,0.042010000000000006,GEO,020410
184864,82,5028,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,020421
191390,82,5029,1999,0.0,0.0,0.50297,0.042010000000000006,GEO,020422
197916,82,5030,1999,0.0,2.0316843034161594e-09,0.50297,0.042010000000000006,GEO,020423
